,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_ROIv_scale60,mean,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.687614468864,0.18744544814,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.929166666667,0.146308748884,"[ 0.45833333  1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          0.375       1.          1.
  1.          1.          1.          1.          0.58333333  0.66666667
  1.          0.70833333  1.          1.          1.          0.91666667
  1.          1.          0.75        1.          1.          1.          1.
  0.91666667  1.          1.          1.          1.          1.          0.75
  1.          0.79166667  1.          1.          1.          1.          1.
  0.75        1.          0.875       1.        ]"
1,IPCAS_1_deter_csd_con_ROIv_scale60,mean,bag_of_edges,standard,SGD,0.730769230769,0.0637871025632,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.741818181818,0.0458528007742,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  1.          0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.708447802198,0.192923305763,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.905833333333,0.162832992152,"[ 0.41666667  0.91666667  1.          0.95833333  1.          0.83333333
  1.          1.          1.          1.          0.33333333  1.          1.
  1.          1.          1.          1.          0.75        0.58333333
  1.          0.58333333  0.875       0.95833333  1.          0.95833333
  1.          1.          0.70833333  1.          1.          1.          1.
  0.95833333  0.875       0.95833333  1.          1.          1.
  0.66666667  1.          0.875       1.          0.95833333  1.
  0.83333333  1.          0.58333333  1.          0.70833333  1.        ]"
2,IPCAS_1_deter_csd_con_ROIv_scale60,mean,degrees,standard,LR,0.826923076923,0.0949261168742,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.865454545455,0.0999834697081,"[ 0.54545455  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182
  1.          0.90909091  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182
  0.90909091  0.90909091  0.90909091  0.63636364  0.81818182  0.81818182
  0.90909091  0.90909091  0.90909091  1.          0.81818182  0.81818182
  0.81818182  0.72727273  0.63636364  0.90909091  1.          0.90909091
  0.81818182  1.          0.90909091  0.81818182  0.90909091  1.          1.
  1.          1.          0.72727273  0.90909091  0.72727273  0.90909091
  0.90909091]",0.879693223443,0.096293492154,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.948333333333,0.104269948797,"[ 0.5         1.          1.          1.          1.          1.          1.
  0.95833333  1.          0.95833333  0.54166667  0.95833333  0.95833333
  0.75        0.91666667  1.          1.          0.91666667  0.95833333
  1.          0.95833333  0.75        1.          0.95833333  0.95833333
  1.          1.          1.          0.875       1.          0.91666667
  0.91666667  0.875       1.          1.          1.          0.95833333
  1.          0.875       1.          1.          1.          1.          1.
  1.          1.          1.          0.95833333  1.          1.        ]"
3,IPCAS_1_deter_csd_con_ROIv_scale60,mean,degrees,standard,SGD,0.826923076923,0.144026662106,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.912727272727,0.0978445385242,"[ 0.63636364  0.90909091  0.90909091  0.81818182  1.          0.90909091
  1.          0.90909091  1.          1.          0.63636364  1.          1.
  0.90909091  0.81818182  1.          1.          1.          0.72727273
  0.81818182  0.81818182  0.81818182  1.          0.81818182  0.81818182
  1.          1.          1.          0.90909091  1.          0.90909091
  0.81818182  0.81818182  1.          1.          0.90909091  0.90909091
  1.          0.72727273  1.          0.81818182  1.          0.90909091
  0.90909091  1.          1.          0.90909091  0.90909091  0.90909091
  1.        ]",0.888850732601,0.123947476339,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9575,0.110078885855,"[ 0.625       0.95833333  1.          1.          1.          1.          1.
  0.91666667  1.          1.          0.41666667  1.          1.          1.
  0.95833333  1.          1.          1.          0.83333333  1.
  0.91666667  0.79166667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.95833333
  1.          1.          0.91666667  1.          1.          0.66666667
  1.          1.          1.          1.          1.          1.          1.
  0.91666667  1.          1.          1.        ]"
4,IPCAS_1_deter_csd_con_ROIv_scale60,mean,closeness_centrality,standard,LR,0.788461538462,0.0867421844472,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.890909090909,0.114991914915,"[ 0.81818182  0.90909091  0.90909091  1.          0.90909091  0.90909091
  1.          1.          1.          0.72727273  0.81818182  0.72727273
  1.          0.90909091  1.          1.          0.90909091  0.81818182
  0.72727273  0.90909091  0.63636364  0.72727273  1.          0.90909091
  0.63636364  0.81818182  1.          1.          0.90909091  0.90909091
  0.81818182  1.          0.72727273  0.90909091  1.          0.81818182
  0.90909091  1.          0.81818182  0.81818182  1.          1.          1.
  1.          1.          0.54545455  1.          0.81818182  0.90909091
  0.90909091]",0.812156593407,0.214185255316,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.906666666667,0.13681902077,"[ 0.58333333  0.83333333  1.          1.          0.875       1.          1.
  1.          1.          0.875       0.33333333  0.875       1.
  0.95833333  0.95833333  0.95833333  0.91666667  0.83333333  0.79166667
  1.          0.66666667  0.79166667  0.875       0.91666667  0.5
  0.91666667  1.          1.          0.83333333  0.875       0.875       1.
  1.          0.95833333  1.          0.91666667  0.91666667  1.          1.
  0.91666667  1.          1.          1.          1.          1.          0.75
  1.          0.875       1.          0.95833333]"
5,IPCAS_1_deter_csd_con_ROIv_scale60,mean,closeness_centrality,standard,SGD,0.846153846154,0.0435279968534,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.829090909091,0.0784983023452,"[ 0.81818182  0.90909091  1.          0.81818182  0.81818182  0.81818182
  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273  0.90909091
  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.90909091  0.81818182  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.63636364
  0.81818182  1.          0.72727273  1.          0.90909091  0.81818182
  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.90909091  0.81818182  0.72727273  0.72727273
  0.90909091  0.81818182]",0.881524725275,0.17810248107,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.851666666667,0.180885169222,"[ 0.58333333  0.70833333  0.95833333  1.          0.75        1.          1.
  1.          0.75        0.91666667  0.16666667  0.875       1.
  0.91666667  0.91666667  0.83333333  0.875       0.91666667  0.16666667
  0.91666667  0.70833333  0.75        0.875       0.83333333  0.75
  0.91666667  0.91666667  1.          0.66666667  0.79166667  0.875       1.
  1.          1.          1.          0.75        0.79166667  1.          1.
  0.875       0.75        1.          1.          1.          1.
  0.70833333  1.          0.66666667  0.79166667  0.91666667]"
6,IPCAS_1_deter_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.719665750916,0.143809116418,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.905833333333,0.112672706939,"[ 0.54166667  0.875       0.875       1.          0.66666667  0.95833333
  1.          1.          1.          1.          0.625       1.
  0.91666667  0.95833333  0.79166667  0.875       0.83333333  0.66666667
  0.875       1.          0.66666667  0.875       0.83333333  0.91666667
  0.83333333  0.79166667  1.          0.95833333  0.91666667  1.          1.
  0.875       0.875       0.91666667  1.          0.91666667  0.91666667
  1.          0.875       1.          0.79166667  1.          1.          1.
  0.95833333  1.          1.          1.          1.          0.91666667]"
7,IPCAS_1_deter_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,SGD,0.807692307692,0.0610949440963,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810909090909,0.0809856634593,"[ 0.54545455  0.72727273  0.90909091  0.81818182  0.72727273  0.72727273
  0.90909091  0.72727273  0.81818182  0.90909091  0.81818182  0.90909091
  0.81818182  0.90909091  0.63636364  0.72727273  0.81818182  0.72727273
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182
  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182  1.
  0.81818182  0.90909091  0.72727273  0.90909091  0.90909091  0.72727273
  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.81818182]",0.844894688645,0.0652198347058,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.945,0.0863777234657,"[ 0.66666667  0.91666667  0.91666667  1.          0.95833333  1.          1.
  1.          1.          1.          0.75        1.          1.          1.
  0.91666667  1.          0.875       0.66666667  0.91666667  1.
  0.70833333  1.          0.91666667  0.91666667  0.83333333  0.875       1.
  1.          1.          1.          1.          0.91666667  0.83333333
  0.95833333  1.          0.95833333  0.91666667  1.          1.          1.
  0.95833333  1.          1.          1.          0.95833333  1.          1.
  0.95833333  1.          0.95833333]"
8,IPCAS_1_deter_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,LR,0.788461538462,0.0905763889904,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.876363636364,0.0975060922021,"[ 0.54545455  0.81818182  0.90909091  0.90909091  0.90909091  0.81818182
  0.81818182  1.          1.          0.81818182  0.72727273  1.
  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091
  0.72727273  0.90909091  0.90909091  0.90909091  0.90909091  1.
  0.72727273  0.90909091  0.72727273  1.          0.81818182  0.90909091
  0.81818182  0.81818182  1.          0.90909091  1.          0.81818182
  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273  0.90909091
  0.90909091  1.          0.81818182  1.          0.72727273  1.
  0.90909091  1.        ]",0.734203296703,0.232687807279,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.8725,0.152845691976,"[ 0.375       0.70833333  1.          0.83333333  0.75        0.75        0.875
  1.          1.          0.79166667  0.41666667  1.          0.79166667
  0.79166667  0.83333333  0.95833333  0.95833333  0.83333333  0.5
  0.79166667  0.95833333  0.79166667  1.          1.          0.70833333
  1.          0.875       1.          0.83333333  1.          0.875
  0.95833333  0.91666667  1.          1.          0.83333333  1.          1.
  0.58333333  1.          0.75        0.91666667  0.95833333  1.
  0.83333333  1.          0.875       1.          1.          1.        ]"
9,IPCAS_1_deter_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,SGD,0.788461538462,0.0747108065822,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.829090909091,0.0920653738267,"[ 0.72727273  0.63636364  0.90909091  0.81818182  0.90909091  0.72727273
  1.          0.90909091  0.90909091  0.81818182  0.72727273  0.90909091
  0.90909091  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273
  0.63636364  0.72727273  0.72727273  0.90909091  0.90909091  0.81818182
  0.63636364  1.          0.72727273  0.90909091  0.81818182  1.
  0.72727273  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273
  0.81818182  0.90909091  0.81818182  0.90909091  0.72727273  0.81818182
  0.90909091  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182
  0.81818182  0.81818182]",0.754235347985,0.149905926781,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.915833333333,0.11380111794,"[ 0.54166667  0.875       1.          0.79166667  0.75        0.83333333
  1.          1.          1.          0.875       0.70833333  1.          0.75
  0.875       0.875       0.95833333  0.95833333  0.91666667  0.58333333
  0.95833333  0.91666667  1.          1.          1.          0.875
  0.91666667  1.          1.          0.91666667  1.          0.79166667
  0.91666667  1.          1.          1.          0.91666667  1.          1.
  0.625       1.          0.91666667  0.91666667  0.91666667  1.
  0.91666667  1.          1.          1.          1.          1.        ]"
