,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_ROIv_scale33,mean,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.718521062271,0.168998344058,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.935,0.143168509883,"[ 0.33333333  1.          1.          1.          1.          0.79166667
  1.          1.          1.          1.          0.5         1.          1.
  1.          1.          1.          1.          0.54166667  0.70833333
  1.          0.95833333  1.          0.91666667  1.          0.95833333
  1.          1.          0.91666667  1.          1.          1.          1.
  0.91666667  1.          1.          1.          1.          0.95833333
  0.95833333  1.          0.83333333  1.          1.          1.          1.
  1.          0.70833333  1.          0.75        1.        ]"
1,IPCAS_1_deter_dti_con_ROIv_scale33,mean,bag_of_edges,standard,SGD,0.826923076923,0.0949261168742,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.845454545455,0.0776727613211,"[ 0.72727273  0.81818182  1.          0.81818182  0.81818182  0.72727273
  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182  1.
  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273
  0.81818182  0.81818182  0.90909091  0.81818182  0.81818182  0.72727273
  0.90909091  0.90909091  0.90909091  0.72727273  1.          1.
  0.72727273  0.90909091  0.90909091  0.81818182  0.81818182  0.90909091
  0.81818182  0.90909091  0.81818182  0.81818182  0.63636364  0.81818182
  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182  0.81818182
  0.81818182  0.81818182]",0.770032051282,0.155521824278,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9275,0.143083600272,"[ 0.66666667  1.          0.95833333  1.          0.875       0.75        1.
  1.          1.          1.          0.25        1.          1.          1.
  1.          1.          1.          0.625       0.70833333  1.          1.
  1.          0.95833333  0.91666667  0.875       1.          1.
  0.79166667  1.          1.          1.          1.          0.95833333
  1.          1.          1.          0.95833333  1.          0.875       1.
  0.875       1.          1.          1.          0.95833333  1.          0.75
  1.          0.625       1.        ]"
2,IPCAS_1_deter_dti_con_ROIv_scale33,mean,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.662545787546,0.284451235776,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.788333333333,0.193799724802,"[ 0.58333333  0.75        0.79166667  0.70833333  0.375       0.54166667
  1.          0.83333333  0.83333333  0.75        0.20833333  0.79166667
  0.875       0.875       0.875       0.625       0.95833333  0.41666667
  0.5         0.83333333  0.58333333  0.83333333  0.875       0.83333333
  0.33333333  1.          1.          0.875       1.          0.91666667
  0.91666667  0.79166667  0.79166667  1.          1.          0.91666667
  0.79166667  1.          1.          1.          0.83333333  0.625
  0.95833333  0.75        0.91666667  0.91666667  0.41666667  0.79166667
  0.79166667  0.83333333]"
3,IPCAS_1_deter_dti_con_ROIv_scale33,mean,degrees,standard,SGD,0.769230769231,0.0614607123456,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.747272727273,0.0523497456323,"[ 0.81818182  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273
  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.54545455  0.81818182
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273]",0.758127289377,0.140941390189,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.893333333333,0.149108461642,"[ 0.41666667  1.          1.          0.91666667  0.83333333  0.83333333
  1.          1.          1.          1.          0.5         1.
  0.79166667  1.          0.95833333  1.          0.91666667  0.79166667
  0.70833333  0.91666667  0.54166667  1.          1.          0.91666667
  0.66666667  1.          1.          0.83333333  1.          1.          1.
  0.95833333  0.66666667  1.          1.          1.          0.95833333
  0.95833333  1.          1.          0.70833333  0.83333333  1.          1.
  0.91666667  1.          0.625       0.79166667  0.75        0.95833333]"
4,IPCAS_1_deter_dti_con_ROIv_scale33,mean,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.528617216117,0.177653464971,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.890833333333,0.146933942074,"[ 0.79166667  0.91666667  0.91666667  0.91666667  0.83333333  0.91666667
  0.79166667  1.          1.          0.91666667  0.54166667  1.          0.875
  1.          0.83333333  1.          1.          0.33333333  0.5         1.
  0.5         1.          0.91666667  1.          0.91666667  0.91666667
  0.91666667  0.79166667  0.91666667  0.91666667  1.          0.95833333
  0.95833333  1.          0.95833333  1.          0.79166667  0.91666667
  0.66666667  1.          0.79166667  0.91666667  0.91666667  1.          1.
  0.95833333  0.875       0.95833333  1.          1.        ]"
5,IPCAS_1_deter_dti_con_ROIv_scale33,mean,closeness_centrality,standard,SGD,0.788461538462,0.0747108065822,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.814545454545,0.0703239258393,"[ 0.72727273  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273
  0.81818182  0.90909091  0.81818182  0.81818182  0.63636364  0.90909091
  0.90909091  0.81818182  0.72727273  0.72727273  0.90909091  0.81818182
  0.81818182  0.72727273  0.72727273  0.90909091  0.81818182  0.90909091
  0.81818182  0.81818182  0.72727273  0.90909091  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182  0.90909091
  0.81818182  0.81818182]",0.622367216117,0.232293711732,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.859166666667,0.180256376062,"[ 0.58333333  0.75        1.          0.91666667  0.79166667  1.          1.
  0.95833333  1.          0.95833333  0.25        0.95833333  0.95833333
  1.          0.79166667  0.95833333  0.83333333  0.33333333  0.625       1.
  0.45833333  0.91666667  0.79166667  1.          1.          0.79166667
  0.95833333  0.83333333  0.91666667  0.79166667  1.          0.83333333
  0.83333333  1.          0.875       1.          0.58333333  1.          0.5
  0.79166667  0.75        1.          0.83333333  1.          0.95833333
  1.          1.          0.95833333  0.95833333  0.95833333]"
6,IPCAS_1_deter_dti_con_ROIv_scale33,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.517628205128,0.0340332701628,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.492916666667,0.0658293775183,"[ 0.5         0.54166667  0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.45833333  0.5         0.5         0.5         0.5         0.5
  0.5         0.625       0.5         0.0625      0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.41666667  0.54166667  0.5         0.5         0.5
  0.5       ]"
7,IPCAS_1_deter_dti_con_ROIv_scale33,mean,betweenness_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723636363636,0.0178144708566,"[ 0.72727273  0.63636364  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.558035714286,0.19856712359,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.636666666667,0.172610673032,"[ 0.91666667  0.875       0.375       0.54166667  0.625       0.20833333
  0.70833333  0.70833333  0.625       0.875       0.29166667  0.54166667
  0.70833333  0.58333333  0.66666667  0.75        0.5         0.375
  0.66666667  0.66666667  0.25        0.66666667  0.75        0.5
  0.58333333  0.66666667  0.75        0.875       0.70833333  0.79166667
  0.79166667  0.625       0.58333333  0.66666667  0.66666667  0.83333333
  0.54166667  0.54166667  0.91666667  0.83333333  0.625       0.66666667
  0.70833333  0.58333333  0.70833333  1.          0.41666667  0.41666667
  0.41666667  0.54166667]"
8,IPCAS_1_deter_dti_con_ROIv_scale33,mean,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.513965201465,0.222665334185,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.8525,0.198293063139,"[ 0.375       1.          0.95833333  0.875       0.79166667  0.875
  0.83333333  0.95833333  1.          1.          0.33333333  0.75        0.875
  1.          0.95833333  0.95833333  1.          0.25        0.41666667
  1.          0.33333333  1.          1.          0.95833333  0.875       1.
  1.          0.75        0.83333333  0.95833333  0.91666667  1.          0.625
  1.          1.          1.          1.          0.75        0.625       1.
  0.75        0.875       0.75        1.          0.875       1.
  0.79166667  0.91666667  0.875       0.95833333]"
9,IPCAS_1_deter_dti_con_ROIv_scale33,mean,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.617445054945,0.248655779634,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8075,0.191284038365,"[ 0.33333333  1.          0.75        0.75        0.875       0.70833333
  0.66666667  0.75        0.95833333  1.          0.375       0.625
  0.83333333  1.          0.91666667  0.95833333  1.          0.25
  0.41666667  0.875       0.375       0.83333333  1.          0.91666667
  0.75        0.875       0.875       0.875       0.91666667  0.95833333
  0.95833333  0.91666667  0.70833333  1.          1.          1.
  0.95833333  0.75        0.70833333  0.91666667  0.54166667  0.91666667
  0.66666667  0.875       0.70833333  1.          0.79166667  0.75        0.875
  0.91666667]"
