,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.762362637363,0.172314236668,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.92,0.176745265535,"[ 0.33333333  1.          1.          1.          0.95833333  0.83333333
  1.          1.          1.          1.          0.33333333  1.
  0.95833333  1.          1.          1.          1.          0.45833333
  0.75        1.          0.91666667  1.          0.95833333  1.
  0.91666667  1.          1.          0.875       0.91666667  1.          1.
  1.          0.95833333  1.          0.95833333  1.          1.
  0.95833333  1.          1.          0.91666667  1.          1.          1.
  1.          1.          0.33333333  1.          0.66666667  1.        ]"
1,IPCAS_1_deter_dti_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.788461538462,0.0686117974261,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.82,0.0823016021655,"[ 0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  0.72727273
  0.90909091  0.72727273  0.72727273  1.          0.72727273  1.
  0.81818182  0.90909091  0.90909091  1.          0.90909091  0.72727273
  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273
  0.90909091  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182
  0.81818182  0.81818182  0.90909091  0.81818182  0.81818182  1.
  0.81818182  0.90909091  0.72727273  0.81818182  0.63636364  0.72727273
  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182  0.72727273
  0.81818182  0.72727273]",0.801854395604,0.227758495687,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.908333333333,0.157012030678,"[ 0.33333333  1.          1.          1.          0.875       0.66666667
  0.95833333  1.          1.          1.          0.33333333  1.          1.
  1.          0.95833333  1.          1.          0.58333333  0.79166667
  1.          0.83333333  1.          1.          1.          0.95833333
  0.91666667  0.91666667  0.70833333  0.875       1.          0.95833333
  1.          0.95833333  0.95833333  1.          1.          0.95833333
  0.95833333  1.          1.          0.875       0.83333333  1.          1.
  0.875       1.          0.625       1.          0.75        0.95833333]"
2,IPCAS_1_deter_dti_con_aparc68+subcort,mean,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.652586996337,0.213336154302,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.910833333333,0.153887133965,"[ 0.5         1.          1.          1.          0.91666667  0.66666667
  1.          1.          1.          1.          0.41666667  0.95833333
  0.875       1.          1.          1.          1.          0.5
  0.66666667  0.95833333  0.54166667  1.          1.          1.          0.75
  1.          1.          0.83333333  1.          1.          1.          1.
  0.83333333  1.          1.          1.          0.95833333  0.95833333
  1.          1.          0.83333333  1.          0.95833333  1.          1.
  1.          0.70833333  0.95833333  0.79166667  0.95833333]"
3,IPCAS_1_deter_dti_con_aparc68+subcort,mean,degrees,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.818181818182,0.0927094457017,"[ 0.72727273  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273
  0.81818182  0.72727273  0.90909091  0.81818182  0.72727273  0.81818182
  0.90909091  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.54545455  0.90909091  0.72727273  0.90909091  0.90909091  0.81818182
  0.72727273  0.90909091  0.81818182  0.63636364  1.          0.81818182
  0.72727273  0.90909091  0.72727273  1.          0.90909091  0.81818182
  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182  0.81818182
  0.81818182  0.90909091  1.          0.81818182  0.72727273  0.72727273
  0.72727273  0.90909091]",0.710737179487,0.207275110719,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.890833333333,0.172580496516,"[ 0.375       0.875       0.95833333  0.91666667  0.875       0.875       1.
  1.          1.          1.          0.33333333  0.83333333  0.91666667
  1.          0.95833333  1.          1.          0.41666667  0.75
  0.83333333  0.41666667  0.875       1.          0.95833333  0.70833333
  1.          1.          0.83333333  1.          0.95833333  1.          1.
  0.875       1.          1.          0.91666667  0.91666667  1.          1.
  1.          0.83333333  1.          0.95833333  1.          1.          1.
  0.70833333  1.          0.66666667  1.        ]"
4,IPCAS_1_deter_dti_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.536973443223,0.160724191368,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.853333333333,0.16419838949,"[ 0.66666667  0.66666667  1.          1.          0.75        0.79166667
  0.70833333  1.          1.          0.83333333  0.54166667  0.83333333
  0.83333333  1.          0.70833333  0.75        0.75        0.33333333
  0.5         1.          0.41666667  0.91666667  0.75        1.          0.875
  1.          1.          0.75        0.95833333  0.79166667  0.95833333
  0.95833333  0.83333333  0.95833333  0.95833333  1.          0.66666667
  1.          0.75        0.95833333  0.91666667  1.          0.95833333
  1.          1.          0.79166667  0.875       1.          1.
  0.95833333]"
5,IPCAS_1_deter_dti_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.75,0.0666229460368,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.790909090909,0.0895350709254,"[ 0.90909091  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182
  0.54545455  0.72727273  0.81818182  0.63636364  0.72727273  0.81818182
  0.90909091  0.81818182  0.90909091  0.72727273  0.90909091  0.72727273
  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273
  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091  0.90909091
  0.81818182  0.81818182  0.54545455  0.81818182  0.90909091  0.72727273
  0.72727273  0.90909091  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.81818182]",0.627632783883,0.109988497145,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.813333333333,0.192613602843,"[ 0.66666667  0.625       1.          0.91666667  0.66666667  0.875
  0.79166667  0.91666667  1.          0.79166667  0.25        0.95833333
  0.91666667  1.          0.70833333  0.70833333  0.66666667  0.33333333
  0.5         1.          0.375       0.83333333  0.58333333  0.91666667
  0.91666667  0.91666667  0.875       0.58333333  0.91666667  0.54166667
  0.91666667  0.875       0.75        1.          0.95833333  1.
  0.54166667  1.          0.91666667  0.91666667  0.95833333  0.91666667
  0.95833333  1.          0.95833333  0.70833333  0.625       0.95833333
  1.          0.95833333]"
6,IPCAS_1_deter_dti_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.811355311355,0.292840619931,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.674166666667,0.13986352475,"[ 0.41666667  0.66666667  0.83333333  1.          0.66666667  0.54166667
  0.83333333  0.79166667  0.91666667  0.66666667  0.58333333  0.70833333
  0.79166667  0.70833333  0.625       0.70833333  0.625       0.54166667
  0.66666667  0.70833333  0.75        0.66666667  0.75        0.625
  0.33333333  0.75        0.66666667  0.70833333  0.875       0.75        0.75
  0.83333333  0.625       0.875       0.91666667  0.54166667  0.66666667
  0.54166667  0.58333333  0.66666667  0.58333333  0.75        0.54166667
  0.5         0.54166667  0.83333333  0.375       0.70833333  0.5         0.5       ]"
7,IPCAS_1_deter_dti_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.788461538462,0.241657469234,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.725454545455,0.102029002521,"[ 0.63636364  0.63636364  0.72727273  0.81818182  0.81818182  0.81818182
  0.81818182  0.63636364  0.81818182  0.90909091  0.72727273  0.72727273
  0.72727273  0.72727273  0.45454545  0.81818182  0.63636364  0.72727273
  0.81818182  0.63636364  0.81818182  0.72727273  0.81818182  0.72727273
  0.54545455  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182
  0.81818182  0.63636364  0.63636364  0.72727273  0.90909091  0.63636364
  0.72727273  0.63636364  0.63636364  0.72727273  0.63636364  0.63636364
  0.63636364  0.63636364  0.45454545  0.81818182  0.81818182  0.81818182
  0.63636364  0.81818182]",0.811355311355,0.292840619931,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.663333333333,0.132245562833,"[ 0.375       0.70833333  0.66666667  1.          0.70833333  0.58333333
  0.79166667  0.79166667  0.83333333  0.66666667  0.54166667  0.625       0.75
  0.66666667  0.29166667  0.70833333  0.625       0.625       0.66666667
  0.70833333  0.70833333  0.70833333  0.70833333  0.625       0.625
  0.83333333  0.66666667  0.70833333  0.79166667  0.91666667  0.75
  0.70833333  0.625       0.75        0.79166667  0.625       0.70833333
  0.54166667  0.66666667  0.66666667  0.625       0.83333333  0.54166667
  0.375       0.45833333  0.66666667  0.41666667  0.70833333  0.54166667
  0.54166667]"
8,IPCAS_1_deter_dti_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.56684981685,0.241923818036,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.54,0.180077143963,"[ 0.5         0.45833333  0.41666667  0.5         0.375       0.83333333
  0.875       0.5         0.75        0.5         0.33333333  0.66666667
  0.41666667  0.5         0.5         0.58333333  0.875       0.125
  0.08333333  0.5         0.29166667  0.75        0.70833333  0.83333333
  0.5         0.625       0.79166667  0.45833333  0.20833333  0.70833333
  0.79166667  0.5         0.70833333  0.5         0.5         0.5
  0.66666667  0.5         0.54166667  0.75        0.54166667  0.5         0.5
  0.5         0.66666667  0.5         0.25        0.5         0.33333333
  0.58333333]"
9,IPCAS_1_deter_dti_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.531593406593,0.243022332755,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8475,0.203887564331,"[ 0.33333333  0.91666667  0.75        0.79166667  0.91666667  0.70833333
  0.95833333  0.95833333  1.          1.          0.33333333  0.70833333
  0.91666667  1.          0.95833333  1.          0.95833333  0.20833333
  0.54166667  0.95833333  0.33333333  1.          1.          1.
  0.95833333  1.          0.95833333  0.83333333  0.875       0.875       1.
  1.          0.54166667  1.          1.          1.          0.91666667
  0.75        0.75        1.          0.83333333  0.875       0.75        1.
  0.95833333  1.          0.66666667  0.95833333  0.625       1.        ]"
