,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_aparc150+subcort,mean,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.661973443223,0.246948873565,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.673333333333,0.191731872966,"[ 0.33333333  0.625       0.54166667  0.75        0.625       0.375       0.5
  0.83333333  0.875       0.70833333  0.20833333  0.70833333  1.          0.625
  0.54166667  0.66666667  1.          0.5         0.75        0.95833333
  0.79166667  0.66666667  0.54166667  1.          0.58333333  0.625
  0.45833333  0.58333333  0.5         0.58333333  0.91666667  0.83333333
  0.45833333  0.875       0.95833333  0.875       0.41666667  0.91666667
  0.41666667  0.41666667  0.66666667  0.79166667  0.83333333  0.83333333
  0.83333333  0.625       0.45833333  0.75        0.625       0.70833333]"
1,IPCAS_1_proba_csa_con_aparc150+subcort,mean,bag_of_edges,standard,SGD,0.788461538462,0.120487399987,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.734545454545,0.0306405446297,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.63636364  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.707760989011,0.278669295994,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9125,0.155064950549,"[ 0.33333333  0.91666667  0.91666667  1.          0.91666667  1.
  0.95833333  1.          1.          1.          0.33333333  1.          1.
  0.91666667  1.          1.          0.875       0.875       0.5         1.
  1.          1.          0.95833333  0.95833333  0.79166667  1.          1.
  0.70833333  0.66666667  1.          1.          1.          1.
  0.91666667  1.          0.91666667  1.          1.          0.79166667
  1.          0.79166667  0.91666667  0.95833333  1.          0.875       1.
  1.          0.95833333  0.875       1.        ]"
2,IPCAS_1_proba_csa_con_aparc150+subcort,mean,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.626373626374,0.21221724817,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.684166666667,0.178553213357,"[ 0.29166667  0.875       0.875       0.79166667  0.54166667  0.41666667
  0.75        0.83333333  0.91666667  0.75        0.25        0.79166667
  0.25        0.91666667  0.70833333  0.83333333  0.66666667  0.625
  0.54166667  0.875       1.          0.79166667  0.58333333  0.58333333
  0.25        0.66666667  0.66666667  0.875       0.58333333  0.79166667
  0.83333333  0.66666667  0.45833333  0.83333333  0.79166667  0.58333333
  0.83333333  0.79166667  0.58333333  0.625       0.83333333  0.70833333
  0.70833333  0.70833333  0.75        0.54166667  0.45833333  0.75
  0.70833333  0.75      ]"
3,IPCAS_1_proba_csa_con_aparc150+subcort,mean,degrees,standard,SGD,0.788461538462,0.143652687669,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.847272727273,0.103556588116,"[ 0.72727273  0.81818182  0.90909091  0.81818182  1.          0.81818182
  1.          0.72727273  0.90909091  0.81818182  0.81818182  0.81818182
  0.90909091  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182
  0.54545455  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.72727273  1.          1.          0.72727273  0.90909091  0.90909091
  0.90909091  0.90909091  0.63636364  1.          1.          0.81818182
  0.81818182  0.81818182  0.81818182  1.          0.72727273  0.72727273
  0.81818182  0.90909091  0.81818182  0.81818182  0.72727273  1.
  0.72727273  1.        ]",0.644688644689,0.252960133248,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.925,0.170579079087,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          0.95833333
  1.          1.          1.          1.          1.          0.54166667
  1.          1.          1.          1.          1.          0.54166667
  1.          1.          0.75        1.          1.          1.          1.
  0.83333333  1.          1.          1.          1.          0.91666667
  0.5         1.          0.75        1.          0.95833333  1.          1.
  1.          0.91666667  1.          0.91666667  1.        ]"
4,IPCAS_1_proba_csa_con_aparc150+subcort,mean,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.512706043956,0.147489700427,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.916666666667,0.170171482139,"[ 0.33333333  1.          1.          0.95833333  1.          0.95833333
  0.95833333  1.          1.          1.          0.33333333  1.          0.875
  1.          0.95833333  1.          1.          0.58333333  0.70833333
  1.          0.79166667  1.          1.          1.          0.41666667
  1.          1.          1.          1.          1.          1.          1.
  0.79166667  1.          1.          1.          1.          1.
  0.70833333  1.          0.91666667  1.          1.          1.          1.
  1.          0.79166667  1.          0.75        1.        ]"
5,IPCAS_1_proba_csa_con_aparc150+subcort,mean,closeness_centrality,standard,SGD,0.75,0.0666229460368,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.861818181818,0.104825711312,"[ 0.81818182  0.90909091  1.          0.90909091  1.          0.90909091
  0.72727273  0.81818182  0.81818182  0.90909091  0.72727273  1.
  0.72727273  1.          0.90909091  0.81818182  1.          0.81818182
  0.63636364  0.90909091  0.81818182  0.90909091  1.          0.81818182
  0.63636364  0.81818182  0.90909091  0.72727273  0.90909091  0.90909091
  0.81818182  0.90909091  0.63636364  0.90909091  0.90909091  0.81818182
  0.90909091  1.          0.72727273  0.81818182  0.90909091  0.72727273
  1.          0.81818182  1.          1.          0.72727273  0.81818182
  0.81818182  1.        ]",0.645604395604,0.218341069951,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.896666666667,0.186197326631,"[ 0.33333333  0.875       1.          0.95833333  1.          1.
  0.91666667  1.          1.          1.          0.33333333  1.
  0.83333333  1.          1.          1.          1.          0.66666667
  0.5         0.875       0.91666667  1.          1.          0.75
  0.20833333  0.83333333  1.          0.79166667  0.95833333  1.
  0.95833333  1.          0.83333333  1.          1.          1.          1.
  1.          0.66666667  1.          0.95833333  1.          1.          1.
  1.          1.          0.875       0.91666667  0.875       1.        ]"
6,IPCAS_1_proba_csa_con_aparc150+subcort,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,IPCAS_1_proba_csa_con_aparc150+subcort,mean,betweenness_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.734545454545,0.0809856634593,"[ 0.54545455  0.63636364  0.81818182  0.63636364  0.63636364  0.81818182
  0.81818182  0.72727273  0.63636364  0.90909091  0.72727273  0.81818182
  0.72727273  0.81818182  0.72727273  0.72727273  0.63636364  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.63636364  0.72727273  0.81818182  0.72727273  0.81818182
  0.54545455  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273
  0.54545455  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.601762820513,0.176275918915,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.600833333333,0.217799920926,"[ 0.45833333  0.70833333  0.875       0.79166667  0.33333333  0.41666667
  0.70833333  0.95833333  0.70833333  0.95833333  0.33333333  0.41666667
  0.45833333  0.91666667  0.79166667  0.66666667  0.16666667  0.33333333
  0.54166667  1.          0.91666667  0.95833333  0.83333333  0.5
  0.54166667  0.625       0.625       0.375       0.33333333  0.58333333
  0.625       0.83333333  0.625       0.33333333  0.79166667  0.70833333
  0.54166667  0.54166667  0.29166667  0.45833333  0.33333333  0.45833333
  0.58333333  0.66666667  0.75        1.          0.41666667  0.33333333
  0.375       0.54166667]"
8,IPCAS_1_proba_csa_con_aparc150+subcort,mean,eigenvector_centrality,standard,LR,0.75,0.21176084941,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.84,0.121369594678,"[ 0.72727273  1.          0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  1.          1.          0.54545455  0.81818182  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.63636364
  0.63636364  0.81818182  1.          0.81818182  0.72727273  0.54545455
  0.54545455  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.81818182  0.72727273  0.81818182  0.63636364  0.90909091  0.81818182
  1.          0.72727273  0.81818182  0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091  1.
  0.90909091  0.90909091]",0.608745421245,0.236202167951,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.883333333333,0.180662361572,"[ 0.33333333  1.          1.          1.          0.91666667  0.95833333
  0.91666667  1.          1.          0.79166667  0.33333333  1.
  0.95833333  1.          0.95833333  1.          1.          0.83333333
  0.375       0.75        1.          1.          0.91666667  0.58333333
  0.70833333  1.          1.          0.95833333  0.95833333  0.95833333
  1.          1.          0.75        0.83333333  0.83333333  0.75        1.
  1.          0.41666667  0.83333333  0.79166667  0.95833333  1.
  0.91666667  0.91666667  1.          1.          1.          1.
  0.95833333]"
9,IPCAS_1_proba_csa_con_aparc150+subcort,mean,eigenvector_centrality,standard,SGD,0.769230769231,0.0852872948248,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.787272727273,0.0989364935303,"[ 0.72727273  0.90909091  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.90909091  0.63636364  0.81818182  0.72727273
  0.63636364  0.90909091  0.81818182  0.90909091  0.81818182  0.54545455
  0.63636364  0.63636364  0.90909091  0.90909091  0.90909091  0.63636364
  0.72727273  0.90909091  0.81818182  0.90909091  0.81818182  0.72727273
  0.81818182  0.72727273  0.63636364  0.81818182  0.81818182  0.72727273
  1.          0.90909091  0.81818182  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.81818182  0.81818182  0.90909091
  0.72727273  0.90909091]",0.614010989011,0.294066212966,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.884166666667,0.193162640165,"[ 0.33333333  1.          1.          1.          0.91666667  1.          0.875
  1.          1.          0.83333333  0.33333333  1.          1.          1.
  0.83333333  1.          1.          0.75        0.45833333  0.95833333
  1.          1.          0.91666667  0.625       0.375       1.          1.
  0.875       1.          1.          1.          1.          0.54166667
  1.          0.79166667  0.875       1.          0.875       0.41666667
  0.875       0.91666667  1.          1.          0.95833333  0.95833333
  0.91666667  1.          1.          1.          1.        ]"
