,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_aparc150+subcort,mean,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.694253663004,0.231304926293,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.936666666667,0.150286762927,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          0.91666667
  1.          1.          1.          1.          0.79166667  0.54166667
  1.          0.83333333  1.          1.          1.          0.83333333
  1.          1.          0.75        1.          1.          1.          1.
  0.95833333  1.          1.          1.          1.          0.95833333
  0.79166667  1.          0.91666667  1.          0.95833333  1.
  0.91666667  1.          1.          1.          1.          1.        ]"
1,IPCAS_1_proba_csd_con_aparc150+subcort,mean,bag_of_edges,standard,SGD,0.769230769231,0.048172011637,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.747272727273,0.0455997680145,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273]",0.735576923077,0.214188222359,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.931666666667,0.169713811394,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  0.95833333  0.91666667
  1.          1.          1.          1.          0.45833333  0.54166667
  1.          0.58333333  1.          1.          1.          0.83333333
  1.          1.          0.83333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.79166667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.        ]"
2,IPCAS_1_proba_csd_con_aparc150+subcort,mean,degrees,standard,LR,0.788461538462,0.128899634032,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9,0.0818181818182,"[ 0.81818182  0.90909091  0.90909091  1.          0.81818182  0.90909091
  0.90909091  1.          1.          0.90909091  0.72727273  0.81818182
  0.72727273  0.90909091  0.90909091  0.90909091  1.          0.81818182
  1.          0.90909091  0.81818182  0.90909091  1.          0.90909091
  0.72727273  0.81818182  1.          0.90909091  0.81818182  1.
  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273  0.90909091
  1.          0.90909091  0.81818182  0.81818182  1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  1.
  0.90909091  1.        ]",0.797275641026,0.16384405658,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.973333333333,0.0627826940061,"[ 0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.70833333  1.          0.875       1.
  1.          1.          1.          1.          1.          1.          1.
  0.91666667  1.          1.          0.79166667  0.83333333  1.          1.
  1.          1.          1.          1.          0.95833333  0.95833333
  0.875       1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
3,IPCAS_1_proba_csd_con_aparc150+subcort,mean,degrees,standard,SGD,0.826923076923,0.0863537266759,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.84,0.0644365278061,"[ 0.81818182  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182
  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182
  0.72727273  0.72727273  1.          0.90909091  0.90909091  0.81818182
  0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091
  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182
  0.90909091  0.90909091  0.81818182  0.72727273  0.81818182  0.81818182
  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091
  0.72727273  0.90909091]",0.840315934066,0.094380880317,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.945,0.128679187646,"[ 0.54166667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.375       1.          1.          1.
  1.          1.          1.          0.70833333  0.70833333  1.          0.875
  1.          1.          1.          0.70833333  0.91666667  1.          1.
  1.          1.          1.          1.          1.          0.91666667
  0.95833333  1.          1.          1.          0.75        1.          1.
  1.          1.          0.95833333  0.83333333  1.          1.          1.
  1.          1.        ]"
4,IPCAS_1_proba_csd_con_aparc150+subcort,mean,closeness_centrality,standard,LR,0.769230769231,0.217818417104,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.950909090909,0.0912901106228,"[ 0.81818182  1.          1.          1.          0.81818182  0.90909091
  1.          1.          1.          1.          0.81818182  1.          1.
  1.          1.          1.          1.          0.81818182  0.72727273
  1.          1.          1.          1.          0.63636364  0.90909091
  1.          1.          1.          1.          1.          1.          1.
  0.72727273  0.81818182  0.81818182  1.          1.          1.
  0.81818182  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.        ]",0.804716117216,0.186941499379,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.953333333333,0.136585341657,"[ 0.375       1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          1.          0.70833333  1.          1.
  1.          1.          0.75        0.95833333  1.          1.          1.
  1.          1.          1.          1.          0.83333333  0.91666667
  0.875       1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
5,IPCAS_1_proba_csd_con_aparc150+subcort,mean,closeness_centrality,standard,SGD,0.826923076923,0.120208040928,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.889090909091,0.0798552409309,"[ 0.72727273  1.          1.          0.90909091  0.90909091  0.81818182
  0.81818182  1.          0.81818182  1.          0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  1.          0.72727273
  0.81818182  0.81818182  0.90909091  1.          0.90909091  0.72727273
  0.81818182  0.81818182  1.          0.90909091  0.90909091  0.90909091
  0.81818182  0.90909091  1.          0.81818182  0.81818182  0.81818182
  0.90909091  1.          0.81818182  0.90909091  0.90909091  0.81818182
  1.          0.81818182  0.90909091  1.          0.81818182  0.90909091
  0.81818182  1.        ]",0.857944139194,0.214034463147,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.955833333333,0.138044376923,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          1.          0.875       1.          1.
  1.          1.          0.75        1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.91666667
  0.91666667  1.          1.          1.          0.75        1.          1.
  1.          1.          1.          0.91666667  1.          1.          1.
  1.          1.        ]"
6,IPCAS_1_proba_csd_con_aparc150+subcort,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.674565018315,0.21073873392,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.871666666667,0.138654246239,"[ 0.83333333  1.          0.95833333  1.          0.83333333  1.
  0.91666667  1.          0.95833333  0.875       0.66666667  0.875
  0.95833333  0.95833333  0.875       0.95833333  0.95833333  0.95833333
  0.45833333  0.95833333  0.875       0.95833333  1.          0.58333333
  0.75        1.          1.          0.875       0.875       0.91666667
  0.70833333  0.95833333  0.91666667  0.91666667  0.875       0.83333333
  0.875       0.83333333  0.45833333  0.875       0.875       1.
  0.91666667  0.95833333  0.875       0.95833333  0.83333333  0.41666667
  0.79166667  0.875     ]"
7,IPCAS_1_proba_csd_con_aparc150+subcort,mean,betweenness_centrality,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0749655568294,"[ 0.72727273  0.63636364  0.90909091  0.72727273  0.72727273  0.81818182
  0.54545455  0.63636364  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.63636364  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.54545455  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.63636364  0.72727273  0.63636364  0.72727273
  0.72727273  0.63636364  0.72727273  0.72727273  0.90909091  0.72727273
  0.72727273  0.54545455]",0.718635531136,0.201669710761,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8875,0.161428088565,"[ 0.75        1.          0.875       1.          0.95833333  1.
  0.95833333  1.          0.91666667  0.95833333  0.66666667  0.91666667
  1.          1.          0.875       1.          0.91666667  1.          0.375
  1.          0.91666667  1.          1.          0.58333333  0.83333333
  1.          1.          0.91666667  0.95833333  1.          0.58333333
  0.95833333  0.83333333  0.91666667  0.91666667  0.95833333  0.875
  0.91666667  0.58333333  1.          0.91666667  1.          0.95833333
  1.          0.91666667  0.95833333  0.625       0.29166667  0.91666667
  0.875     ]"
8,IPCAS_1_proba_csd_con_aparc150+subcort,mean,eigenvector_centrality,standard,LR,0.788461538462,0.116803628717,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.881818181818,0.109469041625,"[ 0.81818182  0.90909091  0.90909091  1.          0.90909091  0.81818182
  0.81818182  1.          1.          0.90909091  0.81818182  1.
  0.81818182  0.90909091  1.          0.90909091  0.81818182  0.54545455
  0.72727273  0.90909091  0.90909091  0.90909091  0.90909091  0.63636364
  0.72727273  0.72727273  0.72727273  1.          0.90909091  0.81818182
  1.          1.          0.81818182  0.81818182  0.90909091  0.81818182
  1.          1.          0.81818182  0.90909091  1.          1.          1.
  0.90909091  0.63636364  0.90909091  0.90909091  1.          0.81818182
  1.        ]",0.788461538462,0.247023703436,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.833333333333,0.146723473847,"[ 0.625       0.75        0.95833333  1.          0.66666667  0.83333333
  0.75        0.79166667  1.          1.          0.375       0.95833333
  0.83333333  0.79166667  0.875       0.70833333  0.79166667  0.41666667
  0.75        0.875       0.875       0.75        0.70833333  1.
  0.79166667  0.70833333  0.70833333  0.625       0.79166667  0.91666667
  0.91666667  0.95833333  0.95833333  0.95833333  0.875       0.66666667
  0.875       0.91666667  0.66666667  0.875       0.95833333  1.
  0.95833333  0.95833333  0.66666667  0.875       1.          1.          1.
  0.95833333]"
9,IPCAS_1_proba_csd_con_aparc150+subcort,mean,eigenvector_centrality,standard,SGD,0.807692307692,0.119256457618,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.838181818182,0.0877449346328,"[ 0.72727273  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273
  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273  1.
  0.90909091  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273
  0.63636364  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273
  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273  0.90909091
  0.90909091  0.90909091  1.          0.72727273  0.81818182  0.81818182
  0.81818182  0.90909091  0.72727273  0.90909091  0.81818182  1.
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  1.          0.81818182]",0.855425824176,0.174055131153,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.7775,0.184580981926,"[ 0.875       0.79166667  0.91666667  1.          0.79166667  0.5         0.875
  0.79166667  0.91666667  1.          0.91666667  0.875       0.75        0.875
  0.5         0.79166667  0.83333333  0.41666667  0.33333333  0.875
  0.95833333  0.95833333  0.5         0.79166667  0.75        0.625
  0.70833333  0.54166667  0.41666667  0.95833333  0.66666667  0.91666667
  1.          0.5         0.875       0.79166667  0.91666667  0.83333333
  0.5         0.875       1.          0.83333333  0.95833333  0.95833333
  0.66666667  0.875       0.5         0.91666667  0.95833333  0.5       ]"
