,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.628090659341,0.196121313083,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.8125,0.174453511795,"[ 0.375       0.95833333  1.          0.83333333  0.875       1.
  0.83333333  0.83333333  1.          0.95833333  0.375       0.79166667
  0.91666667  1.          1.          0.875       0.66666667  0.41666667
  0.45833333  0.75        0.58333333  1.          1.          0.75
  0.45833333  0.75        0.70833333  0.625       0.66666667  0.91666667
  0.875       0.95833333  0.83333333  0.95833333  1.          0.75
  0.70833333  0.79166667  0.875       0.66666667  0.75        0.70833333
  0.91666667  0.83333333  0.91666667  0.875       1.          0.875
  0.95833333  1.        ]"
1,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,bag_of_edges,standard,SGD,0.769230769231,0.048172011637,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.803636363636,0.0878766979898,"[ 0.81818182  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273
  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182
  0.72727273  0.63636364  0.72727273  0.72727273  1.          0.90909091
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.90909091  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182
  0.81818182  1.          0.72727273  0.72727273  1.          0.72727273
  0.90909091  0.81818182  0.90909091  0.90909091  0.81818182  1.
  0.72727273  0.81818182]",0.778960622711,0.236821308165,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.933333333333,0.152525043481,"[ 0.41666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.375       1.          0.95833333
  1.          1.          0.95833333  1.          0.54166667  0.66666667
  1.          0.54166667  0.875       1.          1.          0.79166667
  1.          1.          0.91666667  0.95833333  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.91666667  0.95833333  0.79166667  1.          1.          1.          1.
  1.          1.          1.          1.          1.        ]"
2,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,degrees,standard,LR,0.884615384615,0.105649964544,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.947272727273,0.0729315313459,"[ 0.81818182  0.90909091  1.          0.90909091  0.90909091  1.          1.
  0.90909091  1.          0.90909091  0.81818182  0.81818182  0.81818182
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.72727273  0.90909091  0.90909091  1.          1.          0.72727273
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.
  0.90909091  1.          1.          0.90909091  1.          1.
  0.90909091  1.          1.          1.          1.          1.        ]",0.832532051282,0.133646063692,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.843333333333,0.12291596045,"[ 0.83333333  0.875       0.875       0.875       0.58333333  0.83333333
  1.          0.70833333  0.95833333  0.95833333  0.45833333  0.83333333
  1.          0.70833333  0.70833333  0.91666667  0.91666667  0.70833333
  0.58333333  0.875       1.          0.79166667  0.66666667  0.75        0.75
  0.75        0.91666667  0.95833333  0.79166667  0.875       0.95833333
  0.83333333  0.70833333  0.875       1.          0.75        0.70833333
  0.95833333  1.          0.95833333  0.875       0.83333333  0.95833333
  0.79166667  0.95833333  0.91666667  0.875       0.83333333  1.
  0.91666667]"
3,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,degrees,standard,SGD,0.903846153846,0.0805524897448,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.936363636364,0.0876695523727,"[ 0.81818182  0.90909091  1.          0.90909091  1.          0.81818182
  1.          1.          1.          0.90909091  0.81818182  0.81818182
  1.          0.90909091  1.          1.          1.          0.81818182
  0.72727273  0.72727273  0.81818182  0.81818182  1.          0.90909091
  0.72727273  1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  0.81818182  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          0.81818182]",0.863553113553,0.192078618144,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9675,0.101135909657,"[ 0.70833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.41666667  0.95833333  1.          1.
  1.          1.          1.          0.95833333  0.75        1.
  0.95833333  1.          1.          1.          0.79166667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
4,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,closeness_centrality,standard,LR,0.846153846154,0.0942745644545,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.898181818182,0.0920653738267,"[ 0.72727273  0.90909091  0.90909091  0.90909091  0.72727273  1.
  0.90909091  0.81818182  0.72727273  0.90909091  0.81818182  0.90909091
  1.          0.72727273  1.          1.          1.          0.81818182
  0.81818182  0.90909091  0.90909091  0.90909091  1.          0.81818182
  0.81818182  0.90909091  0.90909091  0.81818182  0.81818182  0.90909091
  0.90909091  1.          0.72727273  1.          1.          0.81818182
  1.          0.90909091  1.          1.          0.90909091  0.81818182
  0.81818182  1.          1.          1.          0.90909091  0.72727273
  1.          1.        ]",0.911172161172,0.0697963517161,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.969166666667,0.0557835599039,"[ 1.          0.95833333  1.          0.95833333  0.95833333  1.          1.
  0.875       0.95833333  1.          0.875       1.          1.          1.
  1.          1.          1.          0.95833333  0.95833333  0.70833333
  1.          1.          1.          0.83333333  0.91666667  1.          1.
  0.91666667  1.          1.          0.875       1.          1.          1.
  1.          0.95833333  1.          1.          1.          1.
  0.91666667  0.91666667  1.          1.          0.95833333  1.          1.
  0.95833333  1.          1.        ]"
5,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,closeness_centrality,standard,SGD,0.903846153846,0.084782098956,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.858181818182,0.0998511288563,"[ 0.72727273  0.90909091  0.90909091  0.81818182  0.90909091  0.81818182
  0.81818182  0.90909091  0.90909091  0.90909091  0.63636364  0.90909091
  0.90909091  0.90909091  1.          0.90909091  0.81818182  0.72727273
  0.90909091  0.63636364  0.81818182  0.90909091  1.          0.81818182
  0.63636364  0.90909091  0.72727273  0.72727273  0.81818182  0.81818182
  0.90909091  1.          0.90909091  1.          0.90909091  1.          1.
  0.81818182  0.81818182  0.72727273  1.          0.81818182  0.90909091
  0.90909091  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273
  1.        ]",0.955242673993,0.0397157474406,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.961666666667,0.0853261715745,"[ 0.58333333  0.91666667  1.          1.          1.          1.          1.
  1.          0.95833333  1.          0.58333333  1.          0.95833333
  0.95833333  1.          1.          1.          0.95833333  1.
  0.91666667  1.          1.          1.          0.875       0.875
  0.95833333  1.          1.          0.91666667  0.95833333  0.91666667
  1.          1.          1.          1.          1.          1.          1.
  1.          0.95833333  0.95833333  0.95833333  1.          1.          1.
  1.          1.          0.875       1.          1.        ]"
6,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.633585164835,0.196353678771,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.70125,0.181171438913,"[ 0.41666667  0.79166667  0.64583333  0.95833333  0.66666667  0.58333333
  0.83333333  0.83333333  0.66666667  0.75        0.33333333  0.79166667
  0.79166667  0.79166667  0.54166667  0.70833333  0.66666667  0.91666667
  0.54166667  0.45833333  0.875       0.625       0.66666667  0.60416667
  0.20833333  0.875       0.875       0.70833333  0.5         0.79166667
  0.83333333  0.70833333  0.58333333  1.          0.91666667  0.66666667
  0.70833333  0.91666667  0.375       0.75        0.66666667  0.91666667
  0.83333333  0.54166667  0.95833333  0.83333333  0.45833333  0.60416667
  0.41666667  0.95833333]"
7,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,betweenness_centrality,standard,SGD,0.769230769231,0.0762695627473,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723636363636,0.0978445385242,"[ 0.63636364  0.90909091  0.72727273  0.72727273  0.63636364  0.63636364
  0.63636364  0.72727273  0.63636364  0.72727273  0.81818182  0.72727273
  0.63636364  0.81818182  0.72727273  0.72727273  0.90909091  0.90909091
  0.63636364  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.63636364  0.72727273  0.72727273  0.72727273  0.81818182  0.54545455
  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273
  0.63636364  0.90909091  0.54545455  0.72727273  0.45454545  0.72727273
  0.81818182  0.63636364  0.63636364  0.81818182  0.54545455  0.72727273
  0.72727273  0.81818182]",0.74255952381,0.234847570702,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.735,0.188563649731,"[ 0.33333333  0.75        0.3125      0.5         0.83333333  0.79166667
  0.79166667  1.          0.66666667  0.83333333  0.20833333  0.79166667
  0.83333333  0.75        0.54166667  0.66666667  0.66666667  0.91666667
  0.79166667  0.58333333  0.875       0.75        0.70833333  0.60416667
  0.875       0.91666667  0.58333333  0.875       0.625       0.66666667
  0.875       0.625       0.70833333  0.95833333  1.          0.83333333
  0.70833333  0.91666667  0.5         0.70833333  1.          0.91666667
  1.          0.54166667  0.95833333  0.91666667  0.33333333  0.66666667
  0.66666667  0.875     ]"
8,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.744276556777,0.240922888536,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.945833333333,0.144637957981,"[ 0.375       1.          1.          1.          0.95833333  1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.625       0.66666667  1.          1.
  1.          1.          1.          0.95833333  1.          1.          0.75
  1.          1.          1.          1.          0.875       1.          1.
  1.          1.          1.          0.91666667  1.          1.          1.
  1.          1.          1.          1.          0.875       0.95833333
  1.          1.        ]"
9,IPCAS_1_deter_csa_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,SGD,0.826923076923,0.0706398516691,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.812727272727,0.0879706938429,"[ 0.81818182  0.72727273  0.90909091  0.81818182  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  1.          0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.81818182  0.81818182  0.72727273  0.45454545  0.81818182  0.72727273
  0.81818182  0.81818182  0.90909091  1.          0.81818182  0.81818182
  0.90909091  0.81818182  0.72727273  0.81818182  0.81818182  0.90909091
  0.81818182  0.90909091  1.          0.90909091  0.81818182  0.81818182
  0.72727273  0.72727273]",0.804258241758,0.255183629813,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.934166666667,0.145079001467,"[ 0.33333333  0.875       0.95833333  1.          1.          0.95833333
  0.79166667  1.          1.          1.          0.33333333  0.95833333
  1.          1.          1.          1.          1.          0.79166667
  0.83333333  1.          1.          1.          1.          1.          0.875
  0.95833333  0.91666667  0.75        1.          1.          1.          1.
  0.95833333  1.          1.          1.          1.          1.
  0.91666667  1.          1.          1.          1.          1.          1.
  1.          0.625       0.91666667  0.95833333  1.        ]"
