,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.689674908425,0.138954970552,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.915,0.170570936693,"[ 0.33333333  1.          1.          1.          1.          0.66666667
  1.          1.          1.          1.          0.29166667  1.
  0.83333333  1.          1.          1.          1.          0.45833333
  0.66666667  1.          0.70833333  1.          1.          1.
  0.91666667  0.91666667  1.          0.75        1.          1.          1.
  1.          0.91666667  1.          0.95833333  1.          1.
  0.95833333  1.          1.          0.875       1.          1.          1.
  1.          1.          0.66666667  1.          0.83333333  1.        ]"
1,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,bag_of_edges,standard,SGD,0.769230769231,0.048172011637,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.725454545455,0.0221937374832,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.63636364  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273]",0.723214285714,0.141763114735,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.919166666667,0.170458939337,"[ 0.41666667  1.          1.          1.          1.          0.66666667
  1.          1.          1.          1.          0.29166667  1.          1.
  1.          1.          1.          1.          0.41666667  0.70833333
  1.          0.625       1.          0.91666667  1.          0.91666667
  1.          1.          0.66666667  1.          1.          1.          1.
  0.91666667  1.          1.          1.          0.91666667  0.95833333
  0.95833333  1.          1.          1.          1.          1.          1.
  1.          0.66666667  1.          0.91666667  1.        ]"
2,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.58630952381,0.199623328905,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.673333333333,0.210713075057,"[ 0.33333333  0.54166667  0.70833333  0.625       0.41666667  0.79166667
  1.          0.66666667  0.83333333  0.75        0.25        0.91666667
  0.54166667  0.58333333  0.41666667  0.66666667  0.95833333  0.5         0.125
  0.625       0.70833333  0.58333333  0.79166667  0.66666667  0.41666667
  0.875       1.          0.54166667  0.70833333  0.79166667  0.95833333
  1.          0.54166667  0.83333333  0.75        0.75        0.75
  0.83333333  0.16666667  0.83333333  0.58333333  0.70833333  0.66666667
  0.83333333  0.33333333  0.79166667  0.5         0.70833333  0.91666667
  0.875     ]"
3,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,degrees,standard,SGD,0.769230769231,0.0703059053532,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.829090909091,0.0845796607245,"[ 0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182
  0.81818182  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273
  0.54545455  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182
  0.72727273  0.81818182  0.90909091  0.72727273  0.90909091  0.81818182
  0.81818182  0.81818182  0.72727273  1.          0.90909091  0.81818182
  1.          1.          0.81818182  1.          0.81818182  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.72727273  0.90909091]",0.728136446886,0.149634713667,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.914166666667,0.149631491783,"[ 0.33333333  1.          1.          0.91666667  0.58333333  1.
  0.95833333  0.83333333  1.          0.91666667  0.45833333  1.
  0.79166667  1.          1.          1.          1.          0.83333333
  0.66666667  1.          0.83333333  1.          1.          0.95833333
  0.58333333  1.          1.          0.75        1.          1.          1.
  0.95833333  1.          1.          1.          0.95833333  1.          1.
  0.83333333  1.          0.83333333  0.91666667  0.95833333  1.
  0.95833333  1.          1.          0.875       1.          1.        ]"
4,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.608287545788,0.200979032736,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9175,0.144455394884,"[ 0.66666667  0.875       1.          1.          0.83333333  1.          1.
  0.95833333  1.          1.          0.58333333  1.          1.          1.
  0.91666667  1.          1.          0.54166667  0.5         0.95833333
  0.70833333  1.          1.          1.          0.54166667  1.          1.
  0.79166667  1.          1.          0.95833333  1.          0.91666667
  1.          1.          1.          1.          1.          0.58333333
  1.          0.79166667  0.95833333  0.875       1.          0.95833333
  1.          0.95833333  1.          1.          1.        ]"
5,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,closeness_centrality,standard,SGD,0.75,0.180029566768,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.843636363636,0.11360363165,"[ 0.81818182  0.81818182  1.          0.72727273  0.72727273  0.72727273
  1.          0.90909091  1.          1.          0.72727273  0.81818182
  0.81818182  0.90909091  0.72727273  0.81818182  0.90909091  0.72727273
  0.63636364  0.81818182  0.72727273  0.81818182  0.90909091  0.90909091
  0.72727273  1.          1.          0.63636364  1.          0.81818182
  0.81818182  0.90909091  0.54545455  0.90909091  1.          1.
  0.90909091  1.          0.81818182  0.90909091  0.63636364  0.81818182
  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182  0.90909091
  0.72727273  0.90909091]",0.631639194139,0.239105155092,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.7875,0.206533895523,"[ 0.58333333  0.66666667  1.          0.5         0.41666667  0.08333333
  0.54166667  0.95833333  1.          0.875       0.625       0.875
  0.58333333  0.95833333  0.70833333  0.79166667  0.875       0.20833333
  0.5         0.83333333  0.70833333  1.          0.875       0.91666667
  0.70833333  0.91666667  0.75        0.79166667  0.91666667  0.95833333
  0.875       1.          0.66666667  1.          0.83333333  1.          0.875
  0.95833333  0.875       0.875       0.54166667  0.875       0.54166667
  1.          0.75        1.          0.91666667  0.95833333  0.83333333
  0.875     ]"
6,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.65625,0.260275995497,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.715833333333,0.193054756193,"[ 0.29166667  0.83333333  0.66666667  0.91666667  0.79166667  0.625
  0.91666667  0.875       0.79166667  0.79166667  0.20833333  0.75
  0.66666667  0.79166667  0.54166667  0.70833333  0.83333333  0.875
  0.29166667  0.79166667  0.75        0.54166667  0.625       0.70833333
  0.875       0.875       0.83333333  0.54166667  0.70833333  0.91666667
  0.66666667  0.91666667  0.41666667  1.          0.79166667  0.75        0.625
  0.875       0.20833333  0.875       0.83333333  0.875       0.875       0.75
  0.875       0.875       0.45833333  0.75        0.66666667  0.375     ]"
7,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,betweenness_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.674221611722,0.242150434775,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.722916666667,0.181154189236,"[ 0.20833333  0.70833333  0.75        0.91666667  0.79166667  0.625
  0.91666667  0.5         0.79166667  0.83333333  0.29166667  0.75
  0.95833333  0.79166667  0.72916667  0.70833333  0.79166667  0.83333333
  0.45833333  0.79166667  0.79166667  0.70833333  0.66666667  0.70833333
  0.54166667  0.91666667  0.83333333  0.58333333  0.75        0.91666667
  0.75        0.91666667  0.45833333  1.          0.79166667  0.79166667
  0.625       0.875       0.33333333  0.875       0.75        0.91666667
  0.91666667  0.70833333  0.875       0.79166667  0.45833333  0.75
  0.66666667  0.33333333]"
8,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.519574175824,0.309638997785,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.895,0.179551911404,"[ 0.33333333  1.          0.95833333  0.83333333  0.91666667  0.83333333
  0.83333333  1.          1.          1.          0.33333333  0.91666667
  0.91666667  1.          0.95833333  1.          1.          0.41666667
  0.375       1.          0.54166667  1.          1.          0.95833333
  0.91666667  1.          1.          0.83333333  0.875       1.
  0.95833333  1.          0.83333333  1.          1.          1.          1.
  0.91666667  0.70833333  1.          0.91666667  1.          0.95833333
  1.          1.          1.          0.83333333  1.          0.875       1.        ]"
9,IPCAS_1_deter_dti_con_ROIv_scale60,no_norm,eigenvector_centrality,standard,SGD,0.788461538462,0.112137021599,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.836363636364,0.104446593573,"[ 0.72727273  0.90909091  0.81818182  0.81818182  0.72727273  0.72727273
  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  0.90909091  0.90909091  1.          0.90909091  0.72727273
  0.54545455  1.          0.72727273  0.81818182  0.81818182  0.81818182
  0.72727273  0.90909091  1.          0.63636364  0.72727273  0.81818182
  0.90909091  0.81818182  0.63636364  0.90909091  0.90909091  0.81818182
  0.90909091  0.81818182  0.81818182  1.          0.81818182  0.81818182
  0.90909091  1.          0.81818182  1.          0.81818182  1.
  0.72727273  0.72727273]",0.595123626374,0.243464780174,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.869166666667,0.184468079142,"[ 0.375       1.          0.75        0.79166667  0.95833333  0.625
  0.95833333  1.          0.95833333  1.          0.33333333  0.79166667
  0.91666667  1.          0.95833333  0.95833333  1.          0.45833333
  0.33333333  0.95833333  0.5         0.91666667  0.95833333  0.95833333
  0.75        1.          1.          0.91666667  0.66666667  0.91666667
  0.95833333  1.          1.          1.          1.          0.91666667
  1.          1.          0.70833333  0.91666667  0.875       1.
  0.91666667  1.          0.95833333  0.95833333  0.70833333  1.          0.875
  0.95833333]"
