,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,bag_of_edges,standard,LR,0.788461538462,0.126772296302,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.878181818182,0.103827574802,"[ 0.72727273  0.81818182  1.          0.81818182  0.81818182  0.72727273
  1.          0.90909091  0.81818182  1.          0.72727273  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273
  0.72727273  1.          0.81818182  1.          0.81818182  1.
  0.90909091  1.          0.81818182  0.81818182  0.63636364  0.81818182
  0.90909091  1.          0.81818182  1.          0.90909091  1.
  0.81818182  0.90909091  0.72727273  1.          1.          0.81818182
  1.          1.          0.63636364  0.90909091  0.81818182  0.90909091
  0.81818182  0.90909091]",0.73592032967,0.179492545135,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.915833333333,0.176872914201,"[ 0.33333333  1.          1.          1.          0.95833333  0.79166667
  1.          1.          1.          1.          0.41666667  1.
  0.91666667  1.          1.          1.          1.          0.375
  0.83333333  1.          0.95833333  1.          0.95833333  1.
  0.91666667  0.91666667  1.          0.875       0.91666667  1.          1.
  1.          0.91666667  1.          0.95833333  1.          1.
  0.95833333  1.          1.          0.83333333  1.          1.          1.
  1.          1.          0.33333333  1.          0.625       1.        ]"
1,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,bag_of_edges,standard,SGD,0.807692307692,0.0678728080181,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.778181818182,0.05795409982,"[ 0.72727273  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273  0.90909091
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273  0.90909091
  0.72727273  0.81818182]",0.789491758242,0.174280829142,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.910833333333,0.167707168733,"[ 0.33333333  1.          1.          1.          0.875       0.58333333
  1.          1.          1.          1.          0.33333333  1.          1.
  1.          1.          1.          1.          0.5         0.79166667
  1.          0.91666667  1.          1.          1.          0.95833333
  0.875       0.91666667  0.83333333  0.95833333  1.          1.          1.
  0.95833333  0.91666667  1.          1.          0.91666667  1.          1.
  1.          0.83333333  0.91666667  1.          1.          0.91666667
  1.          0.5         1.          0.75        0.95833333]"
2,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.589171245421,0.287886872892,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.834166666667,0.184181749005,"[ 0.54166667  0.79166667  0.95833333  0.91666667  0.79166667  0.625
  0.91666667  0.75        1.          0.75        0.5         0.91666667
  0.79166667  1.          1.          0.95833333  1.          0.375       0.625
  0.91666667  0.41666667  0.83333333  1.          0.79166667  0.375       1.
  1.          0.83333333  1.          1.          1.          0.91666667
  0.91666667  1.          1.          1.          0.79166667  1.          0.625
  1.          0.625       0.75        0.79166667  1.          0.875       1.
  0.58333333  1.          0.58333333  0.875     ]"
3,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,degrees,standard,SGD,0.730769230769,0.0817995848143,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.789090909091,0.0969621209162,"[ 0.72727273  0.72727273  0.90909091  0.72727273  0.63636364  0.72727273
  0.72727273  0.72727273  0.90909091  0.81818182  0.72727273  0.81818182
  0.63636364  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273
  0.54545455  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.63636364  0.90909091  0.72727273
  0.63636364  0.90909091  0.81818182  1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.72727273  0.81818182  0.63636364  0.72727273
  0.72727273  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.90909091]",0.702724358974,0.267970095897,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.786666666667,0.168663043439,"[ 0.41666667  0.75        0.95833333  0.79166667  0.70833333  1.
  0.54166667  0.70833333  0.91666667  0.66666667  0.5         0.66666667
  0.66666667  1.          0.79166667  0.79166667  0.83333333  0.5
  0.70833333  0.83333333  0.45833333  0.95833333  0.95833333  0.5
  0.58333333  1.          0.95833333  0.79166667  1.          0.79166667
  0.95833333  1.          0.625       0.95833333  1.          0.91666667
  0.91666667  0.91666667  0.75        0.875       0.54166667  0.83333333
  0.75        1.          0.75        0.95833333  0.70833333  0.66666667
  0.58333333  0.875     ]"
4,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,closeness_centrality,standard,LR,0.769230769231,0.0380317871133,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.763636363636,0.0962091385842,"[ 0.63636364  0.72727273  0.81818182  0.72727273  0.63636364  0.72727273
  0.63636364  0.81818182  0.90909091  0.63636364  0.63636364  0.81818182
  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182  0.72727273
  0.63636364  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182
  0.81818182  0.81818182  0.63636364  0.54545455  0.63636364  0.81818182
  0.90909091  0.81818182  0.54545455  0.81818182  0.72727273  1.
  0.81818182  0.81818182  0.63636364  0.72727273  0.72727273  0.81818182
  0.72727273  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182
  0.90909091  0.81818182]",0.574748168498,0.071917335907,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.828333333333,0.168044306327,"[ 0.66666667  0.625       0.95833333  1.          0.58333333  1.          0.75
  0.95833333  1.          0.83333333  0.45833333  0.83333333  0.75
  0.95833333  0.70833333  0.66666667  0.66666667  0.375       0.54166667
  1.          0.45833333  0.91666667  0.70833333  1.          0.91666667
  0.95833333  0.91666667  0.70833333  0.91666667  0.66666667  0.95833333
  0.91666667  0.83333333  0.91666667  0.875       1.          0.66666667
  1.          0.625       0.91666667  0.79166667  1.          0.875       1.
  0.95833333  0.70833333  0.95833333  0.95833333  1.          0.95833333]"
5,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,closeness_centrality,standard,SGD,0.769230769231,0.0703059053532,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.781818181818,0.104446593573,"[ 0.90909091  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273
  0.54545455  0.72727273  0.90909091  0.63636364  0.72727273  0.72727273
  0.90909091  0.90909091  0.81818182  0.72727273  0.90909091  0.81818182
  0.72727273  0.90909091  0.63636364  0.63636364  0.72727273  0.63636364
  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182
  0.90909091  0.81818182  0.54545455  0.90909091  0.72727273  0.90909091
  0.81818182  0.81818182  0.54545455  0.81818182  0.72727273  0.72727273
  0.90909091  1.          0.81818182  0.81818182  0.72727273  0.72727273
  0.90909091  0.72727273]",0.668841575092,0.101311800021,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.831666666667,0.181613141962,"[ 0.66666667  0.58333333  1.          1.          0.625       1.          0.75
  0.95833333  1.          0.75        0.58333333  0.83333333  0.95833333
  1.          0.70833333  0.66666667  0.66666667  0.29166667  0.54166667
  0.95833333  0.41666667  0.79166667  0.70833333  0.875       0.91666667
  0.83333333  0.91666667  0.54166667  1.          0.66666667  0.91666667
  0.95833333  0.91666667  1.          1.          1.          0.625       1.
  0.58333333  0.95833333  0.91666667  1.          1.          0.95833333
  1.          0.70833333  1.          0.95833333  1.          0.875     ]"
6,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.811355311355,0.292840619931,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.674166666667,0.13986352475,"[ 0.41666667  0.66666667  0.83333333  1.          0.66666667  0.54166667
  0.83333333  0.79166667  0.91666667  0.66666667  0.58333333  0.70833333
  0.79166667  0.70833333  0.625       0.70833333  0.625       0.54166667
  0.66666667  0.70833333  0.75        0.66666667  0.75        0.625
  0.33333333  0.75        0.66666667  0.70833333  0.875       0.75        0.75
  0.83333333  0.625       0.875       0.91666667  0.54166667  0.66666667
  0.54166667  0.58333333  0.66666667  0.58333333  0.75        0.54166667
  0.5         0.54166667  0.83333333  0.375       0.70833333  0.5         0.5       ]"
7,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,betweenness_centrality,standard,SGD,0.807692307692,0.190903967758,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.707272727273,0.106468479796,"[ 0.63636364  0.63636364  0.72727273  0.81818182  0.81818182  0.72727273
  0.81818182  0.63636364  0.81818182  0.81818182  0.72727273  0.72727273
  0.63636364  0.72727273  0.45454545  0.81818182  0.72727273  0.81818182
  0.63636364  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273
  0.54545455  0.81818182  0.81818182  0.72727273  0.81818182  0.90909091
  0.72727273  0.54545455  0.63636364  0.72727273  0.90909091  0.63636364
  0.63636364  0.63636364  0.54545455  0.63636364  0.63636364  0.63636364
  0.54545455  0.63636364  0.45454545  0.81818182  0.63636364  0.72727273
  0.63636364  0.81818182]",0.814903846154,0.214867633041,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.7675,0.121646687857,"[ 0.5         0.75        0.70833333  0.875       0.875       0.83333333
  0.95833333  0.83333333  0.83333333  0.75        0.45833333  0.79166667
  0.79166667  0.79166667  0.58333333  0.91666667  0.75        0.79166667
  0.83333333  0.79166667  0.91666667  0.83333333  0.91666667  0.79166667
  0.58333333  0.875       0.91666667  0.91666667  0.875       1.
  0.91666667  0.75        0.625       0.91666667  0.79166667  0.70833333
  0.79166667  0.625       0.75        0.66666667  0.70833333  0.625
  0.70833333  0.58333333  0.66666667  0.83333333  0.66666667  0.75        0.625
  0.625     ]"
8,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.56684981685,0.241923818036,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.540416666667,0.18048978503,"[ 0.5         0.45833333  0.41666667  0.5         0.375       0.83333333
  0.875       0.5         0.75        0.5         0.33333333  0.66666667
  0.41666667  0.5         0.5         0.58333333  0.875       0.125
  0.08333333  0.5         0.29166667  0.75        0.70833333  0.83333333
  0.5         0.625       0.79166667  0.45833333  0.20833333  0.70833333
  0.79166667  0.5         0.72916667  0.5         0.5         0.5
  0.66666667  0.5         0.54166667  0.75        0.54166667  0.5         0.5
  0.5         0.66666667  0.5         0.25        0.5         0.33333333
  0.58333333]"
9,IPCAS_1_deter_dti_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.531593406593,0.243022332755,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8475,0.203887564331,"[ 0.33333333  0.91666667  0.75        0.79166667  0.91666667  0.70833333
  0.95833333  0.95833333  1.          1.          0.33333333  0.70833333
  0.91666667  1.          0.95833333  1.          0.95833333  0.20833333
  0.54166667  0.95833333  0.33333333  1.          1.          1.
  0.95833333  1.          0.95833333  0.83333333  0.875       0.875       1.
  1.          0.54166667  1.          1.          1.          0.91666667
  0.75        0.75        1.          0.83333333  0.875       0.75        1.
  0.95833333  1.          0.66666667  0.95833333  0.625       1.        ]"
