,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.644001831502,0.223200666439,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9375,0.157067306875,"[ 0.375       0.95833333  1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          0.95833333  1.          0.79166667  0.41666667  1.
  0.83333333  1.          1.          1.          0.70833333  1.          1.
  0.95833333  0.95833333  1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.75        1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
1,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,bag_of_edges,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.770909090909,0.0732706970168,"[ 0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273  0.72727273  0.90909091  0.72727273  0.81818182
  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.63636364  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.90909091  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182
  0.72727273  0.72727273  1.          1.          0.72727273  0.90909091
  0.72727273  0.72727273]",0.724015567766,0.234392071871,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.943333333333,0.151097834384,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.875       0.58333333  1.          0.875
  1.          1.          0.95833333  0.70833333  1.          1.
  0.95833333  1.          0.95833333  1.          1.          1.          1.
  1.          1.          1.          1.          0.66666667  1.
  0.91666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
2,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,degrees,standard,LR,0.807692307692,0.0506664684839,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.894545454545,0.116930437751,"[ 0.63636364  0.90909091  1.          1.          0.81818182  1.          1.
  0.90909091  0.72727273  0.90909091  0.72727273  0.90909091  0.81818182
  1.          0.90909091  0.81818182  0.90909091  0.63636364  0.72727273
  1.          0.81818182  1.          0.90909091  0.90909091  0.63636364
  0.72727273  0.72727273  0.63636364  0.90909091  1.          0.90909091
  1.          0.81818182  1.          1.          1.          1.          1.
  0.81818182  1.          0.81818182  1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  1.          1.        ]",0.787087912088,0.150365561406,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9625,0.109687054842,"[ 0.54166667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.5         1.          1.          1.
  1.          1.          1.          0.91666667  0.75        1.
  0.95833333  1.          1.          0.95833333  0.66666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
3,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,degrees,standard,SGD,0.846153846154,0.0707296940335,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.930909090909,0.0919216338892,"[ 0.63636364  0.90909091  1.          1.          1.          0.81818182
  1.          0.90909091  1.          0.90909091  0.81818182  1.
  0.90909091  1.          1.          0.81818182  1.          1.
  0.81818182  1.          0.90909091  0.90909091  0.90909091  0.81818182
  0.63636364  0.90909091  0.81818182  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.81818182  1.        ]",0.823717948718,0.0626486746207,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.949166666667,0.125080529615,"[ 0.41666667  0.875       1.          1.          0.95833333  0.83333333
  1.          1.          1.          0.95833333  0.41666667  1.          1.
  1.          1.          1.          1.          1.          0.875       1.
  0.83333333  1.          0.95833333  0.91666667  0.75        1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          1.          1.          0.75        1.
  1.          1.        ]"
4,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,closeness_centrality,standard,LR,0.865384615385,0.0983661579104,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.965454545455,0.0701592050239,"[ 0.72727273  1.          1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          0.81818182  0.90909091  0.90909091
  1.          1.          1.          1.          1.          1.          1.
  0.81818182  1.          1.          1.          0.72727273  1.          1.
  0.90909091  1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.90909091
  0.81818182  1.          1.        ]",0.911858974359,0.0738397822661,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.938333333333,0.0906151814605,"[ 0.75        0.95833333  1.          1.          0.95833333  1.          1.
  0.91666667  0.91666667  1.          0.5         0.875       0.95833333
  1.          0.95833333  1.          0.875       1.          1.          1.
  0.91666667  1.          0.95833333  1.          0.875       1.          1.
  0.95833333  1.          1.          0.91666667  0.875       0.95833333
  1.          1.          1.          0.95833333  0.79166667  0.91666667
  1.          1.          0.95833333  0.875       1.          0.79166667
  1.          0.83333333  0.875       0.83333333  0.95833333]"
5,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,closeness_centrality,standard,SGD,0.865384615385,0.0909796659889,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.907272727273,0.0881208786622,"[ 0.81818182  0.90909091  1.          1.          0.90909091  0.81818182
  0.81818182  1.          0.90909091  1.          0.72727273  0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.90909091  1.
  0.81818182  1.          0.72727273  1.          1.          0.90909091
  0.72727273  1.          1.          0.81818182  0.90909091  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  1.
  0.90909091  1.          1.          0.81818182  1.          0.90909091
  0.72727273  1.          1.          0.81818182  0.72727273  0.90909091
  0.81818182  1.        ]",0.920673076923,0.0660122201321,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.921666666667,0.10295630141,"[ 0.625       0.875       1.          1.          0.83333333  1.          1.
  0.91666667  0.91666667  1.          0.41666667  0.83333333  0.95833333
  1.          0.83333333  1.          0.95833333  1.          0.79166667
  0.95833333  0.91666667  1.          0.95833333  0.95833333  0.875
  0.95833333  1.          0.95833333  0.875       0.875       0.95833333
  0.95833333  1.          1.          1.          0.91666667  0.91666667
  0.875       0.79166667  1.          1.          0.91666667  0.95833333
  1.          0.91666667  0.875       0.95833333  0.875       0.91666667
  0.95833333]"
6,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.608516483516,0.253694614936,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.901666666667,0.156293882727,"[ 0.70833333  1.          0.91666667  0.875       0.875       0.75        1.
  1.          1.          0.91666667  0.875       1.          1.          1.
  1.          1.          1.          0.45833333  0.58333333  1.
  0.58333333  0.875       0.91666667  0.95833333  0.33333333  1.          1.
  0.91666667  0.95833333  1.          0.95833333  1.          0.91666667
  1.          1.          1.          0.95833333  1.          0.5         1.
  0.75        0.91666667  0.83333333  0.95833333  1.          1.
  0.95833333  0.95833333  0.875       1.        ]"
7,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,betweenness_centrality,standard,SGD,0.807692307692,0.0566402389618,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.781818181818,0.0749655568294,"[ 0.54545455  0.81818182  0.81818182  0.81818182  0.72727273  0.63636364
  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273
  0.90909091  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  1.
  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273
  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.72727273  0.72727273]",0.578525641026,0.221936324761,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.911666666667,0.173333333333,"[ 0.75        1.          0.91666667  1.          0.79166667  0.875       1.
  0.91666667  0.95833333  0.875       0.33333333  1.          1.          1.
  1.          1.          1.          0.45833333  0.83333333  1.
  0.33333333  0.83333333  0.95833333  0.91666667  0.33333333  1.          1.
  1.          1.          1.          0.91666667  1.          0.95833333
  0.95833333  1.          1.          1.          1.          0.83333333
  1.          0.95833333  1.          0.91666667  1.          1.          1.
  1.          0.95833333  1.          1.        ]"
8,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,IPCAS_1_proba_csa_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.529761904762,0.24317497876,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.751666666667,0.191659420153,"[ 0.625       0.75        0.70833333  0.75        0.79166667  0.875
  0.70833333  0.875       0.66666667  0.875       0.41666667  0.875       0.75
  1.          0.625       0.91666667  0.95833333  0.58333333  0.54166667
  0.625       0.91666667  0.875       1.          0.54166667  0.375       0.75
  0.91666667  0.70833333  0.45833333  0.70833333  0.875       0.875
  0.79166667  0.91666667  0.95833333  0.95833333  0.91666667  0.83333333
  0.33333333  0.95833333  0.41666667  0.625       0.79166667  0.83333333
  0.875       0.95833333  0.20833333  0.75        0.54166667  1.        ]"
