,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.842032967033,0.141291122433,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.97,0.0833499983337,"[ 0.75        1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.79166667  1.          1.          1.
  1.          1.          1.          0.58333333  0.70833333  1.
  0.95833333  1.          1.          1.          0.95833333  1.          1.
  0.91666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          0.875
  1.          1.          1.          1.          1.          0.95833333
  1.          1.          1.        ]"
1,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,bag_of_edges,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.894545454545,0.0897379103946,"[ 0.63636364  0.90909091  1.          0.72727273  0.90909091  0.81818182
  1.          1.          0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  0.90909091  1.          0.81818182  0.90909091  0.81818182
  0.72727273  0.90909091  0.81818182  1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.81818182  0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  1.          1.          0.81818182
  0.90909091  1.          0.72727273  0.90909091  0.90909091  0.90909091
  0.90909091  1.          0.90909091  1.          0.81818182  1.
  0.81818182  1.        ]",0.867101648352,0.150479281982,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.964166666667,0.11873464813,"[ 0.70833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.66666667  0.66666667  1.          1.
  1.          1.          1.          0.95833333  1.          1.          0.875
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
2,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.705242673993,0.188561701302,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.945833333333,0.104831213545,"[ 0.79166667  1.          1.          1.          0.875       1.          1.
  1.          1.          1.          0.75        1.          1.          1.
  1.          1.          1.          0.58333333  0.66666667  0.95833333
  0.625       1.          1.          0.875       0.75        1.          1.
  0.875       1.          1.          1.          1.          0.875       1.
  1.          1.          1.          1.          0.91666667  1.
  0.83333333  0.95833333  1.          1.          1.          1.          1.
  0.95833333  1.          1.        ]"
3,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,degrees,standard,SGD,0.826923076923,0.0949261168742,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.82,0.111325596472,"[ 0.54545455  0.81818182  0.90909091  0.72727273  0.90909091  0.63636364
  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273  0.90909091
  0.81818182  0.72727273  0.90909091  0.81818182  1.          0.63636364
  0.54545455  0.81818182  0.72727273  0.72727273  1.          0.72727273
  0.72727273  1.          0.90909091  0.90909091  0.81818182  1.
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.81818182  0.90909091  0.72727273  0.90909091  0.63636364  0.81818182
  0.81818182  0.90909091  0.90909091  0.90909091  0.72727273  0.72727273
  0.72727273  0.90909091]",0.813415750916,0.112260053673,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.909166666667,0.158703514629,"[ 0.54166667  0.91666667  1.          1.          0.875       0.58333333
  1.          1.          1.          0.95833333  0.41666667  1.          1.
  0.95833333  1.          1.          1.          0.45833333  0.75        1.
  0.625       1.          1.          0.95833333  0.625       1.          1.
  0.75        1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          1.          0.79166667
  1.          0.875       1.          1.          1.          1.          1.
  0.66666667  1.          0.79166667  1.        ]"
4,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.609775641026,0.172442965728,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.836666666667,0.183303027798,"[ 0.58333333  0.66666667  1.          0.95833333  0.66666667  0.875
  0.91666667  1.          1.          1.          0.41666667  1.          1.
  0.95833333  0.66666667  0.625       0.66666667  0.375       0.33333333
  1.          0.66666667  0.875       0.66666667  0.91666667  0.79166667
  1.          1.          0.79166667  0.83333333  0.66666667  1.
  0.91666667  0.91666667  1.          1.          0.95833333  0.66666667
  1.          0.625       1.          0.91666667  1.          1.          1.
  1.          0.66666667  0.70833333  0.83333333  0.70833333  1.        ]"
5,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,closeness_centrality,standard,SGD,0.769230769231,0.048172011637,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.756363636364,0.0690909090909,"[ 0.81818182  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.81818182  0.81818182  0.72727273  0.45454545
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.90909091
  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273]",0.685554029304,0.199484092367,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.773333333333,0.204491238606,"[ 0.45833333  0.625       1.          0.875       0.66666667  0.95833333
  0.91666667  1.          1.          0.83333333  0.33333333  1.
  0.95833333  0.625       0.66666667  0.58333333  0.66666667  0.45833333
  0.16666667  0.91666667  0.625       0.33333333  0.66666667  0.66666667
  0.70833333  1.          0.875       0.79166667  0.54166667  0.66666667
  1.          0.83333333  0.875       1.          1.          0.75
  0.58333333  0.91666667  0.625       1.          0.91666667  0.91666667
  0.95833333  1.          0.75        0.66666667  0.625       0.83333333
  0.83333333  1.        ]"
6,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.637133699634,0.151599134492,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.869166666667,0.14719837333,"[ 0.41666667  0.66666667  0.91666667  0.75        0.70833333  0.91666667
  1.          0.70833333  0.95833333  1.          0.625       1.
  0.95833333  0.91666667  1.          0.875       1.          1.
  0.66666667  0.83333333  1.          1.          0.83333333  0.625
  0.41666667  0.875       0.95833333  0.875       0.875       0.75        0.875
  1.          0.875       0.95833333  1.          1.          0.91666667
  1.          0.75        1.          0.875       0.75        0.83333333
  1.          1.          0.75        1.          0.79166667  1.
  0.95833333]"
7,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,betweenness_centrality,standard,SGD,0.807692307692,0.0957684584461,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.787272727273,0.0825422506387,"[ 0.63636364  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182
  0.90909091  0.72727273  0.72727273  0.81818182  0.72727273  0.90909091
  0.81818182  0.72727273  0.81818182  0.72727273  0.90909091  0.81818182
  0.72727273  0.81818182  1.          0.81818182  0.72727273  0.81818182
  0.54545455  0.81818182  0.81818182  0.63636364  0.81818182  0.81818182
  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273
  0.81818182  0.81818182  0.72727273  1.          0.81818182  0.72727273
  0.63636364  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182
  0.81818182  0.72727273]",0.760645604396,0.162612319034,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.855833333333,0.158159992834,"[ 0.58333333  0.5         0.875       0.91666667  0.875       0.95833333
  1.          0.79166667  0.95833333  1.          0.45833333  1.          1.
  0.83333333  0.95833333  1.          0.95833333  0.83333333  0.54166667
  0.75        1.          0.95833333  0.79166667  0.625       0.375
  0.83333333  1.          0.83333333  0.75        0.83333333  0.95833333
  1.          0.83333333  1.          1.          0.91666667  0.875       1.
  0.66666667  1.          0.79166667  0.70833333  0.79166667  1.          1.
  0.83333333  1.          0.75        0.91666667  0.95833333]"
8,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.683035714286,0.185888237279,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.91,0.129196233175,"[ 0.75        0.79166667  1.          1.          0.79166667  0.95833333
  0.83333333  0.91666667  1.          0.875       0.70833333  1.          0.875
  1.          0.95833333  1.          1.          0.625       0.45833333
  1.          0.875       1.          1.          0.91666667  0.70833333
  1.          1.          0.95833333  1.          1.          0.95833333
  1.          0.75        1.          1.          1.          1.          1.
  0.58333333  1.          0.79166667  0.95833333  0.875       1.
  0.95833333  1.          0.70833333  0.91666667  1.          1.        ]"
9,IPCAS_1_proba_csd_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.754235347985,0.240266928936,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.903333333333,0.142263448886,"[ 0.58333333  0.875       1.          0.91666667  0.875       0.875
  0.79166667  1.          1.          0.95833333  0.54166667  1.
  0.91666667  0.91666667  0.95833333  1.          1.          0.625
  0.58333333  1.          0.54166667  1.          1.          0.91666667
  0.91666667  1.          1.          1.          1.          1.
  0.91666667  1.          0.70833333  1.          1.          1.          1.
  1.          0.58333333  1.          0.83333333  0.91666667  0.83333333
  1.          1.          1.          0.66666667  0.95833333  0.95833333
  1.        ]"
