,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,LR,0.969387755102,0.0254988636925,"{'fit_intercept': True, 'C': 0.05, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.945,0.043874821937,"[ 0.95  0.95  0.95  1.    1.    0.95  0.9   0.95  0.95  0.95  0.95  0.9
  0.9   0.95  1.    0.95  0.9   1.    1.    0.85  1.    0.95  0.9   0.95
  0.95  0.95  0.95  0.9   0.9   1.    1.    0.95  0.8   0.9   1.    0.95
  0.95  0.9   0.95  0.95  0.9   0.95  0.85  0.95  0.95  1.    1.    1.
  0.95  0.95]",0.990702947846,0.0111644587035,"{'fit_intercept': True, 'C': 0.01, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9885,0.016255768207,"[ 0.995  0.995  1.     1.     1.     1.     0.97   0.98   0.98   0.99   0.99
  0.96   0.96   0.99   1.     0.98   1.     1.     1.     0.99   1.     1.
  0.955  0.99   1.     0.99   0.99   0.98   0.96   1.     1.     1.     0.915
  0.99   1.     1.     1.     0.99   0.99   0.98   0.97   1.     0.98
  0.995  0.99   1.     1.     1.     0.98   1.   ]"
1,BNU_1_deter_csa_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.969387755102,0.0254988636925,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0, 'shuffle': True, 'n_jobs': -1, 'loss': 'hinge', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.5, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.943,0.0458366665455,"[ 0.95  0.95  0.95  1.    1.    0.95  0.9   0.95  0.95  0.95  0.95  0.9
  0.9   0.95  1.    0.95  0.9   1.    0.95  0.85  1.    0.95  0.9   0.95
  0.95  0.95  0.95  0.85  0.85  1.    1.    0.95  0.8   0.9   1.    0.95
  0.95  0.9   0.95  0.95  0.95  0.95  0.85  0.95  0.95  1.    1.    1.
  0.95  0.95]",0.990702947846,0.0111644587035,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0, 'shuffle': True, 'n_jobs': -1, 'loss': 'hinge', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.001, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.9885,0.016255768207,"[ 0.995  0.995  1.     1.     1.     1.     0.97   0.98   0.98   0.99   0.99
  0.96   0.96   0.99   1.     0.98   1.     1.     1.     0.99   1.     1.
  0.955  0.99   1.     0.99   0.99   0.98   0.96   1.     1.     1.     0.915
  0.99   1.     1.     1.     0.99   0.99   0.98   0.97   1.     0.98
  0.995  0.99   1.     1.     1.     0.98   1.   ]"
2,BNU_1_deter_csa_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,LR,0.918367346939,0.0501974443929,"{'fit_intercept': True, 'C': 0.05, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.927,0.052163205423,"[ 1.    0.9   0.95  1.    0.95  0.85  1.    0.9   0.95  0.95  0.95  0.9
  0.9   0.9   1.    1.    0.95  0.95  0.9   0.9   0.95  0.9   0.9   0.9
  0.95  0.8   0.85  0.9   0.95  1.    0.85  0.9   0.85  0.85  0.95  0.95
  0.95  1.    0.95  0.85  0.95  1.    0.95  1.    0.95  0.9   0.9   0.95
  0.8   0.95]",0.983673469388,0.0185927215901,"{'fit_intercept': True, 'C': 0.05, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9816,0.022747307533,"[ 1.    0.98  0.97  1.    0.98  0.98  1.    0.98  1.    0.99  0.98  0.94
  1.    0.99  1.    1.    1.    1.    0.99  1.    1.    0.99  0.94  0.97
  0.98  0.91  0.98  1.    0.96  1.    0.93  0.98  0.91  0.95  0.99  0.98
  0.99  1.    1.    0.97  0.97  1.    0.99  1.    0.98  0.98  1.    0.99
  0.96  1.  ]"
3,BNU_1_deter_csa_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,SGD,0.928571428571,0.0505076272276,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0.8, 'shuffle': True, 'n_jobs': -1, 'loss': 'hinge', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.5, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.906,0.0621610810717,"[ 1.    0.9   0.95  1.    0.95  0.85  0.95  0.85  0.9   0.95  0.95  0.85
  0.85  0.85  0.95  0.95  0.95  0.9   0.85  0.85  0.95  0.9   0.85  0.9
  0.95  0.75  0.85  0.9   0.9   1.    0.85  0.9   0.75  0.85  0.95  0.95
  0.95  0.95  0.95  0.85  0.9   1.    0.95  1.    0.95  0.85  0.9   0.95
  0.75  0.9 ]",0.981632653061,0.0223467058044,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0.8, 'shuffle': True, 'n_jobs': -1, 'loss': 'log', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.001, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.9814,0.0238335897422,"[ 1.    1.    0.97  1.    0.98  0.99  0.98  0.97  1.    1.    0.97  0.94
  1.    0.98  1.    1.    1.    1.    0.97  0.98  1.    0.99  0.94  0.98
  0.98  0.92  0.99  0.99  0.95  1.    0.93  0.99  0.89  0.95  0.99  0.98
  0.98  1.    1.    0.98  0.98  1.    0.99  1.    0.99  1.    1.    1.
  0.96  0.99]"
4,BNU_1_deter_csa_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,LR,0.918367346939,0.0747061437458,"{'fit_intercept': True, 'C': 0.65, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.925,0.0460977222865,"[ 1.    0.95  0.9   1.    0.9   0.95  0.95  0.95  0.95  0.95  0.95  0.95
  0.95  0.95  0.9   0.95  0.95  1.    0.9   0.9   0.9   0.9   0.9   0.85
  0.85  0.85  0.85  0.9   0.9   0.95  0.8   0.9   0.85  0.9   0.95  0.95
  0.9   1.    1.    0.9   0.95  0.95  0.95  0.95  0.85  0.9   1.    0.95
  0.9   0.95]",0.981632653061,0.0183333017808,"{'fit_intercept': True, 'C': 0.05, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9808,0.0250471555271,"[ 1.    0.99  0.99  1.    0.97  0.99  0.99  1.    0.99  0.98  1.    0.96
  1.    0.99  0.98  1.    1.    1.    0.99  0.97  1.    0.98  0.95  0.96
  0.97  0.92  0.97  1.    0.94  1.    0.92  0.97  0.89  0.94  1.    0.99
  0.99  1.    1.    0.97  0.96  1.    1.    1.    0.98  1.    1.    1.
  0.95  1.  ]"
5,BNU_1_deter_csa_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.938775510204,0.0582616425454,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0, 'shuffle': True, 'n_jobs': -1, 'loss': 'modified_huber', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.001, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.919,0.0467867502612,"[ 0.95  0.95  0.95  1.    0.9   0.95  0.95  0.9   0.95  0.9   0.95  0.95
  1.    0.9   0.85  0.95  0.9   1.    0.95  0.85  0.95  0.85  0.9   0.9
  0.85  0.9   0.85  0.9   0.85  0.95  0.8   0.95  0.85  0.9   0.95  0.9
  0.95  1.    0.95  0.9   0.95  0.95  0.95  0.95  0.85  0.85  0.95  0.9
  0.9   0.95]",0.983673469388,0.013506442537,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 1.0, 'shuffle': True, 'n_jobs': -1, 'loss': 'hinge', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.9812,0.0290268840904,"[ 1.    1.    0.99  1.    0.98  1.    0.97  1.    0.99  0.98  1.    0.95
  1.    1.    0.97  1.    1.    1.    0.99  1.    1.    0.98  0.94  0.97
  0.97  0.92  0.97  1.    0.92  1.    0.91  0.98  0.86  0.95  1.    0.99
  0.99  1.    1.    0.97  0.96  1.    1.    1.    1.    1.    1.    1.
  0.96  1.  ]"
6,BNU_1_deter_csa_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.795918367347,0.0670508160294,"{'fit_intercept': True, 'C': 0.45, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.779,0.0800562302385,"[ 0.9   0.85  0.85  0.85  0.85  0.75  0.7   0.7   0.85  0.8   0.8   0.8
  0.75  0.6   0.8   0.8   0.9   0.7   0.85  0.8   0.7   0.8   0.75  0.8
  0.8   0.7   0.8   0.8   0.75  0.9   0.7   0.8   0.55  0.8   0.8   0.8
  0.65  0.8   0.8   0.8   0.75  1.    0.65  0.9   0.7   0.75  0.75  0.75
  0.8   0.7 ]",0.906802721088,0.0395850438207,"{'fit_intercept': True, 'C': 0.05, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.902,0.0690507060065,"[ 0.94  0.96  0.94  0.97  0.99  0.83  0.87  0.84  0.97  0.94  0.89  0.97
  0.91  0.72  0.93  0.95  0.97  0.9   0.93  0.89  0.87  0.97  0.87  0.97
  0.9   0.8   0.94  0.91  0.95  0.96  0.82  0.91  0.7   1.    0.91  0.92
  0.84  0.91  0.91  0.89  0.83  1.    0.73  0.93  0.84  0.82  0.91  0.91
  1.    0.87]"
7,BNU_1_deter_csa_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.80612244898,0.0568139220697,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0.2, 'shuffle': True, 'n_jobs': -1, 'loss': 'hinge', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.001, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.756,0.0822435407798,"[ 0.85  0.8   0.9   0.85  0.85  0.75  0.65  0.6   0.8   0.7   0.75  0.75
  0.75  0.6   0.8   0.75  0.85  0.75  0.85  0.8   0.7   0.8   0.75  0.8
  0.8   0.7   0.8   0.8   0.75  0.9   0.65  0.75  0.5   0.8   0.8   0.75
  0.7   0.7   0.75  0.8   0.65  0.9   0.6   0.85  0.75  0.75  0.7   0.7
  0.8   0.7 ]",0.9179138322,0.0397230617708,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0.2, 'shuffle': True, 'n_jobs': -1, 'loss': 'hinge', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.001, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.8838,0.0804460067374,"[ 0.98  0.95  0.96  0.95  0.97  0.85  0.64  0.75  0.97  0.87  0.89  0.79
  0.89  0.7   0.93  0.89  1.    0.91  0.92  0.9   0.85  0.99  0.81  0.97
  0.89  0.81  0.94  0.88  0.95  0.96  0.82  0.91  0.73  0.98  0.85  0.9
  0.83  0.91  0.89  0.92  0.8   0.99  0.73  0.94  0.84  0.82  0.89  0.89
  0.95  0.84]"
8,BNU_1_deter_csa_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.918367346939,0.0594995091311,"{'fit_intercept': True, 'C': 0.2, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.913,0.0555067563455,"[ 1.    0.9   0.9   0.95  0.95  0.8   0.9   0.85  0.95  0.95  0.9   0.85
  0.9   0.9   1.    0.95  1.    0.95  0.9   0.9   0.95  0.9   0.85  0.95
  0.95  0.85  0.85  0.9   0.9   1.    0.9   0.9   0.8   0.85  0.95  0.95
  0.9   0.95  0.95  0.8   0.8   1.    0.95  1.    0.95  0.85  0.9   0.95
  0.85  0.95]",0.977551020408,0.0264598742994,"{'fit_intercept': True, 'C': 0.65, 'max_iter': 50, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9772,0.0231551290215,"[ 1.    1.    0.97  1.    0.98  0.95  0.97  0.95  1.    1.    0.97  0.94
  0.98  0.97  1.    1.    1.    0.99  0.97  0.98  1.    0.99  0.95  0.97
  1.    0.91  0.99  0.98  0.96  1.    0.94  0.95  0.91  0.94  1.    0.98
  0.98  0.99  0.99  0.96  0.96  1.    0.99  1.    1.    0.97  0.98  1.
  0.97  0.98]"
9,BNU_1_deter_csa_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.928571428571,0.0505076272276,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0.8, 'shuffle': True, 'n_jobs': -1, 'loss': 'modified_huber', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 1.0, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.927,0.0531130868996,"[ 1.    0.95  0.9   0.95  0.95  0.85  0.95  0.85  1.    0.95  0.9   0.9
  0.95  0.95  1.    1.    1.    0.95  0.9   0.95  0.95  0.9   0.85  0.95
  0.95  0.85  0.85  0.9   0.9   1.    0.9   0.9   0.8   0.8   0.95  0.95
  0.95  0.95  1.    0.9   0.9   1.    0.95  1.    0.95  0.85  0.9   0.95
  0.85  0.95]",0.979591836735,0.0228534982517,"{'power_t': 0.5, 'n_iter': 50, 'l1_ratio': 0.2, 'shuffle': True, 'n_jobs': -1, 'loss': 'modified_huber', 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'alpha': 0.001, 'eta0': 0.0, 'fit_intercept': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'class_weight': None}",0.9774,0.0259853805052,"[ 1.    1.    0.97  1.    0.98  0.97  0.9   0.94  1.    1.    0.97  0.94
  0.97  0.96  1.    1.    1.    0.99  1.    0.98  1.    0.98  0.95  0.98
  1.    0.92  0.99  0.98  0.95  1.    0.94  0.97  0.9   0.95  1.    1.
  0.98  0.99  0.99  0.95  0.97  1.    0.98  1.    1.    0.97  1.    1.
  0.97  0.99]"
