,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.979591836735,0.0245746828139,"{'random_state': 0, 'max_iter': 50, 'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear', 'n_jobs': -1}",0.984,0.0233238075794,"[ 1.    1.    1.    1.    0.95  1.    1.    1.    1.    1.    1.    0.95
  0.95  0.95  1.    1.    0.95  1.    1.    1.    1.    1.    0.95  0.95
  1.    0.95  1.    1.    0.95  1.    0.95  1.    0.95  0.95  1.    1.    1.
  1.    1.    0.95  0.95  1.    1.    1.    0.95  1.    1.    1.    0.95
  1.  ]",1.0,0.0,"{'random_state': 0, 'max_iter': 50, 'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear', 'n_jobs': -1}",0.9992,0.00271293199325,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  0.99  1.    1.    1.    1.    0.99  1.    0.99  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99  1.  ]"
1,BNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.989795918367,0.0201514465899,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 0, 'random_state': 0}",0.987,0.0219317121995,"[ 1.    1.    1.    1.    0.95  1.    1.    1.    1.    1.    1.    0.95
  0.95  0.95  1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.
  0.95  1.    1.    0.95  1.    0.95  1.    0.95  0.95  1.    1.    1.    1.
  1.    0.95  0.95  1.    1.    1.    1.    1.    1.    1.    0.95  1.  ]",1.0,0.0,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 0, 'random_state': 0}",0.9992,0.00271293199325,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  0.99  1.    1.    1.    1.    0.99  1.    0.99  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99  1.  ]"
2,BNU_1_deter_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.979591836735,0.0403028931799,"{'random_state': 0, 'max_iter': 50, 'C': 0.25, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': -1}",0.98,0.03,"[ 1.    1.    0.95  1.    0.9   1.    1.    0.95  1.    0.95  0.95  1.    0.9
  0.95  1.    1.    0.95  1.    1.    1.    0.95  1.    1.    0.95  1.
  0.95  1.    1.    1.    1.    1.    1.    0.95  0.95  1.    1.    1.    1.
  1.    1.    0.95  0.95  1.    1.    0.95  1.    1.    0.9   1.    1.  ]",1.0,0.0,"{'random_state': 0, 'max_iter': 50, 'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear', 'n_jobs': -1}",0.9966,0.00764460594145,"[ 1.    1.    0.99  1.    0.99  1.    1.    1.    1.    1.    1.    1.
  0.98  1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99  1.    1.
  0.99  1.    1.    1.    1.    0.99  1.    0.98  1.    1.    1.    1.    1.
  1.    1.    0.99  0.99  1.    1.    0.98  1.    1.    1.    0.96  1.  ]"
3,BNU_1_deter_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.979591836735,0.0403028931799,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.5, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 0.6, 'random_state': 0}",0.982,0.0278567765544,"[ 1.    1.    0.95  1.    0.95  1.    1.    0.95  1.    0.95  0.95  1.    0.9
  0.95  1.    1.    0.95  1.    1.    1.    0.95  1.    1.    0.95  1.
  0.95  1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.    1.
  1.    1.    0.95  0.95  1.    1.    0.95  1.    1.    0.9   1.    1.  ]",1.0,0.0,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 0, 'random_state': 0}",0.9988,0.00381575680567,"[ 1.    1.    1.    1.    0.99  1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    0.99  0.99  1.    1.    0.99  1.    1.    1.    0.98  1.  ]"
4,BNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.867346938776,0.0724497780289,"{'random_state': 0, 'max_iter': 50, 'C': 0.05, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear', 'n_jobs': -1}",0.843,0.0781088983407,"[ 0.95  0.85  0.75  0.85  0.8   0.85  0.85  0.75  0.95  0.8   0.75  0.8
  0.75  0.85  0.95  0.9   0.8   0.9   0.8   0.8   0.85  0.9   0.8   0.85
  1.    0.9   0.8   0.7   0.85  0.85  0.95  0.95  0.7   0.85  0.95  0.7
  0.85  0.95  0.8   0.9   0.9   0.7   0.8   0.85  0.7   0.85  0.95  0.85
  0.8   0.95]",0.943083900227,0.075417314129,"{'random_state': 0, 'max_iter': 50, 'C': 0.01, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear', 'n_jobs': -1}",0.9444,0.0506817521402,"[ 0.9   0.93  0.96  0.96  0.9   0.97  1.    0.82  1.    0.96  0.9   0.83
  0.88  1.    1.    0.94  0.97  1.    1.    1.    0.99  0.9   0.88  0.96
  1.    0.92  0.96  0.92  0.94  0.98  0.93  1.    0.81  0.93  0.98  0.95
  0.99  1.    0.97  0.96  0.92  0.87  0.97  0.94  0.96  1.    0.9   0.9
  0.87  1.  ]"
5,BNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.877551020408,0.0585686236657,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 1.0, 'random_state': 0}",0.835,0.110113577728,"[ 0.95  0.9   0.85  0.85  0.8   0.9   0.9   0.9   0.8   0.8   0.9   0.75
  0.65  0.85  0.95  0.9   0.75  1.    0.95  0.5   0.85  0.95  0.75  0.8
  0.85  0.65  0.85  0.5   0.8   0.95  0.95  0.85  0.65  0.8   0.9   0.65
  0.85  0.95  0.8   0.9   0.9   0.8   0.8   0.95  0.75  0.95  0.9   0.85
  0.8   0.95]",0.952154195011,0.0561798470138,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.1, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 0, 'random_state': 0}",0.941,0.0554707129934,"[ 0.9   0.92  0.96  0.97  0.87  0.98  1.    0.84  1.    0.96  0.9   0.81
  0.88  1.    1.    0.94  0.96  1.    1.    1.    0.98  0.9   0.84  0.96
  1.    0.9   0.96  0.92  0.93  0.98  0.93  1.    0.77  0.93  0.98  0.95
  0.99  1.    0.97  0.95  0.93  0.86  0.97  0.93  0.96  1.    0.9   0.9
  0.87  1.  ]"
6,BNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'random_state': 0, 'max_iter': 50, 'C': 0.01, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': -1}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'random_state': 0, 'max_iter': 50, 'C': 0.01, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': -1}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,BNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.5,0.0,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.1, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'log', 'learning_rate': 'optimal', 'l1_ratio': 0.6, 'random_state': 0}",0.515,0.0736545993133,"[ 0.85  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.9   0.5
  0.5   0.5 ]",0.5,0.0,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.1, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'log', 'learning_rate': 'optimal', 'l1_ratio': 0.6, 'random_state': 0}",0.5152,0.0746321646477,"[ 0.855  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.905  0.5    0.5    0.5  ]"
8,BNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.969387755102,0.04087297656,"{'random_state': 0, 'max_iter': 50, 'C': 0.05, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': -1}",0.978,0.033406586177,"[ 0.95  1.    0.95  1.    0.95  1.    1.    0.95  1.    0.95  0.95  1.
  0.85  0.95  1.    1.    0.95  1.    1.    1.    0.95  1.    1.    0.95
  1.    0.95  0.95  1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.
  1.    1.    1.    0.95  0.9   1.    1.    0.95  1.    1.    0.9   1.    1.  ]",1.0,0.0,"{'random_state': 0, 'max_iter': 50, 'C': 0.05, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': -1}",0.9982,0.00433128156554,"[ 1.    1.    0.99  1.    0.99  1.    1.    1.    1.    0.99  1.    1.
  0.98  0.99  1.    1.    0.99  1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    0.99  1.    1.    0.99  1.    1.    1.    1.    1.  ]"
9,BNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.979591836735,0.0403028931799,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.5, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'hinge', 'learning_rate': 'optimal', 'l1_ratio': 0.8, 'random_state': 0}",0.982,0.0295972971739,"[ 1.    1.    0.9   1.    0.95  1.    1.    0.95  1.    0.95  0.95  1.    0.9
  0.95  1.    1.    0.95  1.    1.    1.    0.95  1.    1.    0.95  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    0.95  0.95  1.    1.    0.95  1.    1.    0.9   0.95  1.  ]",1.0,0.0,"{'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'class_weight': None, 'verbose': 0, 'penalty': 'elasticnet', 'n_jobs': -1, 'eta0': 0.0, 'fit_intercept': True, 'shuffle': True, 'loss': 'log', 'learning_rate': 'optimal', 'l1_ratio': 0, 'random_state': 0}",0.9976,0.00512249938995,"[ 1.    1.    0.99  1.    0.99  1.    1.    1.    1.    0.99  1.    1.
  0.98  0.99  1.    1.    0.99  1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    0.99  0.99  1.    1.    0.98  1.    1.    1.    0.99  1.  ]"
