,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_ROIv_scale250,binar,bag_of_edges,l1_l2_linf,standard,LR,1.0,0.0,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
1,BNU_1_deter_csd_con_ROIv_scale250,binar,bag_of_edges,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",0.998,0.00979795897113,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.  ]",1.0,0.0,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
2,BNU_1_deter_csd_con_ROIv_scale250,binar,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,BNU_1_deter_csd_con_ROIv_scale250,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,BNU_1_deter_csd_con_ROIv_scale250,binar,closeness_centrality,l1_l2_linf,standard,LR,0.959183673469,0.0590995570819,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.1, 'random_state': 0}",0.942,0.051341990612,"[ 0.95  0.95  0.9   0.9   0.9   0.85  0.95  0.9   1.    0.95  0.85  1.    0.9
  0.95  0.9   1.    0.95  0.95  0.95  0.9   0.9   0.95  0.95  1.    1.    1.
  1.    0.95  1.    1.    0.95  1.    1.    0.95  0.95  1.    0.9   0.95
  0.95  0.95  0.75  0.9   1.    0.95  0.95  0.9   0.95  0.9   0.85  1.  ]",0.99387755102,0.012090867954,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",0.9964,0.00866256313108,"[ 1.    1.    0.98  0.98  1.    0.97  1.    0.99  1.    1.    0.98  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    0.96  1.    1.    1.    0.98  0.99  1.    0.99  1.    1.  ]"
5,BNU_1_deter_csd_con_ROIv_scale250,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.989795918367,0.0201514465899,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",0.989,0.0207123151772,"[ 1.    1.    0.95  0.95  1.    0.95  1.    0.95  1.    0.95  0.95  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    0.95  1.    1.    1.    0.95  0.95  0.95  0.95  1.    1.  ]",0.997959183673,0.00403028931799,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",0.9992,0.00271293199325,"[ 1.    1.    1.    1.    1.    1.    1.    0.99  1.    1.    0.99  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    0.99  1.    1.    1.    1.    1.    1.    0.99  1.    1.  ]"
6,BNU_1_deter_csd_con_ROIv_scale250,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.510204081633,0.0377688888231,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",0.504,0.0410365690574,"[ 0.5   0.5   0.5   0.55  0.5   0.5   0.5   0.45  0.5   0.55  0.45  0.55
  0.5   0.55  0.5   0.55  0.55  0.45  0.5   0.45  0.55  0.5   0.5   0.55
  0.55  0.55  0.55  0.5   0.55  0.55  0.5   0.4   0.55  0.5   0.55  0.4
  0.45  0.5   0.45  0.5   0.5   0.5   0.4   0.5   0.5   0.5   0.55  0.5
  0.5   0.5 ]",0.510204081633,0.0377688888231,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",0.5042,0.0410287703935,"[ 0.5    0.5    0.505  0.55   0.5    0.5    0.5    0.45   0.5    0.55   0.45
  0.55   0.5    0.55   0.5    0.55   0.55   0.45   0.5    0.45   0.55   0.5
  0.5    0.55   0.55   0.55   0.55   0.5    0.55   0.55   0.5    0.4    0.55
  0.5    0.55   0.4    0.45   0.5    0.45   0.5    0.5    0.5    0.4    0.5
  0.505  0.5    0.55   0.5    0.5    0.5  ]"
7,BNU_1_deter_csd_con_ROIv_scale250,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.520408163265,0.0245746828139,"{'alpha': 0.1, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",0.507,0.0264764045897,"[ 0.5   0.5   0.5   0.55  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.55  0.5   0.5   0.5   0.45  0.5   0.5   0.55  0.5   0.5   0.55
  0.55  0.5   0.5   0.5   0.55  0.55  0.5   0.5   0.55  0.5   0.55  0.4
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.55  0.5
  0.5   0.5 ]",0.510204081633,0.0377688888231,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",0.5002,0.0412426963231,"[ 0.5    0.5    0.505  0.55   0.5    0.5    0.5    0.45   0.5    0.55   0.45
  0.55   0.5    0.55   0.5    0.55   0.55   0.45   0.5    0.45   0.45   0.5
  0.5    0.45   0.55   0.55   0.55   0.5    0.55   0.55   0.5    0.4    0.55
  0.5    0.55   0.4    0.45   0.5    0.45   0.5    0.5    0.5    0.4    0.5
  0.505  0.5    0.55   0.5    0.5    0.5  ]"
8,BNU_1_deter_csd_con_ROIv_scale250,binar,eigenvector_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear', 'max_iter': 50, 'fit_intercept': True, 'C': 0.01, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
9,BNU_1_deter_csd_con_ROIv_scale250,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",0.999,0.007,"[ 1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.  ]",1.0,0.0,"{'alpha': 0.001, 'penalty': 'elasticnet', 'shuffle': True, 'n_jobs': -1, 'epsilon': 0.1, 'eta0': 0.0, 'l1_ratio': 0, 'verbose': 0, 'class_weight': None, 'random_state': 0, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
