,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.969387755102,0.0254988636925,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.959,0.0465725240888,"[ 0.95  0.9   1.    0.9   0.95  1.    0.95  0.9   0.95  1.    1.    0.9
  0.95  0.95  1.    0.9   1.    1.    1.    0.9   1.    1.    0.9   1.    1.
  0.9   1.    1.    0.95  1.    0.95  1.    0.8   0.95  1.    1.    1.
  0.95  0.95  0.95  0.95  0.95  0.95  0.95  1.    1.    0.9   1.    0.85
  1.  ]",0.997959183673,0.00403028931799,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.9956,0.0092,"[ 1.    0.99  1.    1.    1.    1.    1.    0.98  1.    1.    1.    0.97
  0.97  1.    1.    0.99  1.    1.    1.    1.    1.    1.    0.98  1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.97  1.    1.    1.    1.    1.
  1.    1.    0.98  1.    0.99  1.    1.    1.    0.99  1.    0.97  1.  ]"
1,BNU_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.979591836735,0.0257022251528,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.5, 'epsilon': 0.1, 'random_state': 0, 'loss': 'hinge', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.962,0.0406939798988,"[ 0.95  0.9   1.    0.9   0.95  1.    0.95  0.9   0.95  1.    1.    0.9
  0.95  0.95  1.    0.9   1.    1.    1.    0.9   1.    1.    0.9   1.    1.
  0.95  1.    1.    0.95  1.    0.95  1.    0.85  0.95  1.    1.    1.
  0.95  0.95  0.95  0.95  0.95  0.95  0.95  1.    1.    0.9   1.    0.9   1.  ]",0.997959183673,0.00403028931799,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'epsilon': 0.1, 'random_state': 0, 'loss': 'hinge', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.9956,0.0092,"[ 1.    0.99  1.    1.    1.    1.    1.    0.98  1.    1.    1.    0.97
  0.97  1.    1.    0.99  1.    1.    1.    1.    1.    1.    0.98  1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.97  1.    1.    1.    1.    1.
  1.    1.    0.98  1.    0.99  1.    1.    1.    0.99  1.    0.97  1.  ]"
2,BNU_1_deter_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.989795918367,0.0201514465899,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.993,0.0173493515729,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.
  0.95  0.95  1.    1.    0.95  1.    1.    1.    1.    1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95  1.    1.  ]",1.0,0.0,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,BNU_1_deter_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'epsilon': 0.1, 'random_state': 0, 'loss': 'modified_huber', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.991,0.0192093727123,"[ 0.95  1.    1.    0.95  1.    1.    1.    1.    1.    0.95  1.    1.
  0.95  0.95  1.    1.    0.95  1.    1.    1.    1.    1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95  1.    1.  ]",1.0,0.0,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'epsilon': 0.1, 'random_state': 0, 'loss': 'hinge', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,BNU_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.857142857143,0.0225876975726,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.835,0.0665206734783,"[ 0.95  0.7   0.9   0.9   0.75  0.95  0.85  0.8   0.85  0.75  0.75  0.9
  0.7   0.8   0.9   0.8   0.75  0.9   0.9   0.85  0.85  0.85  0.8   0.75
  0.9   0.8   0.9   0.85  0.85  0.95  0.8   0.9   0.85  0.8   0.85  0.9
  0.75  0.75  0.9   0.8   0.85  0.9   0.85  0.75  0.75  0.9   0.9   0.8
  0.75  0.85]",0.966666666667,0.0549742833668,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.9754,0.0331185748486,"[ 0.9   0.97  1.    1.    1.    0.99  0.97  0.9   1.    0.96  0.89  1.
  0.93  0.96  1.    1.    0.99  1.    1.    0.98  1.    0.9   1.    0.98
  1.    0.99  1.    0.97  1.    0.99  1.    1.    0.96  0.97  1.    0.99
  1.    0.99  0.99  1.    1.    0.98  0.97  0.94  0.95  1.    0.9   0.9
  0.98  0.98]"
5,BNU_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.908163265306,0.0723059173238,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.5, 'epsilon': 0.1, 'random_state': 0, 'loss': 'log', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.82,0.0848528137424,"[ 0.95  0.85  0.75  0.95  0.75  0.95  0.85  0.85  0.8   0.75  0.85  0.9
  0.7   0.75  0.65  0.7   0.75  0.65  0.65  0.9   0.85  0.8   0.8   0.75
  0.9   0.85  0.8   0.85  0.85  0.9   0.8   0.9   0.85  0.8   1.    0.85
  0.8   0.75  0.9   0.95  0.85  0.8   0.75  0.7   0.7   0.9   0.9   0.85
  0.75  0.9 ]",0.966893424036,0.0495437494524,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.1, 'epsilon': 0.1, 'random_state': 0, 'loss': 'hinge', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.9732,0.0337899393311,"[ 0.9   0.94  1.    1.    1.    0.99  0.97  0.9   1.    0.96  0.9   1.
  0.92  0.96  1.    1.    0.99  1.    1.    0.97  1.    0.9   0.98  0.98
  1.    0.99  1.    0.97  1.    0.99  0.99  1.    0.94  0.97  1.    1.    1.
  0.99  0.99  1.    1.    0.98  0.97  0.93  0.94  1.    0.9   0.9   0.97
  0.98]"
6,BNU_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'penalty': 'l1', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'penalty': 'l1', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,BNU_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.5,0.0,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.1, 'epsilon': 0.1, 'random_state': 0, 'loss': 'log', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0.6, 'verbose': 0}",0.514,0.0685857127979,"[ 0.85  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.85  0.5
  0.5   0.5 ]",0.5,0.0,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.1, 'epsilon': 0.1, 'random_state': 0, 'loss': 'log', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0.6, 'verbose': 0}",0.5144,0.0711170865545,"[ 0.815  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.905  0.5    0.5    0.5  ]"
8,BNU_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.989795918367,0.0201514465899,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.05}",0.993,0.0173493515729,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.
  0.95  0.95  1.    1.    0.95  1.    1.    1.    1.    1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95  1.    1.  ]",1.0,0.0,"{'penalty': 'l2', 'random_state': 0, 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True, 'n_jobs': -1, 'C': 0.01}",0.999,0.00360555127546,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99  1.    1.
  0.98  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.99  1.    1.    1.    1.    1.  ]"
9,BNU_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.989795918367,0.0201514465899,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'epsilon': 0.1, 'random_state': 0, 'loss': 'log', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.993,0.0173493515729,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.
  0.95  0.95  1.    1.    0.95  1.    1.    1.    1.    1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95  1.    1.  ]",1.0,0.0,"{'power_t': 0.5, 'eta0': 0.0, 'shuffle': True, 'fit_intercept': True, 'n_iter': 50, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'epsilon': 0.1, 'random_state': 0, 'loss': 'hinge', 'n_jobs': -1, 'class_weight': None, 'l1_ratio': 0, 'verbose': 0}",0.9992,0.00337045990927,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99  1.    1.
  0.98  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.  ]"
