,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,LR,0.887755102041,0.0847682923091,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.01}",0.882,0.0581033561853,"[ 0.8   0.9   0.8   0.85  0.95  0.9   0.9   0.85  0.8   0.8   0.9   0.85
  0.75  0.9   0.95  0.95  0.95  0.85  0.85  0.9   0.95  0.95  0.9   0.9
  0.9   0.85  0.85  0.85  0.9   0.95  0.95  0.9   0.9   0.95  0.95  0.85
  0.85  0.95  0.9   0.9   0.8   0.85  0.8   0.95  0.75  0.9   0.8   0.9
  0.85  1.  ]",0.952154195011,0.0613874588857,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.01}",0.9593,0.0409391011137,"[ 0.87   0.97   0.88   0.98   1.     0.97   1.     0.96   0.92   0.89   0.98
  0.93   0.835  0.99   0.97   1.     0.96   0.975  0.96   0.99   0.99   1.
  0.955  0.97   0.98   0.97   0.925  0.945  0.95   1.     1.     0.98   0.99
  0.97   1.     0.94   0.96   1.     0.98   0.99   0.96   0.9    0.9    0.98
  0.84   0.98   0.97   0.96   0.95   1.   ]"
1,BNU_1_proba_csa_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.897959183673,0.094138452402,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0, 'penalty': 'elasticnet'}",0.88,0.0640312423743,"[ 0.8   0.9   0.75  0.85  0.95  0.85  0.9   0.8   0.8   0.8   0.9   0.85
  0.7   0.95  0.95  0.95  0.95  0.85  0.85  0.95  0.9   1.    0.9   0.9
  0.9   0.85  0.85  0.85  0.9   0.95  0.95  0.9   0.95  0.95  0.95  0.85
  0.85  0.95  0.9   0.9   0.8   0.8   0.85  0.95  0.75  0.85  0.85  0.9
  0.85  0.95]",0.952154195011,0.0613874588857,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0, 'penalty': 'elasticnet'}",0.9593,0.0409391011137,"[ 0.87   0.97   0.88   0.98   1.     0.97   1.     0.96   0.92   0.89   0.98
  0.93   0.835  0.99   0.97   1.     0.96   0.975  0.96   0.99   0.99   1.
  0.955  0.97   0.98   0.97   0.925  0.945  0.95   1.     1.     0.98   0.99
  0.97   1.     0.94   0.96   1.     0.98   0.99   0.96   0.9    0.9    0.98
  0.84   0.98   0.97   0.96   0.95   1.   ]"
2,BNU_1_proba_csa_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,LR,0.918367346939,0.063642718896,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.25}",0.916,0.0595315042645,"[ 0.85  0.9   0.85  0.95  1.    0.95  1.    0.95  0.9   0.85  1.    0.85
  0.7   0.8   0.95  1.    0.9   0.95  0.9   0.85  0.95  1.    0.9   0.95
  0.9   0.9   0.9   0.95  0.9   1.    0.95  0.95  0.9   0.9   0.95  0.9
  0.9   1.    0.85  0.9   0.9   0.9   0.9   0.95  0.8   0.95  0.95  0.9
  0.9   1.  ]",0.989115646259,0.0146668377504,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.30000000000000004}",0.9872,0.019082976707,"[ 0.97  0.99  0.96  1.    1.    1.    1.    0.99  0.99  0.97  1.    0.96
  0.9   1.    0.99  1.    0.98  0.99  1.    1.    0.99  1.    0.97  1.
  0.99  0.98  0.96  0.99  0.99  1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    0.96  0.96  0.96  1.    0.96  1.    1.    0.98  0.98
  1.  ]"
3,BNU_1_proba_csa_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,SGD,0.938775510204,0.0624869832343,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.01, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0, 'penalty': 'elasticnet'}",0.934,0.062,"[ 0.85  0.95  0.9   1.    0.95  1.    0.95  0.95  0.9   0.75  1.    0.95
  0.75  0.85  0.95  0.95  0.95  0.9   0.9   0.95  0.95  0.95  1.    0.95
  0.95  1.    0.9   0.9   0.95  1.    1.    0.95  1.    1.    1.    0.9
  0.95  0.95  0.9   0.95  0.95  0.85  0.85  1.    0.8   1.    0.95  0.95
  0.85  1.  ]",0.991156462585,0.013933866734,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.01, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'modified_huber', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0, 'penalty': 'elasticnet'}",0.9896,0.0158694675399,"[ 0.97  0.99  0.99  1.    1.    1.    0.99  0.98  0.97  0.96  1.    0.98
  0.91  0.99  1.    0.99  0.98  0.97  1.    1.    1.    1.    1.    1.
  0.99  1.    0.99  0.99  0.98  1.    1.    1.    1.    1.    1.    1.    1.
  0.97  1.    1.    0.98  0.98  0.97  1.    0.99  1.    1.    0.98  0.99
  1.  ]"
4,BNU_1_proba_csa_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,LR,0.918367346939,0.063642718896,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.2}",0.922,0.054918120871,"[ 0.85  0.9   0.9   0.95  1.    0.95  1.    0.95  0.9   0.85  1.    0.9
  0.7   0.85  0.95  1.    0.9   0.95  0.9   0.85  0.95  1.    0.9   0.95
  0.9   0.9   0.9   0.95  0.95  1.    0.95  0.95  0.95  0.9   0.95  0.9
  0.9   1.    0.85  0.9   0.9   0.9   0.9   0.95  0.85  0.95  0.95  0.9
  0.9   1.  ]",0.987074829932,0.016387985874,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.9500000000000001}",0.9856,0.0205095099893,"[ 0.97  0.97  0.97  1.    1.    0.99  1.    0.99  0.97  0.98  1.    0.96
  0.88  1.    0.99  1.    0.99  0.98  0.99  1.    0.99  1.    0.96  1.
  0.99  0.98  0.98  0.99  0.99  1.    1.    1.    1.    0.99  1.    1.    1.
  1.    1.    1.    0.95  0.98  0.96  1.    0.96  0.99  0.99  0.98  0.97
  1.  ]"
5,BNU_1_proba_csa_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.938775510204,0.0796383374831,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'hinge', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0.8, 'penalty': 'elasticnet'}",0.918,0.0581033561853,"[ 0.8   0.95  0.95  0.95  1.    0.95  0.9   0.9   0.8   0.8   1.    0.95
  0.8   0.9   0.95  0.95  0.85  0.85  0.9   0.9   0.95  0.9   0.9   1.
  0.95  0.85  0.9   0.9   0.9   1.    1.    0.95  1.    0.95  1.    0.95
  0.95  0.9   0.9   0.95  0.9   0.85  0.85  1.    0.9   0.95  0.95  0.9
  0.8   0.95]",0.991156462585,0.013933866734,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'log', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0, 'penalty': 'elasticnet'}",0.9876,0.0178392824968,"[ 0.97  0.98  0.99  1.    1.    0.99  0.98  0.98  0.95  0.97  1.    0.99
  0.9   1.    1.    0.99  0.98  0.97  0.99  1.    1.    1.    0.97  1.
  0.99  1.    1.    0.99  0.98  1.    1.    1.    1.    0.99  1.    1.    1.
  0.99  1.    1.    0.99  0.98  0.96  1.    0.98  1.    0.99  0.98  0.96
  1.  ]"
6,BNU_1_proba_csa_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.785714285714,0.0814411017928,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.8500000000000001}",0.77,0.0932737905309,"[ 0.7   0.65  0.85  0.85  0.75  0.85  0.75  0.55  0.75  0.7   0.8   0.7
  0.6   0.6   0.85  0.8   0.75  0.65  0.9   0.7   0.8   0.85  0.75  0.75
  0.85  0.75  0.85  0.8   0.8   1.    0.95  0.8   0.65  0.85  0.85  0.9
  0.75  0.75  0.75  0.8   0.6   0.9   0.75  0.75  0.75  0.7   0.75  0.7
  0.7   0.9 ]",0.89410430839,0.0522850298416,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.05}",0.8894,0.0662241647739,"[ 0.81  0.76  0.92  0.96  0.89  0.96  0.91  0.75  0.93  0.78  0.95  0.81
  0.73  0.84  0.94  0.94  0.84  0.79  0.93  0.94  0.94  0.92  0.89  0.9
  0.95  0.83  0.94  0.89  0.88  1.    0.99  0.91  0.84  0.95  0.96  0.95
  0.92  0.91  0.9   0.94  0.76  0.95  0.88  0.87  0.84  0.85  0.92  0.81
  0.85  0.95]"
7,BNU_1_proba_csa_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.826530612245,0.0630766699854,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.01, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'modified_huber', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0.6, 'penalty': 'elasticnet'}",0.787,0.085912746435,"[ 0.7   0.7   0.85  0.95  0.8   0.9   0.75  0.7   0.8   0.65  0.8   0.75
  0.65  0.6   0.85  0.85  0.75  0.7   0.9   0.9   0.8   0.85  0.8   0.8
  0.9   0.7   0.75  0.8   0.8   0.9   0.95  0.75  0.65  0.8   0.9   0.9
  0.8   0.75  0.75  0.85  0.6   0.85  0.7   0.75  0.75  0.75  0.85  0.7
  0.8   0.85]",0.905215419501,0.0371435985345,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'modified_huber', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0.2, 'penalty': 'elasticnet'}",0.8616,0.106157618662,"[ 0.83  0.77  0.89  0.98  0.91  0.97  0.9   0.77  0.78  0.76  0.95  0.84
  0.7   0.86  0.93  0.92  0.83  0.82  0.86  0.95  0.95  0.91  0.86  0.89
  0.93  0.81  0.82  0.89  0.86  0.99  0.99  0.92  0.84  0.93  0.96  0.91
  0.91  0.91  0.83  0.94  0.8   0.73  0.74  0.31  0.86  0.88  0.91  0.77
  0.86  0.95]"
8,BNU_1_proba_csa_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.938775510204,0.050997727385,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.65}",0.935,0.049244289009,"[ 0.9   0.95  0.95  1.    1.    0.9   0.95  0.9   0.95  0.85  1.    0.85
  0.8   0.8   0.95  0.95  0.9   0.9   0.95  0.9   0.95  1.    0.9   0.95
  0.95  0.95  0.95  1.    0.95  1.    1.    0.9   0.95  0.9   1.    1.    1.
  0.95  0.9   0.95  0.9   0.9   0.9   0.95  0.9   0.9   1.    0.95  0.9
  0.95]",0.984807256236,0.0200192357031,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.05}",0.984,0.020591260282,"[ 0.96  1.    0.96  1.    1.    0.98  0.99  0.98  0.98  0.98  1.    0.95
  0.89  1.    0.97  0.99  0.98  0.98  1.    1.    0.98  1.    0.97  1.
  0.99  0.98  0.97  1.    0.99  1.    1.    0.99  1.    0.99  1.    1.    1.
  0.99  1.    1.    0.94  0.96  0.96  1.    0.97  0.99  1.    0.99  0.96
  0.99]"
9,BNU_1_proba_csa_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.938775510204,0.050997727385,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.5, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'log', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 0.6, 'penalty': 'elasticnet'}",0.923,0.052163205423,"[ 0.9   0.95  0.85  0.95  1.    0.9   0.9   0.85  0.95  0.85  1.    0.85
  0.8   0.8   0.95  0.95  0.9   0.9   0.95  0.9   0.95  1.    0.9   0.95
  0.95  0.95  0.9   1.    0.95  1.    1.    0.9   0.95  0.9   1.    0.95
  0.95  0.95  0.9   0.95  0.9   0.85  0.85  0.95  0.85  0.9   1.    0.9
  0.9   0.95]",0.984807256236,0.0200192357031,"{'random_state': 0, 'epsilon': 0.1, 'shuffle': True, 'class_weight': None, 'alpha': 0.1, 'eta0': 0.0, 'n_iter': 50, 'power_t': 0.5, 'loss': 'modified_huber', 'fit_intercept': True, 'learning_rate': 'optimal', 'verbose': 0, 'n_jobs': -1, 'l1_ratio': 1.0, 'penalty': 'elasticnet'}",0.9818,0.0258216963037,"[ 0.96  1.    0.97  1.    1.    0.98  0.99  0.97  0.97  0.98  1.    0.95
  0.84  1.    0.97  0.99  0.98  0.98  1.    1.    0.98  1.    0.97  1.
  0.99  0.98  0.97  1.    0.99  1.    1.    0.99  1.    0.99  1.    1.    1.
  0.99  1.    0.99  0.94  0.96  0.96  1.    0.97  0.99  1.    0.98  0.95
  0.97]"
