,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.987777777778,0.00362887369301,"{'random_state': 0, 'n_jobs': -1, 'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l1'}",0.98737037037,0.00421783397691,"[ 0.98703704  0.99259259  0.9962963   0.99074074  0.98888889  0.98888889
  0.97962963  0.99074074  0.98518519  0.98518519  0.98703704  0.98148148
  0.98518519  0.98518519  0.98703704  0.98333333  0.98148148  0.98333333
  0.99074074  0.99259259  0.98703704  0.98518519  0.98333333  0.98518519
  0.99259259  0.98888889  0.98518519  0.98888889  0.98703704  0.98888889
  0.97777778  0.98333333  0.98888889  0.98333333  0.99259259  0.99259259
  0.99074074  0.98518519  0.98888889  0.99074074  0.98888889  0.99259259
  0.99074074  0.99259259  0.98703704  0.97407407  0.98703704  0.98703704
  0.99074074  0.98888889]",0.999351165981,0.000220829178739,"{'random_state': 0, 'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l1'}",0.999270644719,0.000403349589524,"[ 0.9991358   0.99964335  0.99977366  0.99966392  0.9992524   0.99935528
  0.99809328  0.99961591  0.9990535   0.99875857  0.99910837  0.99904664
  0.99875857  0.99874486  0.99926612  0.99914952  0.99873114  0.99906722
  0.99957476  0.99973251  0.99958848  0.99881344  0.99942387  0.9988203
  0.99927984  0.99946502  0.99932099  0.99936214  0.99954047  0.99934842
  0.99838134  0.99951989  0.99917695  0.99860768  0.99978052  0.99978052
  0.99956104  0.99967078  0.9995679   0.99932099  0.99938272  0.99979424
  0.99965021  0.99958848  0.99934156  0.99827846  0.99954047  0.99932099
  0.99951989  0.99925926]"
1,HNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.987407407407,0.00296296296296,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.1, 'shuffle': True, 'random_state': 0, 'loss': 'log', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.987296296296,0.00427148005241,"[ 0.98703704  0.99259259  0.99444444  0.99259259  0.98888889  0.98888889
  0.97962963  0.99074074  0.98703704  0.98518519  0.98703704  0.98333333
  0.98518519  0.98518519  0.98518519  0.98333333  0.98148148  0.98333333
  0.99259259  0.99074074  0.99074074  0.98518519  0.98518519  0.98148148
  0.99259259  0.98888889  0.98518519  0.99074074  0.98703704  0.98888889
  0.97592593  0.98333333  0.98703704  0.98333333  0.99074074  0.99259259
  0.99074074  0.98333333  0.98888889  0.99074074  0.98888889  0.99074074
  0.99074074  0.99259259  0.98703704  0.97407407  0.98703704  0.98703704
  0.99074074  0.98888889]",0.999351165981,0.000220829178739,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.999270644719,0.000403349589524,"[ 0.9991358   0.99964335  0.99977366  0.99966392  0.9992524   0.99935528
  0.99809328  0.99961591  0.9990535   0.99875857  0.99910837  0.99904664
  0.99875857  0.99874486  0.99926612  0.99914952  0.99873114  0.99906722
  0.99957476  0.99973251  0.99958848  0.99881344  0.99942387  0.9988203
  0.99927984  0.99946502  0.99932099  0.99936214  0.99954047  0.99934842
  0.99838134  0.99951989  0.99917695  0.99860768  0.99978052  0.99978052
  0.99956104  0.99967078  0.9995679   0.99932099  0.99938272  0.99979424
  0.99965021  0.99958848  0.99934156  0.99827846  0.99954047  0.99932099
  0.99951989  0.99925926]"
2,HNU_1_deter_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.971481481481,0.00816496580928,"{'random_state': 0, 'n_jobs': -1, 'C': 0.2, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l1'}",0.972296296296,0.00625213269511,"[ 0.96666667  0.97037037  0.97407407  0.97592593  0.97962963  0.97222222
  0.96111111  0.98518519  0.97592593  0.97777778  0.97037037  0.96666667
  0.97777778  0.95740741  0.97222222  0.97407407  0.97037037  0.97407407
  0.97222222  0.97407407  0.97037037  0.96481481  0.97037037  0.96296296
  0.96851852  0.97592593  0.97222222  0.98333333  0.96666667  0.97777778
  0.96111111  0.96481481  0.96851852  0.97407407  0.97777778  0.97222222
  0.98333333  0.97037037  0.97407407  0.97407407  0.98518519  0.96851852
  0.96851852  0.97777778  0.97592593  0.97037037  0.97962963  0.96296296
  0.96481481  0.97962963]",0.995807956104,0.00222891167449,"{'random_state': 0, 'n_jobs': -1, 'C': 0.9, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l1'}",0.995849657064,0.00153726251629,"[ 0.9966118   0.99585734  0.99617284  0.99673525  0.9970096   0.99754458
  0.99336077  0.99832647  0.99565158  0.99698217  0.99584362  0.99515775
  0.99707819  0.99359396  0.99729767  0.99460905  0.99447188  0.99449931
  0.99729767  0.99743484  0.99555556  0.9923594   0.99533608  0.99207133
  0.99182442  0.9969273   0.99573388  0.99576132  0.99685871  0.99670782
  0.99414266  0.99454047  0.99514403  0.99508916  0.99809328  0.99445816
  0.99781893  0.99541838  0.99809328  0.99680384  0.99765432  0.99504801
  0.99620027  0.99721536  0.99651578  0.9960631   0.99615912  0.99470508
  0.9951166   0.99753086]"
3,HNU_1_deter_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.971111111111,0.00816496580928,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'modified_huber', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.97037037037,0.00591434052692,"[ 0.96111111  0.96851852  0.97222222  0.97222222  0.97777778  0.97222222
  0.95925926  0.98148148  0.97407407  0.97777778  0.97222222  0.96111111
  0.96851852  0.95555556  0.96481481  0.96851852  0.96851852  0.97592593
  0.97407407  0.97407407  0.97222222  0.96481481  0.96851852  0.96111111
  0.96851852  0.97222222  0.97037037  0.97777778  0.96666667  0.97777778
  0.96111111  0.96481481  0.96666667  0.97222222  0.97962963  0.96666667
  0.97777778  0.96851852  0.97407407  0.97592593  0.97962963  0.96851852
  0.96851852  0.97777778  0.97037037  0.96666667  0.97777778  0.96481481
  0.96481481  0.97222222]",0.995879286694,0.0021923443193,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'modified_huber', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.995875445816,0.00152672971985,"[ 0.99658436  0.99580247  0.99635117  0.9970096   0.99702332  0.99758573
  0.99345679  0.99829904  0.99592593  0.99685871  0.99584362  0.99547325
  0.99705075  0.99359396  0.99729767  0.99458162  0.99440329  0.99454047
  0.99744856  0.99737997  0.99565158  0.99222222  0.99533608  0.99200274
  0.99194787  0.9969273   0.99585734  0.99581619  0.99681756  0.99663923
  0.99440329  0.99469136  0.99515775  0.99507545  0.99806584  0.99443073
  0.9979561   0.99539095  0.99796982  0.99681756  0.99765432  0.99500686
  0.99624143  0.99703704  0.99643347  0.99609053  0.99640604  0.99467764
  0.99514403  0.99739369]"
4,HNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.87,0.0126902531104,"{'random_state': 0, 'n_jobs': -1, 'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'solver': 'liblinear', 'penalty': 'l1'}",0.867444444444,0.0128411739183,"[ 0.86851852  0.87962963  0.87592593  0.86851852  0.86851852  0.87407407
  0.86481481  0.86481481  0.89259259  0.88148148  0.85925926  0.87037037
  0.85740741  0.85925926  0.85555556  0.87592593  0.8462963   0.84444444
  0.87037037  0.88518519  0.85555556  0.84074074  0.84074074  0.8537037
  0.85740741  0.87962963  0.86481481  0.88703704  0.87962963  0.88888889
  0.86111111  0.85740741  0.86296296  0.85740741  0.87962963  0.8537037
  0.86481481  0.86851852  0.86296296  0.88703704  0.86481481  0.87037037
  0.87777778  0.87592593  0.88518519  0.85        0.86111111  0.86111111
  0.88888889  0.87037037]",0.950315500686,0.00621607023201,"{'random_state': 0, 'n_jobs': -1, 'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'solver': 'liblinear', 'penalty': 'l1'}",0.94971303155,0.00777761766213,"[ 0.95106996  0.95460905  0.95884088  0.95524005  0.95286694  0.95240055
  0.94837449  0.95430727  0.9661454   0.95548697  0.9418107   0.94738683
  0.94098765  0.94705075  0.94469136  0.95524005  0.9437037   0.94299726
  0.95274348  0.9591701   0.94481481  0.92478738  0.93475995  0.94329218
  0.94676269  0.95773663  0.94447188  0.9615775   0.95952675  0.96198903
  0.95182442  0.93814129  0.95216735  0.94159122  0.958107    0.93986968
  0.94407407  0.95122085  0.95242112  0.95007545  0.93966392  0.94794239
  0.94879973  0.94989026  0.95667353  0.94537037  0.94725652  0.94987654
  0.96138546  0.95445816]"
5,HNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.869259259259,0.00362887369301,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'modified_huber', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.862111111111,0.0149952438733,"[ 0.87222222  0.88703704  0.85        0.86851852  0.8462963   0.87777778
  0.86481481  0.85925926  0.87962963  0.86481481  0.85185185  0.86851852
  0.86111111  0.86481481  0.85555556  0.87962963  0.86666667  0.85925926
  0.86666667  0.88148148  0.84259259  0.84444444  0.84444444  0.84444444
  0.8462963   0.8962963   0.8462963   0.88703704  0.85925926  0.88888889
  0.85        0.8462963   0.86296296  0.82777778  0.87037037  0.84259259
  0.86111111  0.8462963   0.86481481  0.85555556  0.86666667  0.8537037
  0.87777778  0.86111111  0.88148148  0.84259259  0.8462963   0.87222222
  0.88333333  0.86666667]",0.925854595336,0.00518101130446,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'modified_huber', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.924436762689,0.0137635412367,"[ 0.9308642   0.93540466  0.91368313  0.91569273  0.92739369  0.92657064
  0.93589163  0.94565158  0.90943759  0.9376406   0.93292181  0.9352332
  0.91532236  0.92065844  0.93015089  0.93796982  0.92956104  0.92506859
  0.93004115  0.95871742  0.92174211  0.8938546   0.91115226  0.89875171
  0.91263374  0.94037037  0.90610425  0.92979424  0.90512346  0.9362963
  0.93825789  0.91742798  0.93802469  0.92524005  0.91909465  0.92387517
  0.91979424  0.89203018  0.9129561   0.9292524   0.91667353  0.90502058
  0.92516461  0.92292181  0.93579561  0.92745542  0.92026063  0.93253772
  0.95474623  0.91561043]"
6,HNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.506666666667,0.0105798939682,"{'random_state': 0, 'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l2'}",0.508037037037,0.00751413847969,"[ 0.5         0.5037037   0.50555556  0.50555556  0.50740741  0.51296296
  0.52037037  0.50555556  0.51851852  0.5         0.50185185  0.50740741
  0.50925926  0.5         0.51296296  0.52407407  0.51851852  0.51111111
  0.49259259  0.50925926  0.51481481  0.4962963   0.5037037   0.50925926
  0.51296296  0.51296296  0.50555556  0.5037037   0.50740741  0.4962963
  0.50740741  0.50555556  0.51481481  0.51296296  0.51296296  0.5037037
  0.51111111  0.52222222  0.50740741  0.51851852  0.5         0.5037037
  0.50925926  0.49259259  0.50555556  0.52592593  0.50185185  0.51111111
  0.5         0.50555556]",0.507024691358,0.0111763789496,"{'random_state': 0, 'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l2'}",0.508425240055,0.00742331206722,"[ 0.5         0.5037037   0.50555556  0.50555556  0.50740741  0.51296296
  0.52037037  0.50555556  0.51851852  0.50175583  0.50185185  0.50740741
  0.51101509  0.50176269  0.51296296  0.52407407  0.51851852  0.51111111
  0.49259259  0.50925926  0.51481481  0.49804527  0.5037037   0.50925926
  0.51296296  0.51474623  0.50729767  0.5037037   0.50740741  0.4962963
  0.50740741  0.50555556  0.51481481  0.51296296  0.51296296  0.5037037
  0.51111111  0.52222222  0.50740741  0.52030864  0.5         0.5037037
  0.51102195  0.49434842  0.50731824  0.52592593  0.50185185  0.51290123
  0.5         0.50555556]"
7,HNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.506666666667,0.0105798939682,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.01, 'shuffle': True, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.508037037037,0.00751413847969,"[ 0.5         0.5037037   0.50555556  0.50555556  0.50740741  0.51296296
  0.52037037  0.50555556  0.51851852  0.5         0.50185185  0.50740741
  0.50925926  0.5         0.51296296  0.52407407  0.51851852  0.51111111
  0.49259259  0.50925926  0.51481481  0.4962963   0.5037037   0.50925926
  0.51296296  0.51296296  0.50555556  0.5037037   0.50740741  0.4962963
  0.50740741  0.50555556  0.51481481  0.51296296  0.51296296  0.5037037
  0.51111111  0.52222222  0.50740741  0.51851852  0.5         0.5037037
  0.50925926  0.49259259  0.50555556  0.52592593  0.50185185  0.51111111
  0.5         0.50555556]",0.507024691358,0.0111763789496,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.01, 'shuffle': True, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.508425240055,0.00742331206722,"[ 0.5         0.5037037   0.50555556  0.50555556  0.50740741  0.51296296
  0.52037037  0.50555556  0.51851852  0.50175583  0.50185185  0.50740741
  0.51101509  0.50176269  0.51296296  0.52407407  0.51851852  0.51111111
  0.49259259  0.50925926  0.51481481  0.49804527  0.5037037   0.50925926
  0.51296296  0.51474623  0.50729767  0.5037037   0.50740741  0.4962963
  0.50740741  0.50555556  0.51481481  0.51296296  0.51296296  0.5037037
  0.51111111  0.52222222  0.50740741  0.52030864  0.5         0.5037037
  0.51102195  0.49434842  0.50731824  0.52592593  0.50185185  0.51290123
  0.5         0.50555556]"
8,HNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.977407407407,0.00395447342668,"{'random_state': 0, 'n_jobs': -1, 'C': 0.1, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l2'}",0.977111111111,0.00471055202832,"[ 0.97592593  0.96666667  0.97777778  0.97962963  0.97592593  0.97777778
  0.97407407  0.98148148  0.97222222  0.98148148  0.96851852  0.97777778
  0.98148148  0.97962963  0.98518519  0.97407407  0.97592593  0.97407407
  0.98333333  0.97777778  0.97777778  0.97407407  0.97407407  0.96666667
  0.98148148  0.97962963  0.97407407  0.98703704  0.97962963  0.97777778
  0.96851852  0.97777778  0.96666667  0.97777778  0.98148148  0.97222222
  0.97592593  0.97037037  0.97592593  0.98333333  0.97777778  0.97962963
  0.98333333  0.98333333  0.97962963  0.97962963  0.97962963  0.97407407
  0.97777778  0.97777778]",0.997091906722,0.00144971791413,"{'random_state': 0, 'n_jobs': -1, 'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'penalty': 'l1'}",0.997035116598,0.00118107875326,"[ 0.99689986  0.9951989   0.99482853  0.99783265  0.9978738   0.9972428
  0.9955144   0.99672154  0.99489712  0.99762689  0.99554184  0.99652949
  0.99784636  0.99698217  0.99835391  0.99603567  0.99716049  0.99626886
  0.99902606  0.99871056  0.99721536  0.99548697  0.99459534  0.99419753
  0.99610425  0.99742112  0.99761317  0.99747599  0.99807956  0.9988203
  0.99600823  0.99588477  0.99643347  0.99799726  0.99849108  0.99674897
  0.9984225   0.99757202  0.99765432  0.99860082  0.99736626  0.99733882
  0.99640604  0.9981893   0.99839506  0.99585734  0.99747599  0.99757202
  0.99754458  0.99769547]"
9,HNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.977777777778,0.00388447721544,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.977111111111,0.0050343129889,"[ 0.97592593  0.97222222  0.97407407  0.98148148  0.98333333  0.97407407
  0.97037037  0.97777778  0.97037037  0.97962963  0.97407407  0.97222222
  0.98333333  0.97037037  0.98333333  0.97592593  0.96851852  0.97407407
  0.97962963  0.98148148  0.97592593  0.98148148  0.97407407  0.96666667
  0.97962963  0.97407407  0.97592593  0.98518519  0.97962963  0.98518519
  0.96851852  0.97962963  0.96481481  0.97777778  0.97962963  0.97592593
  0.98333333  0.97962963  0.97962963  0.98518519  0.97777778  0.97962963
  0.98148148  0.98333333  0.98333333  0.97222222  0.97592593  0.97407407
  0.97962963  0.97407407]",0.997124828532,0.00145651884976,"{'eta0': 0.0, 'class_weight': None, 'n_jobs': -1, 'n_iter': 50, 'alpha': 0.001, 'shuffle': True, 'random_state': 0, 'loss': 'modified_huber', 'verbose': 0, 'fit_intercept': True, 'epsilon': 0.1, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'power_t': 0.5}",0.997039231824,0.0011734333282,"[ 0.99683128  0.99506173  0.99465021  0.99784636  0.99768176  0.99713306
  0.99563786  0.99694102  0.99521262  0.9976406   0.99566529  0.99631001
  0.9978738   0.99707819  0.9981893   0.99620027  0.9973251   0.99640604
  0.99903978  0.99860082  0.99720165  0.99541838  0.99455418  0.9941701
  0.99615912  0.99717421  0.99796982  0.99739369  0.99812071  0.99864198
  0.99610425  0.99589849  0.99631001  0.99798354  0.99839506  0.99657064
  0.99855967  0.9975583   0.99773663  0.99861454  0.9975583   0.99735254
  0.99643347  0.9981893   0.99839506  0.9958299   0.99761317  0.99744856
  0.99769547  0.99758573]"
