,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.991851851852,0.00188852574578,"{'fit_intercept': True, 'penalty': 'l2', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.15000000000000002}",0.990555555556,0.00390648576106,"[ 0.99444444  0.98518519  0.98888889  0.98518519  0.99259259  0.9962963
  0.99444444  0.98888889  0.9962963   0.98703704  0.98888889  0.99074074
  0.98888889  0.99444444  0.99259259  0.99074074  0.99074074  0.99444444
  0.98333333  0.9962963   0.98888889  0.99074074  0.99074074  0.98518519
  0.98148148  0.99259259  0.99444444  0.99259259  0.99259259  0.98333333
  0.9962963   0.98888889  0.99259259  0.99444444  0.9962963   0.98703704
  0.97962963  0.99259259  0.99259259  0.99259259  0.99074074  0.99259259
  0.99259259  0.99259259  0.98888889  0.99074074  0.98888889  0.98703704
  0.98888889  0.98888889]",0.999725651578,0.000158137534013,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.01}",0.999678052126,0.0001761736144,"[ 0.99989026  0.99954733  0.99980796  0.99951303  0.99978738  0.99978052
  0.99973937  0.99940329  0.99989026  0.99962277  0.99932785  0.99980796
  0.99958848  0.99980796  0.99971193  0.99986283  0.99978052  0.99982167
  0.99935528  0.99978052  0.9996845   0.99977366  0.99962963  0.99956104
  0.99936214  0.99969822  0.9997668   0.99987654  0.99972565  0.9992524
  0.99982167  0.99980796  0.99969136  0.99993141  0.99993827  0.9994856
  0.9994513   0.99930727  0.99969822  0.99986283  0.99965706  0.99987654
  0.99960905  0.99984225  0.99970508  0.99961591  0.99941701  0.99957476
  0.99967764  0.99977366]"
1,HNU_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.991851851852,0.00188852574578,"{'n_iter': 50, 'verbose': 0, 'loss': 'log', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.01, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.990555555556,0.00395880709749,"[ 0.99444444  0.98333333  0.98888889  0.98518519  0.99259259  0.9962963
  0.99444444  0.98888889  0.9962963   0.98703704  0.98888889  0.99074074
  0.98888889  0.99444444  0.99259259  0.99074074  0.99074074  0.99444444
  0.98333333  0.9962963   0.98888889  0.99074074  0.99074074  0.98518519
  0.98148148  0.99259259  0.99444444  0.99259259  0.99259259  0.98333333
  0.9962963   0.98888889  0.99259259  0.99444444  0.9962963   0.98703704
  0.97962963  0.99074074  0.99259259  0.99444444  0.99074074  0.99259259
  0.99259259  0.99259259  0.98888889  0.99074074  0.98888889  0.98888889
  0.98888889  0.98888889]",0.999725651578,0.000158137534013,"{'n_iter': 50, 'verbose': 0, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.999678052126,0.0001761736144,"[ 0.99989026  0.99954733  0.99980796  0.99951303  0.99978738  0.99978052
  0.99973937  0.99940329  0.99989026  0.99962277  0.99932785  0.99980796
  0.99958848  0.99980796  0.99971193  0.99986283  0.99978052  0.99982167
  0.99935528  0.99978052  0.9996845   0.99977366  0.99962963  0.99956104
  0.99936214  0.99969822  0.9997668   0.99987654  0.99972565  0.9992524
  0.99982167  0.99980796  0.99969136  0.99993141  0.99993827  0.9994856
  0.9994513   0.99930727  0.99969822  0.99986283  0.99965706  0.99987654
  0.99960905  0.99984225  0.99970508  0.99961591  0.99941701  0.99957476
  0.99967764  0.99977366]"
2,HNU_1_deter_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.972592592593,0.00613072050268,"{'fit_intercept': True, 'penalty': 'l2', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.75}",0.971555555556,0.00693651399029,"[ 0.96851852  0.97037037  0.97222222  0.96851852  0.97777778  0.98333333
  0.96666667  0.96851852  0.97407407  0.97407407  0.97222222  0.96481481
  0.97037037  0.97037037  0.95925926  0.97592593  0.98333333  0.98148148
  0.96851852  0.96851852  0.97407407  0.95925926  0.97777778  0.96296296
  0.96851852  0.97962963  0.97407407  0.97592593  0.96481481  0.95925926
  0.98703704  0.98333333  0.96666667  0.98148148  0.96851852  0.97037037
  0.96666667  0.95740741  0.96296296  0.97777778  0.96851852  0.96666667
  0.96481481  0.97037037  0.97592593  0.97592593  0.97222222  0.98333333
  0.97407407  0.96851852]",0.995187928669,0.00162233429151,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.65}",0.994841426612,0.00202915187413,"[ 0.9970096   0.99410151  0.99657064  0.99493827  0.99603567  0.99443073
  0.99278464  0.99423868  0.99710562  0.99688615  0.99359396  0.99470508
  0.9955144   0.99403292  0.99075446  0.99832647  0.99824417  0.99753086
  0.9941701   0.99292181  0.99589849  0.99176955  0.9948834   0.99315501
  0.99521262  0.99257888  0.99558299  0.9976406   0.99565158  0.99072702
  0.99725652  0.99879287  0.9918107   0.99469136  0.9929904   0.99463649
  0.99334705  0.98989026  0.99352538  0.99607682  0.99444444  0.99507545
  0.99569273  0.99525377  0.99698217  0.99508916  0.99233196  0.99731139
  0.99554184  0.99433471]"
3,HNU_1_deter_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.973703703704,0.00716262207623,"{'n_iter': 50, 'verbose': 0, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.972037037037,0.00699058744007,"[ 0.97037037  0.96851852  0.97407407  0.96851852  0.98148148  0.97962963
  0.96666667  0.97222222  0.97777778  0.97777778  0.97037037  0.96296296
  0.97592593  0.97037037  0.96111111  0.98518519  0.97962963  0.98148148
  0.97037037  0.96666667  0.97407407  0.96111111  0.97407407  0.96481481
  0.96851852  0.97962963  0.97222222  0.97407407  0.96666667  0.96111111
  0.98518519  0.98518519  0.96481481  0.97962963  0.96851852  0.97037037
  0.97037037  0.95740741  0.96111111  0.98148148  0.96666667  0.96666667
  0.96296296  0.96851852  0.97777778  0.97592593  0.97407407  0.98148148
  0.97222222  0.97407407]",0.995212620027,0.00142087588055,"{'n_iter': 50, 'verbose': 0, 'loss': 'modified_huber', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.99485733882,0.00200786171628,"[ 0.99689986  0.99408779  0.99641975  0.99507545  0.99620027  0.99447188
  0.99277092  0.99419753  0.99702332  0.99718793  0.99347051  0.99470508
  0.9955144   0.9940192   0.99104252  0.99832647  0.99828532  0.99737997
  0.99426612  0.99289438  0.99588477  0.99197531  0.99489712  0.99305898
  0.99540466  0.99270233  0.99563786  0.99768176  0.99562414  0.99072702
  0.99729767  0.99883402  0.99182442  0.99460905  0.99288066  0.99473251
  0.9933059   0.98994513  0.99366255  0.99602195  0.99445816  0.99513032
  0.99561043  0.99526749  0.99689986  0.99500686  0.99241427  0.99721536
  0.99555556  0.99436214]"
4,HNU_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.865925925926,0.0112704622627,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 100, 'solver': 'liblinear', 'random_state': 0, 'C': 0.9}",0.864814814815,0.0142243439775,"[ 0.85185185  0.86851852  0.88333333  0.86111111  0.86111111  0.8962963
  0.88333333  0.87962963  0.86666667  0.87407407  0.86296296  0.86851852
  0.87037037  0.8537037   0.87037037  0.88703704  0.85185185  0.85185185
  0.84444444  0.86666667  0.85925926  0.83333333  0.84444444  0.8537037
  0.8537037   0.88703704  0.85185185  0.86481481  0.84814815  0.87777778
  0.87592593  0.87592593  0.86851852  0.87407407  0.85740741  0.8462963
  0.87592593  0.8537037   0.86481481  0.86666667  0.84814815  0.84444444
  0.86481481  0.85925926  0.90185185  0.85925926  0.87407407  0.85
  0.87777778  0.87407407]",0.946120713306,0.0076704019071,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 100, 'solver': 'liblinear', 'random_state': 0, 'C': 0.9500000000000001}",0.945773113855,0.00823359976869,"[ 0.94470508  0.95154321  0.9570439   0.93744856  0.95141289  0.96270919
  0.94883402  0.95388889  0.95040466  0.95599451  0.9455144   0.94864883
  0.9469273   0.9463786   0.94251029  0.95574074  0.9323594   0.94518519
  0.93399863  0.95052812  0.94375857  0.93418381  0.94419753  0.94095336
  0.93444444  0.96355967  0.94126886  0.95096708  0.93515775  0.94853224
  0.95004801  0.95144033  0.94501372  0.94558985  0.94120713  0.93438957
  0.94857339  0.93573388  0.94056241  0.94825103  0.92600137  0.94009602
  0.93550069  0.94260631  0.96215364  0.94058985  0.95151578  0.94124829
  0.95219479  0.95713992]"
5,HNU_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.858518518519,0.0148887046239,"{'n_iter': 50, 'verbose': 0, 'loss': 'modified_huber', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.847962962963,0.0167293061571,"[ 0.85740741  0.8537037   0.85        0.8462963   0.85185185  0.89074074
  0.86111111  0.85185185  0.86851852  0.83148148  0.84259259  0.8537037
  0.8537037   0.84444444  0.84814815  0.87962963  0.8462963   0.84814815
  0.8037037   0.85555556  0.84074074  0.82222222  0.85555556  0.8462963
  0.83148148  0.86666667  0.8037037   0.83518519  0.85185185  0.83518519
  0.86481481  0.86851852  0.84814815  0.83518519  0.8537037   0.82962963
  0.84444444  0.84814815  0.8537037   0.84444444  0.83703704  0.82962963
  0.82962963  0.83888889  0.89259259  0.8537037   0.8537037   0.84074074
  0.85185185  0.85185185]",0.913621399177,0.0195870378487,"{'n_iter': 50, 'verbose': 0, 'loss': 'modified_huber', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.91238436214,0.0182047822375,"[ 0.9230727   0.92698903  0.9401166   0.90518519  0.92655693  0.95115912
  0.91680384  0.89746914  0.92646776  0.92090535  0.87910837  0.90585048
  0.94421125  0.90912209  0.92397805  0.89434156  0.90677641  0.89449931
  0.8961797   0.93874486  0.89683128  0.88419753  0.900631    0.9268107
  0.88242798  0.92446502  0.93303841  0.89718107  0.88613169  0.91622771
  0.94435528  0.91622771  0.91368313  0.91183128  0.91259259  0.92824417
  0.89680384  0.91116598  0.89135802  0.92460219  0.91286008  0.88266118
  0.92218107  0.89229081  0.9373251   0.91315501  0.90479424  0.88840878
  0.9370096   0.90218793]"
6,HNU_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.505925925926,0.0121941315801,"{'n_iter': 50, 'verbose': 0, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.502777777778,0.0081754592795,"[ 0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.51111111  0.5         0.50740741  0.51111111
  0.50925926  0.51851852  0.50925926  0.5037037   0.5037037   0.48703704
  0.50185185  0.51296296  0.5         0.5         0.50740741  0.5
  0.5037037   0.50925926  0.5037037   0.49444444  0.49444444  0.5
  0.50185185  0.51666667  0.50740741  0.51481481  0.48518519  0.5
  0.52222222  0.51481481  0.5         0.5         0.5         0.5037037
  0.5         0.51111111  0.5         0.5         0.50185185  0.4962963
  0.47407407]",0.507005486968,0.011885494027,"{'n_iter': 50, 'verbose': 0, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.503014266118,0.0110875129379,"[ 0.50571331  0.47777778  0.5         0.49259259  0.5         0.50185185
  0.48703704  0.52222222  0.51296296  0.51111111  0.51111111  0.5091358
  0.51111111  0.50925926  0.51851852  0.51098765  0.5037037   0.5037037
  0.48687929  0.50185185  0.5127915   0.5         0.49259259  0.50740741
  0.49259259  0.5037037   0.50925926  0.5037037   0.49611797  0.49615226
  0.49259259  0.50185185  0.51666667  0.50740741  0.51481481  0.48518519
  0.50925926  0.52222222  0.51481481  0.48333333  0.49800412  0.49814815
  0.50355967  0.5         0.51100137  0.52777778  0.5         0.50185185
  0.4962963   0.47407407]"
8,HNU_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.974074074074,0.00453609211627,"{'fit_intercept': True, 'penalty': 'l2', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.25}",0.972814814815,0.00703157682901,"[ 0.97222222  0.96666667  0.97222222  0.97407407  0.98148148  0.98148148
  0.96851852  0.97037037  0.97222222  0.97222222  0.97222222  0.96666667
  0.97222222  0.97407407  0.96296296  0.97777778  0.98518519  0.98148148
  0.96851852  0.96851852  0.96851852  0.95925926  0.97592593  0.96666667
  0.96296296  0.97592593  0.97962963  0.97592593  0.96851852  0.95925926
  0.98518519  0.98703704  0.97037037  0.98333333  0.97037037  0.98148148
  0.97037037  0.96111111  0.96481481  0.98518519  0.96851852  0.96851852
  0.96851852  0.96851852  0.97592593  0.96851852  0.97222222  0.98518519
  0.97962963  0.97222222]",0.996576131687,0.00125412343163,"{'fit_intercept': True, 'penalty': 'l1', 'n_jobs': -1, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.8500000000000001}",0.996248559671,0.00169741264639,"[ 0.99791495  0.99537723  0.99717421  0.99695473  0.99665295  0.99618656
  0.99474623  0.99556927  0.99761317  0.99788752  0.99613169  0.99588477
  0.99599451  0.99607682  0.99263374  0.99855967  0.99898491  0.99847737
  0.99550069  0.9948011   0.99706447  0.9937037   0.99576132  0.99521262
  0.99526749  0.99392318  0.99747599  0.99796982  0.99680384  0.99355281
  0.99821674  0.99958848  0.99336077  0.99703704  0.99502058  0.99657064
  0.9942524   0.99176955  0.99541838  0.99699588  0.99640604  0.99725652
  0.99816187  0.99679012  0.99802469  0.99609053  0.99447188  0.99914952
  0.99640604  0.99558299]"
9,HNU_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.974814814815,0.00381319634851,"{'n_iter': 50, 'verbose': 0, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.2, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.974222222222,0.00722782308941,"[ 0.97222222  0.96666667  0.97222222  0.97592593  0.98148148  0.98333333
  0.97222222  0.97222222  0.97222222  0.97777778  0.97592593  0.96481481
  0.97037037  0.97222222  0.96111111  0.98333333  0.98518519  0.98333333
  0.96666667  0.97407407  0.97222222  0.96111111  0.97962963  0.96851852
  0.96296296  0.97407407  0.97962963  0.97592593  0.97222222  0.96481481
  0.98888889  0.98888889  0.97037037  0.98518519  0.97407407  0.98148148
  0.97592593  0.96111111  0.96296296  0.98703704  0.96851852  0.97407407
  0.96851852  0.97592593  0.97777778  0.97037037  0.97592593  0.98333333
  0.97407407  0.97222222]",0.996567901235,0.00103779883618,"{'n_iter': 50, 'verbose': 0, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'fit_intercept': True, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'eta0': 0.0, 'alpha': 0.001, 'class_weight': None, 'shuffle': True, 'random_state': 0}",0.996257064472,0.00169487386247,"[ 0.99758573  0.99539095  0.99709191  0.9970096   0.99680384  0.99611797
  0.99477366  0.99565158  0.99758573  0.99825789  0.99617284  0.99572016
  0.99617284  0.99604938  0.99260631  0.99861454  0.99888889  0.99853224
  0.99539095  0.99482853  0.9969273   0.99364883  0.9957476   0.99515775
  0.99524005  0.99399177  0.99750343  0.99798354  0.99711934  0.99358025
  0.99817558  0.99965706  0.99356653  0.99706447  0.99499314  0.99666667
  0.99426612  0.99171468  0.99539095  0.99703704  0.99636488  0.99739369
  0.99803841  0.99695473  0.9979561   0.99613169  0.99449931  0.99898491
  0.9962963   0.99555556]"
