,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_ROIv_scale250,binar,bag_of_edges,l1_l2_linf,standard,LR,0.996666666667,0.000740740740741,"{'C': 0.5, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",0.996666666667,0.00264497349205,"[ 0.9962963   0.9962963   0.9962963   0.99444444  0.99074074  1.          0.9962963
  0.99444444  1.          0.99814815  0.99444444  0.99444444  0.9962963
  0.99259259  0.99444444  0.99814815  0.99814815  1.          1.
  0.99814815  0.99814815  0.99814815  0.9962963   0.9962963   0.99814815
  0.9962963   0.99814815  0.99444444  0.99074074  0.99814815  0.99814815
  0.99814815  0.99074074  0.99814815  1.          0.99814815  0.99814815
  1.          0.99259259  0.99259259  1.          0.99259259  0.99814815
  0.99814815  0.99444444  0.9962963   1.          1.          0.99444444
  0.99814815]",0.999894375857,1.47741146972e-05,"{'C': 0.01, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",0.999928257888,8.28197181501e-05,"[ 0.9998834   0.99994513  0.9999177   0.99967078  0.9996845   1.          0.9999177
  0.99973937  1.          0.99997257  0.99993141  0.9997668   0.99993141
  0.99982167  0.99984911  0.99998628  0.99993827  1.          1.          1.
  0.99995199  0.99993827  0.99995885  0.99993141  0.99995885  0.99995885
  1.          0.99989026  0.99979424  1.          0.99994513  1.
  0.99997942  0.99998628  1.          0.99997257  0.99993141  1.
  0.99993141  0.99987654  1.          0.99980796  0.99989026  0.99998628
  0.99987654  0.99997257  1.          1.          0.9999177   1.        ]"
1,HNU_1_proba_csa_con_ROIv_scale250,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.996666666667,0.000740740740741,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'modified_huber'}",0.997111111111,0.00248893298021,"[ 0.9962963   0.9962963   0.9962963   0.99444444  0.99074074  1.          0.9962963
  0.99444444  1.          0.99814815  0.99444444  0.99444444  0.9962963
  0.99444444  0.9962963   0.99814815  0.99814815  1.          1.          1.
  0.99814815  0.99814815  0.9962963   0.9962963   0.99814815  0.9962963   1.
  0.9962963   0.99074074  0.99814815  0.99814815  1.          0.99259259
  0.99814815  1.          0.99814815  0.99814815  1.          0.99259259
  0.99444444  1.          0.99444444  0.99814815  0.99814815  0.99444444
  0.99814815  1.          1.          0.9962963   1.        ]",0.999894375857,1.47741146972e-05,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'hinge'}",0.999928257888,8.28197181501e-05,"[ 0.9998834   0.99994513  0.9999177   0.99967078  0.9996845   1.          0.9999177
  0.99973937  1.          0.99997257  0.99993141  0.9997668   0.99993141
  0.99982167  0.99984911  0.99998628  0.99993827  1.          1.          1.
  0.99995199  0.99993827  0.99995885  0.99993141  0.99995885  0.99995885
  1.          0.99989026  0.99979424  1.          0.99994513  1.
  0.99997942  0.99998628  1.          0.99997257  0.99993141  1.
  0.99993141  0.99987654  1.          0.99980796  0.99989026  0.99998628
  0.99987654  0.99997257  1.          1.          0.9999177   1.        ]"
2,HNU_1_proba_csa_con_ROIv_scale250,binar,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,HNU_1_proba_csa_con_ROIv_scale250,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,HNU_1_proba_csa_con_ROIv_scale250,binar,closeness_centrality,l1_l2_linf,standard,LR,0.809259259259,0.0195280390022,"{'C': 0.9500000000000001, 'n_jobs': -1, 'max_iter': 100, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",0.806185185185,0.017929942923,"[ 0.8037037   0.81481481  0.80740741  0.82037037  0.80555556  0.78888889
  0.80925926  0.78888889  0.83333333  0.82777778  0.81111111  0.8037037
  0.78148148  0.83888889  0.8037037   0.77777778  0.82037037  0.7537037
  0.82777778  0.8037037   0.81481481  0.76666667  0.81296296  0.79259259
  0.8         0.82592593  0.82407407  0.79444444  0.82037037  0.81481481
  0.77777778  0.81481481  0.81851852  0.81111111  0.77592593  0.82037037
  0.8037037   0.79074074  0.80185185  0.79259259  0.8         0.7962963
  0.79814815  0.79444444  0.80925926  0.81296296  0.83888889  0.81851852
  0.83333333  0.81111111]",0.893920438957,0.012094726206,"{'C': 0.9500000000000001, 'n_jobs': -1, 'max_iter': 100, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",0.893461865569,0.0155736265198,"[ 0.89419753  0.89292181  0.89670782  0.91606996  0.90251715  0.87770233
  0.90574074  0.87612483  0.91412894  0.91593964  0.90085734  0.88737311
  0.86605624  0.91838134  0.89112483  0.87160494  0.91733196  0.86700274
  0.90645405  0.88589163  0.91321674  0.85990398  0.89269547  0.86945816
  0.89635117  0.910631    0.90896433  0.88115226  0.89103567  0.90260631
  0.87727023  0.89493141  0.91207819  0.89089163  0.88694102  0.90127572
  0.87812071  0.87707133  0.88349108  0.87272977  0.8935048   0.88085734
  0.88262689  0.87922497  0.89746228  0.89027435  0.91188615  0.90440329
  0.91632373  0.91158436]"
5,HNU_1_proba_csa_con_ROIv_scale250,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.810740740741,0.0169886591721,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 1.0, 'power_t': 0.5, 'loss': 'modified_huber'}",0.798037037037,0.0193530834271,"[ 0.79259259  0.83703704  0.77592593  0.82777778  0.79259259  0.77407407
  0.80555556  0.77407407  0.83518519  0.79074074  0.79259259  0.78148148
  0.7962963   0.82407407  0.78703704  0.79814815  0.83703704  0.78703704
  0.78333333  0.78703704  0.77592593  0.77777778  0.81111111  0.78518519
  0.7962963   0.84444444  0.80185185  0.77962963  0.77222222  0.82407407
  0.78888889  0.7962963   0.81851852  0.77407407  0.78888889  0.80555556
  0.81481481  0.76851852  0.7962963   0.77777778  0.79259259  0.78703704
  0.79074074  0.77777778  0.82407407  0.80185185  0.81296296  0.81111111
  0.81666667  0.80925926]",0.869050754458,0.0136170391573,"{'alpha': 0.01, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 1.0, 'power_t': 0.5, 'loss': 'modified_huber'}",0.868722770919,0.0146149590574,"[ 0.87027435  0.87528121  0.87674897  0.8909808   0.87596022  0.85663237
  0.88328532  0.85989712  0.89231824  0.8963786   0.87723594  0.85045953
  0.84484911  0.8957476   0.85566529  0.85012346  0.89366941  0.85354595
  0.87111797  0.85355967  0.88793553  0.84659808  0.87291495  0.84929355
  0.86879287  0.88499314  0.88050069  0.86171468  0.86299726  0.88776406
  0.85481481  0.86558985  0.88601509  0.86714678  0.86451303  0.86646091
  0.86702332  0.84816872  0.84353224  0.85550069  0.87228395  0.85275034
  0.86055556  0.85166667  0.87248285  0.86673525  0.88397119  0.87495199
  0.87382716  0.88091221]"
6,HNU_1_proba_csa_con_ROIv_scale250,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.523703703704,0.0156434904311,"{'C': 0.01, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l2', 'fit_intercept': True, 'solver': 'liblinear'}",0.522592592593,0.0155334940559,"[ 0.51296296  0.51666667  0.51851852  0.4962963   0.52962963  0.53703704
  0.53518519  0.55185185  0.53518519  0.51666667  0.50925926  0.50925926
  0.53888889  0.51666667  0.5         0.55555556  0.53888889  0.5
  0.50555556  0.50925926  0.53703704  0.50925926  0.50740741  0.52222222
  0.52777778  0.54814815  0.52407407  0.51666667  0.50555556  0.52962963
  0.52222222  0.51666667  0.54444444  0.52407407  0.52777778  0.48703704
  0.53703704  0.55        0.51666667  0.51851852  0.52222222  0.5
  0.51481481  0.52407407  0.5537037   0.52407407  0.52777778  0.51296296
  0.51481481  0.52962963]",0.523828532236,0.0152818901567,"{'C': 0.05, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",0.521728806584,0.0152776415673,"[ 0.51426612  0.51655007  0.51822359  0.49554184  0.53257888  0.53585048
  0.53637174  0.5527915   0.53352538  0.51552126  0.50633059  0.50929355
  0.53987654  0.51934156  0.50335391  0.5         0.53564472  0.5002332
  0.50328532  0.50839506  0.53793553  0.50825103  0.50780521  0.52377915
  0.52609053  0.54868313  0.52722222  0.51604938  0.50442387  0.52930041
  0.52457476  0.52107682  0.54739369  0.52565844  0.52839506  0.48505487
  0.53472565  0.55205761  0.51816872  0.52148148  0.52039781  0.50216049
  0.51467764  0.52194787  0.5509808   0.52829218  0.52584362  0.51262003
  0.51545953  0.52895748]"
7,HNU_1_proba_csa_con_ROIv_scale250,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.523703703704,0.0156434904311,"{'alpha': 0.01, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'log'}",0.522666666667,0.0155138771456,"[ 0.51296296  0.51666667  0.51851852  0.4962963   0.52962963  0.53703704
  0.53518519  0.55185185  0.53518519  0.51666667  0.50925926  0.50925926
  0.53888889  0.51666667  0.5         0.55555556  0.53888889  0.5
  0.50555556  0.50925926  0.53703704  0.50925926  0.50740741  0.52222222
  0.52777778  0.54814815  0.52407407  0.51666667  0.50555556  0.52962963
  0.52222222  0.52037037  0.54444444  0.52407407  0.52777778  0.48703704
  0.53703704  0.55        0.51666667  0.51851852  0.52222222  0.5
  0.51481481  0.52407407  0.5537037   0.52407407  0.52777778  0.51296296
  0.51481481  0.52962963]",0.523862825789,0.0152859652538,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 1.0, 'power_t': 0.5, 'loss': 'log'}",0.519698353909,0.0174329430491,"[ 0.51426612  0.51655007  0.5         0.49554184  0.53257888  0.53585048
  0.5         0.5527915   0.53352538  0.51532236  0.50650206  0.50929355
  0.54006173  0.51934156  0.50340878  0.5562963   0.53564472  0.50033608
  0.50334019  0.50839506  0.5380727   0.5         0.50780521  0.52384774
  0.52609053  0.54868313  0.52722222  0.51604938  0.5         0.52941015
  0.52457476  0.5         0.54739369  0.52592593  0.5         0.48505487
  0.53472565  0.55205761  0.51816872  0.5         0.5         0.50216049
  0.51460905  0.52194787  0.55056241  0.52829218  0.52584362  0.51262003
  0.51545953  0.52929355]"
8,HNU_1_proba_csa_con_ROIv_scale250,binar,eigenvector_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'C': 0.05, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'max_iter': 50, 'random_state': 0, 'penalty': 'l1', 'fit_intercept': True, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
9,HNU_1_proba_csa_con_ROIv_scale250,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'epsilon': 0.1, 'fit_intercept': True, 'class_weight': None, 'shuffle': True, 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.0, 'n_iter': 50, 'l1_ratio': 0, 'power_t': 0.5, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
