,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.985185185185,0.00351364184463,"{'random_state': 0, 'fit_intercept': True, 'C': 0.2, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.985148148148,0.00498956386866,"[ 0.98888889  0.98518519  0.98703704  0.98518519  0.97592593  0.98888889
  0.98888889  0.98148148  0.99444444  0.99259259  0.98703704  0.98148148
  0.99074074  0.97962963  0.97592593  0.98333333  0.99259259  0.99259259
  0.98333333  0.98333333  0.97962963  0.98888889  0.99074074  0.97962963
  0.98703704  0.98333333  0.98518519  0.99259259  0.98518519  0.97777778
  0.98518519  0.98148148  0.98333333  0.98148148  0.98703704  0.98703704
  0.97962963  0.98333333  0.99074074  0.97222222  0.98333333  0.97962963
  0.98518519  0.99074074  0.99074074  0.98703704  0.99259259  0.98148148
  0.98148148  0.98518519]",0.998891632373,0.000276146371921,"{'random_state': 0, 'fit_intercept': True, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.99892345679,0.000578520685382,"[ 0.99858711  0.99886831  0.99916324  0.99887517  0.99822359  0.99916324
  0.99954047  0.99796296  0.99971193  0.9998011   0.99903978  0.99822359
  0.99944444  0.99820988  0.99765432  0.9989369   0.99956104  0.99977366
  0.99939643  0.99928669  0.99857339  0.99952675  0.99919067  0.99847737
  0.99866255  0.99892318  0.99794239  0.99942387  0.99876543  0.99921125
  0.99840192  0.9988546   0.99917695  0.99910837  0.99899863  0.99942387
  0.99896433  0.99794239  0.99944444  0.99824417  0.9990192   0.99838134
  0.99812757  0.99926612  0.99962963  0.99958848  0.9996845   0.9976406
  0.99876543  0.99938957]"
1,HNU_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.985185185185,0.00351364184463,"{'verbose': 0, 'alpha': 0.001, 'loss': 'hinge', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.985074074074,0.00512411121806,"[ 0.98888889  0.98518519  0.98518519  0.98703704  0.97592593  0.98888889
  0.98888889  0.98333333  0.99444444  0.99444444  0.98518519  0.98148148
  0.99074074  0.97962963  0.97592593  0.97962963  0.99444444  0.99259259
  0.98333333  0.98333333  0.97962963  0.98703704  0.99074074  0.97962963
  0.98703704  0.98333333  0.98518519  0.99259259  0.98518519  0.97777778
  0.98703704  0.98333333  0.98333333  0.98148148  0.98518519  0.98703704
  0.97962963  0.98333333  0.99074074  0.97222222  0.98333333  0.97962963
  0.98333333  0.99074074  0.98888889  0.98518519  0.99444444  0.98148148
  0.98148148  0.98518519]",0.998891632373,0.000276146371921,"{'verbose': 0, 'alpha': 0.001, 'loss': 'hinge', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.99892345679,0.000578520685382,"[ 0.99858711  0.99886831  0.99916324  0.99887517  0.99822359  0.99916324
  0.99954047  0.99796296  0.99971193  0.9998011   0.99903978  0.99822359
  0.99944444  0.99820988  0.99765432  0.9989369   0.99956104  0.99977366
  0.99939643  0.99928669  0.99857339  0.99952675  0.99919067  0.99847737
  0.99866255  0.99892318  0.99794239  0.99942387  0.99876543  0.99921125
  0.99840192  0.9988546   0.99917695  0.99910837  0.99899863  0.99942387
  0.99896433  0.99794239  0.99944444  0.99824417  0.9990192   0.99838134
  0.99812757  0.99926612  0.99962963  0.99958848  0.9996845   0.9976406
  0.99876543  0.99938957]"
2,HNU_1_proba_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.996296296296,0.00286887655275,"{'random_state': 0, 'fit_intercept': True, 'C': 0.55, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.996222222222,0.00215834107916,"[ 0.9962963   0.99444444  0.99074074  0.99259259  0.9962963   0.99814815
  0.99814815  1.          0.99814815  1.          0.99259259  0.99444444
  0.99814815  0.99814815  0.99814815  0.9962963   0.9962963   0.9962963
  0.9962963   0.99814815  0.9962963   0.99814815  0.99814815  0.99444444
  0.9962963   0.99259259  0.9962963   0.9962963   0.99444444  0.99074074
  0.99814815  0.9962963   0.9962963   0.9962963   0.9962963   0.99814815
  0.99444444  0.99444444  0.9962963   0.9962963   0.99259259  0.99814815
  1.          0.99814815  0.9962963   0.9962963   0.99814815  0.99444444
  0.99444444  0.9962963 ]",0.999903978052,8.63217158988e-05,"{'random_state': 0, 'fit_intercept': True, 'C': 0.8, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.999903978052,0.000139432710667,"[ 0.99995885  0.99994513  0.99990398  0.99943759  0.99998628  0.99995885
  0.99995885  1.          1.          1.          0.99987654  0.99954733
  0.99961591  0.99994513  0.99993141  0.99995885  0.99995885  1.          1.
  0.99993141  0.99997257  0.99995885  0.99998628  0.99987654  1.
  0.99994513  0.99990398  1.          0.99954733  0.99980796  1.          1.
  0.99962963  0.9999177   0.99987654  1.          0.99993141  0.99993141
  0.99994513  0.99998628  0.99982167  0.99997257  1.          1.          1.
  0.99997257  0.99994513  0.99987654  0.99953361  0.99994513]"
3,HNU_1_proba_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.996666666667,0.0031860463952,"{'verbose': 0, 'alpha': 0.001, 'loss': 'modified_huber', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.996592592593,0.00186513752771,"[ 0.9962963   0.99444444  0.99259259  0.99444444  0.9962963   0.99814815
  0.99814815  1.          0.99814815  1.          0.99259259  0.99444444
  0.99814815  0.99814815  0.99814815  0.9962963   0.9962963   0.9962963
  0.9962963   0.99814815  0.9962963   0.99814815  0.99814815  0.99444444
  0.99814815  0.99444444  0.9962963   0.9962963   0.99444444  0.99259259
  0.99814815  0.99814815  0.9962963   0.9962963   0.9962963   0.99814815
  0.9962963   0.9962963   0.9962963   0.9962963   0.99259259  0.99814815
  1.          0.99814815  0.99814815  0.9962963   0.99814815  0.99444444
  0.9962963   0.9962963 ]",0.999912208505,8.07349189002e-05,"{'verbose': 0, 'alpha': 0.001, 'loss': 'hinge', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.999908367627,0.00012980015058,"[ 0.99997257  0.99994513  0.99989026  0.99946502  0.99997257  0.99995885
  0.99993141  1.          1.          1.          0.99989026  0.99960219
  0.99961591  0.99994513  0.99995885  0.99993141  0.99995885  0.99998628
  1.          0.99993141  0.99998628  0.99995885  0.99997257  0.99987654
  1.          0.99994513  0.99990398  1.          0.99956104  0.99980796
  1.          1.          0.99965706  0.99990398  0.99990398  1.
  0.99993141  0.99995885  0.99994513  0.99997257  0.99982167  0.99997257
  1.          1.          1.          0.99997257  0.99994513  0.99993141
  0.99958848  0.99994513]"
4,HNU_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.9,0.0079435594776,"{'random_state': 0, 'fit_intercept': True, 'C': 0.9500000000000001, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 100}",0.901888888889,0.0103404993074,"[ 0.89074074  0.9         0.9037037   0.8962963   0.90555556  0.90925926
  0.91296296  0.92407407  0.90740741  0.88518519  0.88703704  0.91481481
  0.9037037   0.91296296  0.89814815  0.8962963   0.91111111  0.90185185
  0.89074074  0.89074074  0.90925926  0.90185185  0.88888889  0.92777778
  0.90925926  0.91111111  0.90740741  0.88333333  0.89074074  0.92037037
  0.9037037   0.90925926  0.90185185  0.91666667  0.90185185  0.9         0.9
  0.88333333  0.89814815  0.90925926  0.89259259  0.9         0.89259259
  0.9037037   0.90185185  0.8962963   0.89814815  0.9         0.88148148
  0.91111111]",0.97112345679,0.00155893165157,"{'random_state': 0, 'fit_intercept': True, 'C': 0.9500000000000001, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 100}",0.970936076818,0.00568371644036,"[ 0.97085734  0.96786008  0.97211248  0.96914266  0.97415638  0.97058985
  0.97765432  0.98223594  0.97578875  0.96408779  0.96722908  0.97378601
  0.97148148  0.9699177   0.97222222  0.97185185  0.97470508  0.97524005
  0.96201646  0.96517147  0.97569273  0.97053498  0.96116598  0.97728395
  0.96902606  0.97325103  0.97829904  0.97049383  0.96611797  0.97894376
  0.97182442  0.97991084  0.97174211  0.97589849  0.97644719  0.96788066
  0.96242798  0.96160494  0.96707133  0.97628258  0.96908779  0.9711797
  0.9658299   0.96621399  0.97396433  0.96461591  0.97145405  0.97445816
  0.95208505  0.97790809]"
5,HNU_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.876666666667,0.0145626690751,"{'verbose': 0, 'alpha': 0.001, 'loss': 'modified_huber', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.867296296296,0.0169830464968,"[ 0.87592593  0.85555556  0.82777778  0.87592593  0.8537037   0.87037037
  0.88333333  0.89444444  0.88703704  0.82407407  0.86481481  0.87222222
  0.88518519  0.89074074  0.86111111  0.87407407  0.87592593  0.87962963
  0.84259259  0.87222222  0.87037037  0.85740741  0.86666667  0.87777778
  0.86851852  0.89444444  0.87962963  0.88148148  0.83518519  0.8962963
  0.87962963  0.8537037   0.87407407  0.87037037  0.85925926  0.83888889
  0.83518519  0.87222222  0.87777778  0.87222222  0.86296296  0.85
  0.8537037   0.87962963  0.87407407  0.85185185  0.85555556  0.88888889
  0.85925926  0.86111111]",0.934443072702,0.0136026241763,"{'verbose': 0, 'alpha': 0.001, 'loss': 'modified_huber', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.93298600823,0.0107749657289,"[ 0.92216049  0.91563786  0.93957476  0.92558985  0.92921811  0.9248834
  0.94659808  0.95289438  0.93735254  0.93788752  0.95209877  0.93042524
  0.92595336  0.93340192  0.94829904  0.94658436  0.93507545  0.93030178
  0.93218107  0.92148148  0.94474623  0.92257888  0.90353909  0.94433471
  0.94497942  0.93978052  0.94138546  0.92389575  0.91849108  0.95013717
  0.93561043  0.93826475  0.94091907  0.94205761  0.92043896  0.92740055
  0.9169273   0.93611797  0.91984225  0.95020576  0.92604252  0.93989026
  0.92281207  0.92207133  0.93026063  0.92929355  0.93176955  0.93836763
  0.93226337  0.92727709]"
6,HNU_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'random_state': 0, 'fit_intercept': True, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'random_state': 0, 'fit_intercept': True, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.501481481481,0.00296296296296,"{'verbose': 0, 'alpha': 0.001, 'loss': 'modified_huber', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.500666666667,0.0045626262502,"[ 0.5         0.5         0.5         0.5         0.50555556  0.4962963
  0.5         0.5         0.50185185  0.5         0.5         0.49444444
  0.50185185  0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.51111111  0.5         0.49074074  0.5         0.50185185
  0.5         0.5         0.4962963   0.5         0.5         0.5         0.5
  0.5         0.50555556  0.49259259  0.5         0.50740741  0.51851852
  0.5         0.5         0.5         0.5         0.50185185  0.5         0.5
  0.51296296  0.5037037   0.5         0.5         0.49074074]",0.505185185185,0.0105669204575,"{'verbose': 0, 'alpha': 0.001, 'loss': 'modified_huber', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.501296296296,0.00673065994274,"[ 0.49259259  0.49814815  0.4962963   0.5         0.50555556  0.4962963
  0.51481481  0.4962963   0.50185185  0.50555556  0.50740741  0.49444444
  0.50185185  0.4962963   0.4962963   0.52037037  0.49814815  0.5
  0.51296296  0.5         0.51111111  0.49444444  0.49074074  0.49074074
  0.50185185  0.50185185  0.5         0.4962963   0.5         0.5037037
  0.5         0.49259259  0.50740741  0.50555556  0.49259259  0.5
  0.50740741  0.51851852  0.5         0.49814815  0.5037037   0.49814815
  0.50185185  0.5         0.5         0.51296296  0.5037037   0.5037037
  0.50185185  0.49074074]"
8,HNU_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.994814814815,0.00272165526976,"{'random_state': 0, 'fit_intercept': True, 'C': 0.45, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.994296296296,0.00288888888889,"[ 0.99444444  0.99259259  0.98888889  0.99444444  0.99444444  0.99814815
  0.9962963   0.99444444  0.99444444  0.9962963   0.99259259  0.99444444
  0.99259259  0.99814815  0.99814815  0.99444444  0.99814815  0.9962963
  0.99259259  0.9962963   0.99444444  0.99814815  0.99259259  0.99814815
  0.9962963   0.9962963   0.99074074  0.99074074  0.99444444  0.98888889
  0.9962963   0.99074074  0.99259259  0.9962963   0.99259259  0.9962963
  0.99259259  0.99074074  0.99074074  0.99444444  0.99074074  0.9962963   1.
  0.9962963   0.99074074  1.          0.99259259  0.98888889  0.99074074
  0.9962963 ]",0.999893004115,7.6817558299e-05,"{'random_state': 0, 'fit_intercept': True, 'C': 0.9500000000000001, 'n_jobs': -1, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50}",0.999902331962,0.000102675240742,"[ 0.9999177   0.99987654  0.99980796  0.99967078  0.99994513  1.          1.
  0.99997257  1.          0.99998628  0.99995885  0.99973937  0.9997668
  0.99987654  0.99998628  0.99990398  0.99995885  0.99995885  0.99983539
  0.99994513  0.9999177   0.99998628  0.99987654  1.          0.99998628
  0.99994513  0.9999177   0.99973937  0.99965706  0.99997257  0.99997257
  0.99994513  0.99962963  1.          0.9997668   1.          0.9999177
  0.99989026  0.9999177   0.99989026  0.99986283  1.          1.
  0.99998628  0.99989026  1.          0.99990398  0.99986283  0.99962963
  0.99994513]"
9,HNU_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.995555555556,0.00277159806428,"{'verbose': 0, 'alpha': 0.001, 'loss': 'modified_huber', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0.8, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.99562962963,0.00233539004006,"[ 0.9962963   0.99259259  0.99074074  0.99444444  0.9962963   0.9962963
  0.99814815  0.9962963   0.99814815  0.99814815  0.9962963   0.9962963
  0.99444444  0.9962963   0.99814815  0.9962963   0.99814815  0.9962963
  0.99444444  0.99444444  0.99444444  0.99814815  0.9962963   1.
  0.99814815  0.9962963   0.99074074  0.99074074  0.99444444  0.99444444
  0.9962963   0.9962963   0.9962963   0.99259259  0.99074074  0.99814815
  0.99444444  0.99444444  0.99259259  0.9962963   0.99444444  0.9962963   1.
  0.99814815  0.99444444  1.          0.9962963   0.99444444  0.99259259
  0.99444444]",0.999890260631,8.09211588683e-05,"{'verbose': 0, 'alpha': 0.001, 'loss': 'hinge', 'eta0': 0.0, 'penalty': 'elasticnet', 'l1_ratio': 0.8, 'n_iter': 50, 'power_t': 0.5, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'shuffle': True, 'class_weight': None, 'epsilon': 0.1, 'learning_rate': 'optimal'}",0.999903703704,0.000104522428434,"[ 0.99993141  0.99987654  0.99982167  0.99965706  0.99994513  1.          1.
  0.99997257  1.          0.99998628  0.99994513  0.99971193  0.99973937
  0.99990398  1.          0.99990398  0.99995885  0.99994513  0.99987654
  0.99995885  0.9999177   0.99998628  0.99987654  1.          0.99997257
  0.99997257  0.9999177   0.99978052  0.99962963  0.99995885  0.99997257
  0.99995885  0.99961591  1.          0.99978052  1.          0.99993141
  0.99990398  0.99990398  0.99986283  0.99987654  1.          1.
  0.99998628  0.99989026  1.          0.99989026  0.99987654  0.99964335
  0.99994513]"
