,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_aparc68+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.892962962963,0.00515866232488,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.2}",0.893666666667,0.01305307305,"[ 0.88703704  0.89814815  0.90555556  0.88888889  0.9         0.90740741
  0.87777778  0.9         0.91111111  0.89259259  0.87962963  0.89259259
  0.91851852  0.88888889  0.88333333  0.8962963   0.88148148  0.9
  0.89074074  0.8962963   0.88518519  0.87962963  0.9         0.90185185
  0.88333333  0.88518519  0.88333333  0.92962963  0.90555556  0.89444444
  0.91666667  0.89259259  0.87592593  0.88333333  0.89074074  0.90925926
  0.88518519  0.85740741  0.87037037  0.9         0.8962963   0.91666667
  0.9         0.87962963  0.88888889  0.90185185  0.90185185  0.88703704
  0.88703704  0.89814815]",0.963314128944,0.00489775598833,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.01}",0.964064746228,0.00640246487427,"[ 0.96171468  0.97198217  0.96656379  0.96120713  0.96505487  0.97131687
  0.96037037  0.96923182  0.96770233  0.96174897  0.95932099  0.96138546
  0.97233196  0.96339506  0.95323731  0.96403292  0.96290809  0.96547325
  0.97012346  0.96408779  0.95817558  0.95208505  0.9659465   0.96380658
  0.95691358  0.95891632  0.95748285  0.98024691  0.96866255  0.95860082
  0.97215364  0.96642661  0.95903978  0.96343621  0.96274348  0.96595336
  0.96275034  0.94334705  0.95296296  0.96975309  0.97142661  0.97276406
  0.96710562  0.96095336  0.96469822  0.96964335  0.97110425  0.96258573
  0.95970508  0.97065844]"
1,HNU_1_proba_csa_con_aparc68+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.894444444444,0.00785674201318,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.001, 'loss': 'hinge', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.893222222222,0.0132487543737,"[ 0.88888889  0.8962963   0.9         0.88888889  0.90185185  0.90740741
  0.87777778  0.9037037   0.91111111  0.89259259  0.87962963  0.89074074
  0.91851852  0.88518519  0.88333333  0.9         0.88148148  0.9
  0.89444444  0.8962963   0.88703704  0.87962963  0.9         0.90185185
  0.87962963  0.88148148  0.87777778  0.92777778  0.90555556  0.89444444
  0.91666667  0.89259259  0.87407407  0.87592593  0.89074074  0.90555556
  0.88518519  0.85925926  0.87037037  0.9         0.8962963   0.91666667
  0.9         0.87777778  0.88888889  0.90185185  0.90185185  0.88703704
  0.88888889  0.89814815]",0.963314128944,0.00489775598833,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.001, 'loss': 'hinge', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.964064746228,0.00640246487427,"[ 0.96171468  0.97198217  0.96656379  0.96120713  0.96505487  0.97131687
  0.96037037  0.96923182  0.96770233  0.96174897  0.95932099  0.96138546
  0.97233196  0.96339506  0.95323731  0.96403292  0.96290809  0.96547325
  0.97012346  0.96408779  0.95817558  0.95208505  0.9659465   0.96380658
  0.95691358  0.95891632  0.95748285  0.98024691  0.96866255  0.95860082
  0.97215364  0.96642661  0.95903978  0.96343621  0.96274348  0.96595336
  0.96275034  0.94334705  0.95296296  0.96975309  0.97142661  0.97276406
  0.96710562  0.96095336  0.96469822  0.96964335  0.97110425  0.96258573
  0.95970508  0.97065844]"
2,HNU_1_proba_csa_con_aparc68+subcort,binar,degrees,l1_l2_linf,standard,LR,0.925185185185,0.00447520221244,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.55}",0.928259259259,0.00765162238371,"[ 0.92777778  0.92222222  0.91666667  0.92222222  0.93518519  0.92037037
  0.93888889  0.93888889  0.94074074  0.93518519  0.92777778  0.93148148
  0.92407407  0.94074074  0.92407407  0.92777778  0.92777778  0.91666667
  0.92222222  0.93148148  0.92407407  0.93333333  0.93333333  0.92037037
  0.91481481  0.92222222  0.93703704  0.9462963   0.93148148  0.91851852
  0.93148148  0.93148148  0.91666667  0.92407407  0.92407407  0.93148148
  0.92777778  0.91851852  0.93148148  0.93703704  0.92592593  0.94259259
  0.93518519  0.92037037  0.91851852  0.92777778  0.93148148  0.93333333
  0.91851852  0.93148148]",0.979626886145,0.00460738260914,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.9500000000000001}",0.980979286694,0.00387388115741,"[ 0.98624143  0.98100137  0.97813443  0.97757202  0.9872428   0.97935528
  0.98245542  0.98855967  0.98765432  0.98689986  0.9780727   0.98374486
  0.97626886  0.98455418  0.98286694  0.97971193  0.98159122  0.98020576
  0.97908779  0.97849108  0.97910837  0.98167353  0.98434842  0.97713306
  0.97807956  0.97841564  0.98515089  0.98657064  0.98379973  0.97851852
  0.98196159  0.98221536  0.97410151  0.97347051  0.97964335  0.98673525
  0.97391632  0.97773663  0.97881344  0.98381344  0.97921811  0.98419753
  0.9872428   0.9780727   0.9779561   0.98152949  0.98406036  0.97927298
  0.97465021  0.97784636]"
3,HNU_1_proba_csa_con_aparc68+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.926296296296,0.00444444444444,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.001, 'loss': 'log', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.928925925926,0.0077414495511,"[ 0.92777778  0.92222222  0.91296296  0.92592593  0.93333333  0.92407407
  0.93888889  0.94074074  0.93888889  0.93888889  0.93148148  0.93518519
  0.92777778  0.94259259  0.92592593  0.92962963  0.92592593  0.91296296
  0.92592593  0.93148148  0.92407407  0.93518519  0.93333333  0.92592593
  0.91481481  0.92037037  0.93703704  0.9462963   0.93148148  0.92037037
  0.93148148  0.92962963  0.91851852  0.92407407  0.92592593  0.93333333
  0.92777778  0.91666667  0.92777778  0.93518519  0.92777778  0.94259259
  0.93518519  0.92222222  0.92222222  0.93333333  0.93333333  0.92962963
  0.91666667  0.93148148]",0.979775034294,0.00460067335362,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.001, 'loss': 'hinge', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.980930589849,0.00387114748891,"[ 0.98621399  0.98090535  0.97809328  0.97748971  0.98720165  0.97914952
  0.98242798  0.98851852  0.98728395  0.98699588  0.97808642  0.98386831
  0.97651578  0.98436214  0.98288066  0.9796845   0.98175583  0.97997257
  0.9789369   0.97836763  0.97927298  0.98160494  0.98426612  0.9772428
  0.97780521  0.97853909  0.98471193  0.98662551  0.98403292  0.9784225
  0.98196159  0.98218793  0.97418381  0.97340192  0.97960219  0.98673525
  0.97395748  0.97788752  0.97934156  0.98349794  0.97920439  0.98412894
  0.98735254  0.9779904   0.97716049  0.98154321  0.98386831  0.97941015
  0.97440329  0.97747599]"
4,HNU_1_proba_csa_con_aparc68+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.813333333333,0.0169886591721,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 100, 'random_state': 0, 'solver': 'liblinear', 'C': 0.8500000000000001}",0.814185185185,0.0119934252679,"[ 0.79074074  0.81111111  0.80740741  0.79074074  0.81296296  0.80925926
  0.81851852  0.82777778  0.83703704  0.82592593  0.81296296  0.81296296
  0.83148148  0.82962963  0.81666667  0.80925926  0.81666667  0.7962963
  0.7962963   0.80740741  0.81666667  0.82222222  0.81851852  0.8
  0.79259259  0.80925926  0.82037037  0.81296296  0.8037037   0.80740741
  0.83333333  0.82037037  0.7962963   0.81666667  0.81666667  0.80555556
  0.80185185  0.81481481  0.82592593  0.81851852  0.80185185  0.81111111
  0.80740741  0.82222222  0.84074074  0.82962963  0.81111111  0.80925926
  0.83148148  0.82962963]",0.89637037037,0.0124385641604,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 100, 'random_state': 0, 'solver': 'liblinear', 'C': 0.9500000000000001}",0.898070781893,0.0106300528839,"[ 0.89201646  0.89565158  0.88359396  0.88242798  0.89508916  0.9003155
  0.89466392  0.90836763  0.91415638  0.90548697  0.90835391  0.89705075
  0.89920439  0.910631    0.89998628  0.89349794  0.90053498  0.89415638
  0.89367627  0.89559671  0.89643347  0.89879287  0.91283951  0.89722908
  0.87127572  0.88486968  0.9040192   0.88984911  0.88733882  0.90353909
  0.91076818  0.89781893  0.87548697  0.90260631  0.90096022  0.88578875
  0.89386831  0.90024691  0.90277092  0.90016461  0.88466392  0.88891632
  0.89164609  0.9036214   0.91825789  0.91485597  0.90714678  0.8815775
  0.90894376  0.92278464]"
5,HNU_1_proba_csa_con_aparc68+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.816296296296,0.0216722056864,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.5, 'loss': 'log', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.750185185185,0.035037213217,"[ 0.73148148  0.79074074  0.77962963  0.74814815  0.69074074  0.71481481
  0.7037037   0.80185185  0.69074074  0.77777778  0.79444444  0.73148148
  0.75925926  0.72777778  0.70555556  0.72407407  0.78518519  0.73888889
  0.77592593  0.73703704  0.82777778  0.77222222  0.79074074  0.68888889
  0.73518519  0.78333333  0.72222222  0.76111111  0.71296296  0.77592593
  0.71481481  0.72037037  0.70185185  0.76666667  0.77222222  0.75555556
  0.75185185  0.74444444  0.73518519  0.77777778  0.73148148  0.73518519
  0.76111111  0.78518519  0.68888889  0.80740741  0.76481481  0.7462963
  0.82222222  0.7462963 ]",0.898515775034,0.0179713219407,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 1.0, 'loss': 'log', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.899831001372,0.0104865062963,"[ 0.88292181  0.90478738  0.87412894  0.88279835  0.91138546  0.89010974
  0.89716049  0.9155144   0.92174211  0.900631    0.90378601  0.9015775
  0.89626886  0.90403292  0.90112483  0.89326475  0.90835391  0.89573388
  0.88573388  0.8908642   0.90367627  0.90213992  0.90588477  0.89980796
  0.88386831  0.8975583   0.8966941   0.88673525  0.90530864  0.89702332
  0.9099177   0.92134431  0.88315501  0.90037037  0.90655693  0.88973937
  0.90090535  0.90096022  0.8951989   0.89578875  0.88529492  0.8960631
  0.90027435  0.90083676  0.91569273  0.90816187  0.91347051  0.89615912
  0.91740741  0.91363512]"
6,HNU_1_proba_csa_con_aparc68+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.500740740741,0.00322881403225,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.01}",0.499481481481,0.00388518341984,"[ 0.49444444  0.49814815  0.5         0.49814815  0.5         0.4962963
  0.50185185  0.50185185  0.49814815  0.5         0.49259259  0.5
  0.50185185  0.49444444  0.4962963   0.49074074  0.5         0.49814815
  0.49444444  0.50185185  0.50185185  0.4962963   0.50185185  0.50555556
  0.49444444  0.50185185  0.5         0.49444444  0.50185185  0.49814815
  0.5         0.5037037   0.5         0.50740741  0.5037037   0.5037037
  0.5037037   0.5037037   0.49814815  0.5037037   0.5037037   0.5037037
  0.5         0.49814815  0.49259259  0.49259259  0.50185185  0.5037037
  0.50185185  0.49259259]",0.601882030178,0.0264158464664,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.30000000000000004}",0.567904938272,0.0504283001524,"[ 0.61075446  0.58216049  0.59276406  0.63768861  0.49998628  0.60215364
  0.50187243  0.61316872  0.49816872  0.58240741  0.59928669  0.60039781
  0.59307956  0.58492455  0.49633745  0.57966392  0.50010974  0.64176269
  0.58276406  0.59674211  0.58391632  0.49628944  0.6544856   0.60915638
  0.49432099  0.64242112  0.58757202  0.49450617  0.58028121  0.58246228
  0.49997942  0.58550069  0.58087791  0.59489712  0.50369684  0.61315501
  0.57815501  0.59855967  0.50187929  0.5055487   0.65102195  0.60584362
  0.58794239  0.5916118   0.57032922  0.49439643  0.50553498  0.50368999
  0.60845679  0.49256516]"
7,HNU_1_proba_csa_con_aparc68+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.501481481481,0.00138579903214,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.001, 'loss': 'hinge', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.499407407407,0.00179314347213,"[ 0.5         0.49814815  0.5         0.5         0.49814815  0.5         0.5
  0.5         0.5         0.5         0.49259259  0.5         0.5
  0.49444444  0.5         0.5         0.5         0.49814815  0.49814815
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.49814815  0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.49814815
  0.5         0.5         0.5         0.5         0.49814815  0.5         0.5
  0.5         0.5037037   0.5         0.49259259]",0.580818930041,0.0465886883393,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 1.0, 'loss': 'modified_huber', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.53616515775,0.0673542201204,"[ 0.49445816  0.58216049  0.59276406  0.49828532  0.49998628  0.4962963
  0.50187243  0.61316872  0.59375857  0.5         0.49259259  0.60039781
  0.59307956  0.49445816  0.58643347  0.40181756  0.50010974  0.49820302
  0.4944513   0.501893    0.58391632  0.61439643  0.6544856   0.50559671
  0.39306584  0.64242112  0.5         0.49450617  0.50185185  0.4981893
  0.57506173  0.58550069  0.58087791  0.50740741  0.60546639  0.61315501
  0.50373114  0.59855967  0.50187929  0.65467078  0.65102195  0.50371742
  0.58794239  0.4981893   0.58514403  0.33131001  0.50189986  0.50368999
  0.50185185  0.49256516]"
8,HNU_1_proba_csa_con_aparc68+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.900740740741,0.0107726219054,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.15000000000000002}",0.898962962963,0.0103846462585,"[ 0.9037037   0.89444444  0.88518519  0.88888889  0.90185185  0.9037037
  0.90185185  0.92407407  0.90740741  0.90555556  0.89814815  0.90740741
  0.8962963   0.89444444  0.88148148  0.89444444  0.9037037   0.88148148
  0.9037037   0.90185185  0.90925926  0.90925926  0.90925926  0.88888889
  0.88148148  0.9037037   0.90185185  0.92037037  0.90925926  0.90185185
  0.9037037   0.8962963   0.88333333  0.87962963  0.89259259  0.90925926
  0.88518519  0.89074074  0.88703704  0.90925926  0.90555556  0.90185185
  0.91296296  0.89814815  0.9         0.88148148  0.90740741  0.89444444
  0.88703704  0.90740741]",0.966197530864,0.00483992452055,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'C': 0.8500000000000001}",0.966686419753,0.00677388931567,"[ 0.97101509  0.96781893  0.95954733  0.95843621  0.97064472  0.96993141
  0.96707819  0.98064472  0.97426612  0.97187929  0.96390947  0.97496571
  0.95997257  0.96528121  0.96128944  0.96326475  0.96611797  0.96320988
  0.97128944  0.96373114  0.96946502  0.96753086  0.97513032  0.9573251
  0.9551989   0.96408779  0.96891632  0.97770919  0.97249657  0.97141289
  0.97183813  0.96972565  0.94556927  0.95618656  0.96455418  0.96791495
  0.96116598  0.9594513   0.96396433  0.97463649  0.96537723  0.96677641
  0.97931413  0.96281207  0.97108368  0.95956104  0.97281207  0.96475995
  0.95902606  0.97422497]"
9,HNU_1_proba_csa_con_aparc68+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.901111111111,0.0112704622627,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.01, 'loss': 'modified_huber', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.89837037037,0.0102281249732,"[ 0.9         0.89444444  0.88518519  0.88888889  0.9037037   0.90185185
  0.90555556  0.92222222  0.90740741  0.90555556  0.89259259  0.90925926
  0.9         0.89259259  0.87962963  0.89259259  0.9037037   0.88148148
  0.89814815  0.9         0.90555556  0.90925926  0.9037037   0.89074074
  0.87777778  0.9037037   0.90185185  0.91481481  0.90925926  0.9
  0.90740741  0.89814815  0.88333333  0.87962963  0.88888889  0.90740741
  0.88333333  0.89074074  0.88703704  0.90740741  0.90185185  0.90185185
  0.91296296  0.89814815  0.9         0.88518519  0.90925926  0.8962963
  0.88703704  0.91111111]",0.96626611797,0.00507297904686,"{'n_jobs': -1, 'fit_intercept': True, 'penalty': 'elasticnet', 'class_weight': None, 'verbose': 0, 'shuffle': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'random_state': 0, 'eta0': 0.0, 'alpha': 0.001, 'loss': 'hinge', 'power_t': 0.5, 'epsilon': 0.1, 'n_iter': 50}",0.966653772291,0.0068085365948,"[ 0.97038409  0.96806584  0.95935528  0.95839506  0.97146776  0.96939643
  0.96720165  0.98058985  0.97458162  0.97153635  0.96368999  0.97510288
  0.9599177   0.96528121  0.96128944  0.96297668  0.96609053  0.96325103
  0.97128944  0.96334705  0.96916324  0.96750343  0.97518519  0.95746228
  0.95495199  0.9642524   0.96887517  0.97790123  0.97234568  0.97123457
  0.97176955  0.96990398  0.94547325  0.95609053  0.96465021  0.96798354
  0.9611797   0.95908093  0.96406036  0.97462277  0.96510288  0.96699588
  0.97932785  0.96279835  0.97096022  0.95989026  0.97304527  0.96467764
  0.95890261  0.97408779]"
