,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.987407407407,0.00753592220347,"{'n_jobs': -1, 'random_state': 0, 'C': 0.2, 'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.985851851852,0.00454756903057,"[ 0.97407407  0.98333333  0.97777778  0.98888889  0.98148148  0.98703704
  0.99074074  0.98333333  0.99074074  0.98333333  0.98333333  0.98703704
  0.98333333  0.98518519  0.97777778  0.99074074  0.99444444  0.99074074
  0.98148148  0.98888889  0.9962963   0.98888889  0.98703704  0.98888889
  0.98148148  0.98703704  0.98518519  0.99444444  0.98148148  0.98518519
  0.97777778  0.99074074  0.98888889  0.98518519  0.98333333  0.98888889
  0.98703704  0.98148148  0.98148148  0.98333333  0.98333333  0.98888889
  0.98518519  0.98888889  0.98888889  0.98518519  0.98148148  0.99259259
  0.98518519  0.98518519]",0.998766803841,0.000697506247939,"{'n_jobs': -1, 'random_state': 0, 'C': 0.01, 'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.998649794239,0.000667113899336,"[ 0.99746914  0.9981893   0.99733196  0.99879973  0.99761317  0.99942387
  0.99925926  0.99812757  0.99888203  0.99825103  0.99921811  0.99912209
  0.99877229  0.99786008  0.99753086  0.99814129  0.99973937  0.9994513
  0.99812757  0.99886831  0.99981481  0.99904664  0.99860082  0.99866255
  0.99821674  0.99855967  0.99878601  0.99895062  0.99903978  0.99718107
  0.99768176  0.99951989  0.99910151  0.99873114  0.99857339  0.9991358
  0.99903292  0.99852538  0.99825103  0.99915638  0.99803155  0.9986214
  0.99882716  0.999369    0.99932099  0.99912209  0.99721536  0.99960219
  0.9989369   0.99869684]"
1,HNU_1_proba_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.987777777778,0.00688928712509,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.985814814815,0.00440740740741,"[ 0.97592593  0.98333333  0.97777778  0.98888889  0.98518519  0.98703704
  0.99074074  0.98333333  0.99074074  0.98148148  0.98333333  0.98703704
  0.98333333  0.98518519  0.97777778  0.99074074  0.99444444  0.98888889
  0.98148148  0.98888889  0.99444444  0.98888889  0.98333333  0.98888889
  0.98148148  0.98703704  0.98518519  0.99444444  0.98333333  0.98518519
  0.97962963  0.98888889  0.99074074  0.98703704  0.98333333  0.98703704
  0.98703704  0.97962963  0.97962963  0.98333333  0.98333333  0.99074074
  0.98703704  0.98888889  0.98888889  0.98518519  0.97962963  0.99259259
  0.98518519  0.98518519]",0.998766803841,0.000697506247939,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.998649794239,0.000667113899336,"[ 0.99746914  0.9981893   0.99733196  0.99879973  0.99761317  0.99942387
  0.99925926  0.99812757  0.99888203  0.99825103  0.99921811  0.99912209
  0.99877229  0.99786008  0.99753086  0.99814129  0.99973937  0.9994513
  0.99812757  0.99886831  0.99981481  0.99904664  0.99860082  0.99866255
  0.99821674  0.99855967  0.99878601  0.99895062  0.99903978  0.99718107
  0.99768176  0.99951989  0.99910151  0.99873114  0.99857339  0.9991358
  0.99903292  0.99852538  0.99825103  0.99915638  0.99803155  0.9986214
  0.99882716  0.999369    0.99932099  0.99912209  0.99721536  0.99960219
  0.9989369   0.99869684]"
2,HNU_1_proba_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.987407407407,0.00459617542444,"{'n_jobs': -1, 'random_state': 0, 'C': 0.5, 'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.986740740741,0.00457163677754,"[ 0.98333333  0.98518519  0.99074074  0.98518519  0.98703704  0.98148148
  0.97777778  0.99444444  0.9962963   0.98333333  0.98333333  0.97962963
  0.98703704  0.97962963  0.98333333  0.99444444  0.98518519  0.98333333
  0.98703704  0.97962963  0.98888889  0.98148148  0.98888889  0.98333333
  0.98333333  0.99074074  0.98888889  0.99259259  0.98333333  0.98333333
  0.98888889  0.99074074  0.98703704  0.98333333  0.98518519  0.98703704
  0.99259259  0.98148148  0.98333333  0.99259259  0.99074074  0.98703704
  0.98703704  0.98518519  0.99444444  0.99074074  0.99074074  0.98703704
  0.98333333  0.9962963 ]",0.997714677641,0.00181386844964,"{'n_jobs': -1, 'random_state': 0, 'C': 0.9, 'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.997403840878,0.00143872877311,"[ 0.99930041  0.99497942  0.99864198  0.99484225  0.99864198  0.99609053
  0.99792867  0.99932785  0.99990398  0.99592593  0.99666667  0.99681756
  0.9973251   0.99419753  0.99729767  0.99930041  0.99860082  0.99696845
  0.99639232  0.99500686  0.99898491  0.99722908  0.99791495  0.99651578
  0.99679012  0.99648834  0.99663923  0.99839506  0.99562414  0.99727023
  0.99777778  0.99982167  0.99807956  0.99525377  0.99618656  0.99876543
  0.99718793  0.99625514  0.99562414  0.99973937  0.99727023  0.9978738
  0.99777778  0.99903978  0.99990398  0.99858711  0.99654321  0.9982716
  0.99648834  0.99773663]"
3,HNU_1_proba_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.988888888889,0.00388447721545,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.987185185185,0.00373762246268,"[ 0.98888889  0.98518519  0.98703704  0.98518519  0.98518519  0.98518519
  0.98148148  0.98888889  0.99259259  0.98333333  0.98333333  0.98333333
  0.99074074  0.98148148  0.98518519  0.99259259  0.98518519  0.98518519
  0.98518519  0.97962963  0.98888889  0.98333333  0.99074074  0.98148148
  0.98148148  0.98888889  0.99074074  0.98888889  0.98333333  0.98333333
  0.99074074  0.99259259  0.98888889  0.98703704  0.98518519  0.98888889
  0.99259259  0.98333333  0.98703704  0.99259259  0.99259259  0.98703704
  0.98703704  0.98703704  0.99444444  0.98888889  0.99074074  0.98703704
  0.98518519  0.99444444]",0.997895747599,0.0016995347804,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 1.0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'modified_huber', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.997390397805,0.00140336005586,"[ 0.99919067  0.99517147  0.99854595  0.99496571  0.99855967  0.99633745
  0.99794239  0.99932785  0.99990398  0.99628258  0.99688615  0.99687243
  0.99716049  0.99436214  0.99725652  0.99950617  0.99877915  0.99663923
  0.9966941   0.99508916  0.99891632  0.99722908  0.99844993  0.99624143
  0.99650206  0.99643347  0.99672154  0.99821674  0.99570645  0.99694102
  0.9978738   0.99986283  0.99751715  0.99521262  0.99639232  0.99843621
  0.99703704  0.99600823  0.99578875  0.99914952  0.99742112  0.9978738
  0.99805213  0.99914952  0.99990398  0.99854595  0.99581619  0.99812071
  0.99677641  0.99775034]"
4,HNU_1_proba_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.898888888889,0.00592592592593,"{'n_jobs': -1, 'random_state': 0, 'C': 0.8500000000000001, 'penalty': 'l1', 'max_iter': 100, 'solver': 'liblinear', 'fit_intercept': True}",0.898666666667,0.0113374478128,"[ 0.88888889  0.91111111  0.90555556  0.90185185  0.90185185  0.9
  0.90555556  0.91481481  0.9         0.91481481  0.90740741  0.9037037
  0.90555556  0.9         0.88703704  0.91296296  0.88148148  0.89074074
  0.90555556  0.89074074  0.88518519  0.88888889  0.89814815  0.89074074
  0.90185185  0.91481481  0.90740741  0.91666667  0.90925926  0.90185185
  0.88333333  0.90185185  0.90740741  0.88703704  0.88888889  0.88888889
  0.89814815  0.87777778  0.9         0.93148148  0.88888889  0.87962963
  0.89444444  0.89074074  0.89444444  0.88148148  0.88148148  0.90925926
  0.90185185  0.90185185]",0.972504801097,0.00323827146258,"{'n_jobs': -1, 'random_state': 0, 'C': 0.9500000000000001, 'penalty': 'l1', 'max_iter': 100, 'solver': 'liblinear', 'fit_intercept': True}",0.971446090535,0.00497212435679,"[ 0.96849794  0.97659122  0.97556927  0.9748011   0.97377229  0.97229081
  0.97443073  0.9828738   0.97651578  0.97731139  0.97329218  0.96943073
  0.97639232  0.97163237  0.97145405  0.97311385  0.96039095  0.96708505
  0.97379973  0.97141975  0.96609053  0.96886831  0.97310014  0.97312071
  0.97012346  0.97932099  0.97674211  0.98019204  0.96823731  0.97135802
  0.96877229  0.97343621  0.97286008  0.96955418  0.96175583  0.96534294
  0.97005487  0.96403292  0.96624829  0.97959534  0.96210562  0.96430727
  0.96718793  0.96731139  0.97324417  0.96752401  0.96641289  0.97283265
  0.97793553  0.97397119]"
5,HNU_1_proba_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.880740740741,0.00188852574578,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 1.0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'modified_huber', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.870814814815,0.0129870675359,"[ 0.88518519  0.88703704  0.85555556  0.84814815  0.86296296  0.88518519
  0.87037037  0.87407407  0.89074074  0.86666667  0.87962963  0.87962963
  0.88148148  0.89074074  0.85740741  0.87592593  0.85740741  0.86296296
  0.87592593  0.86851852  0.8537037   0.86481481  0.88518519  0.85740741
  0.87407407  0.89259259  0.85        0.89074074  0.87592593  0.87037037
  0.87037037  0.86481481  0.86481481  0.85925926  0.86296296  0.84444444
  0.86111111  0.87037037  0.87037037  0.88148148  0.86851852  0.85925926
  0.85555556  0.86296296  0.89259259  0.88148148  0.85185185  0.89444444
  0.88518519  0.86851852]",0.93068861454,0.00973099738737,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 1.0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'modified_huber', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.928606858711,0.0177146386382,"[ 0.94084362  0.93349108  0.94652949  0.88897119  0.92941015  0.94477366
  0.94262003  0.92510974  0.95037037  0.92607682  0.91139918  0.91934842
  0.96662551  0.93600823  0.9390535   0.88956104  0.91111797  0.90642661
  0.92668038  0.93881344  0.91510288  0.91424554  0.93400549  0.95154321
  0.90131687  0.93827846  0.93738683  0.92455418  0.92683813  0.93593964
  0.95244856  0.92653635  0.93048697  0.94316187  0.92347051  0.94076132
  0.90939643  0.92415638  0.90550754  0.95927984  0.92696159  0.8940192
  0.93791495  0.91238683  0.92690672  0.94033608  0.90796296  0.91849794
  0.96397119  0.933738  ]"
6,HNU_1_proba_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.506296296296,0.00970059322497,"{'n_jobs': -1, 'random_state': 0, 'C': 0.01, 'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.507333333333,0.0102904326496,"[ 0.5         0.52037037  0.5037037   0.51296296  0.5         0.50555556
  0.51481481  0.52222222  0.52037037  0.50740741  0.50555556  0.50925926
  0.50925926  0.51481481  0.50925926  0.51296296  0.50925926  0.50555556
  0.48703704  0.5037037   0.51296296  0.50555556  0.49814815  0.50925926
  0.51111111  0.50555556  0.51111111  0.50925926  0.5         0.5037037
  0.51111111  0.4962963   0.51666667  0.50925926  0.51851852  0.48703704
  0.50925926  0.52962963  0.51111111  0.51481481  0.50185185  0.49814815
  0.50185185  0.50740741  0.51481481  0.52962963  0.5         0.50555556
  0.49444444  0.46851852]",0.50626611797,0.0097203485129,"{'n_jobs': -1, 'random_state': 0, 'C': 0.01, 'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.507305486968,0.0102996383939,"[ 0.49984911  0.52037037  0.5037037   0.51296296  0.5         0.50555556
  0.51481481  0.52222222  0.52037037  0.50740741  0.50555556  0.5091358
  0.50925926  0.51481481  0.50925926  0.51283265  0.50925926  0.50555556
  0.48688615  0.5037037   0.51280521  0.50555556  0.49814815  0.50925926
  0.51111111  0.50555556  0.51111111  0.50925926  0.49983539  0.50356653
  0.51111111  0.4962963   0.51666667  0.50925926  0.51851852  0.48703704
  0.50925926  0.52962963  0.51111111  0.51481481  0.50172154  0.49814815
  0.50171468  0.50740741  0.51470508  0.52962963  0.5         0.50555556
  0.49444444  0.46851852]"
7,HNU_1_proba_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.507037037037,0.0088734433709,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.505333333333,0.0101473370857,"[ 0.5         0.52037037  0.5         0.5         0.5         0.5         0.5
  0.52222222  0.5         0.50740741  0.50555556  0.50740741  0.50925926
  0.51481481  0.50925926  0.51111111  0.50925926  0.50555556  0.48703704
  0.5037037   0.51296296  0.50555556  0.49814815  0.50925926  0.5
  0.50555556  0.51111111  0.50925926  0.49814815  0.50185185  0.5         0.5
  0.51666667  0.50925926  0.51851852  0.48703704  0.50925926  0.52962963
  0.51111111  0.5         0.5         0.49814815  0.50185185  0.50740741
  0.51481481  0.52962963  0.5         0.50555556  0.49444444  0.46851852]",0.508548696845,0.00778904306551,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'log', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.503464883402,0.0121427869084,"[ 0.50015089  0.52037037  0.4962963   0.48703704  0.5         0.50555556
  0.48518519  0.52222222  0.47962963  0.50740741  0.49444444  0.5091358
  0.50925926  0.51481481  0.50925926  0.51283265  0.50925926  0.50555556
  0.48688615  0.5037037   0.51280521  0.50555556  0.49814815  0.50925926
  0.48888889  0.50555556  0.51111111  0.50925926  0.49983539  0.50356653
  0.48888889  0.4962963   0.51666667  0.50925926  0.51851852  0.48703704
  0.50925926  0.52962963  0.51111111  0.48518519  0.49827846  0.49814815
  0.50171468  0.50740741  0.51470508  0.52962963  0.5         0.50555556
  0.49444444  0.46851852]"
8,HNU_1_proba_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.991851851852,0.00447520221244,"{'n_jobs': -1, 'random_state': 0, 'C': 0.35000000000000003, 'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.991185185185,0.00375081152627,"[ 0.99074074  0.98888889  0.99074074  0.98888889  0.99444444  0.98888889
  0.98333333  0.99444444  0.9962963   0.98518519  0.98333333  0.99074074
  0.99259259  0.98333333  0.99259259  0.99444444  0.98888889  0.98888889
  0.99259259  0.98703704  0.99444444  0.98518519  0.99259259  0.99074074
  0.98518519  0.99444444  0.99259259  0.99444444  0.98888889  0.99074074
  0.99259259  0.9962963   0.99444444  0.98888889  0.98703704  0.99444444
  0.9962963   0.99074074  0.98888889  0.99444444  0.9962963   0.99074074
  0.99444444  0.99074074  0.99814815  0.99074074  0.99259259  0.98888889
  0.98888889  0.99814815]",0.999039780521,0.000864262849449,"{'n_jobs': -1, 'random_state': 0, 'C': 0.9500000000000001, 'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'fit_intercept': True}",0.998863648834,0.000788045774624,"[ 0.99949246  0.99796982  0.99917695  0.9973251   0.99965706  0.9981893
  0.99931413  0.99983539  0.99998628  0.9990535   0.99887517  0.99796982
  0.99928669  0.99698217  0.99920439  0.99973937  0.99920439  0.99853224
  0.999369    0.99748971  0.99962963  0.99857339  0.99919067  0.99759945
  0.99844993  0.998107    0.99794239  0.99958848  0.9984225   0.99914952
  0.99931413  0.99989026  0.99932785  0.99754458  0.99857339  0.99969822
  0.99821674  0.99883402  0.9976406   0.99995885  0.99821674  0.99953361
  0.99925926  0.99971193  0.99983539  0.9994513   0.99817558  0.99957476
  0.99865569  0.99846365]"
9,HNU_1_proba_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.993333333333,0.00381319634851,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 0.8, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'modified_huber', 'alpha': 0.01, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.99162962963,0.00385327608997,"[ 0.99259259  0.98703704  0.99074074  0.98703704  0.99444444  0.99074074
  0.98333333  0.99444444  0.99814815  0.98148148  0.98518519  0.99259259
  0.99444444  0.98518519  0.99259259  0.99444444  0.99074074  0.99074074
  0.99259259  0.98703704  0.99444444  0.98518519  0.99259259  0.99259259
  0.98518519  0.9962963   0.99259259  0.99259259  0.98888889  0.99074074
  0.99444444  0.9962963   0.99074074  0.98888889  0.98888889  0.99444444
  0.9962963   0.99074074  0.99074074  0.9962963   0.9962963   0.99074074
  0.99259259  0.99444444  0.99814815  0.99259259  0.99259259  0.99074074
  0.99074074  0.99814815]",0.999069958848,0.000857065525714,"{'verbose': 0, 'n_jobs': -1, 'random_state': 0, 'l1_ratio': 1.0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'loss': 'modified_huber', 'alpha': 0.001, 'penalty': 'elasticnet', 'n_iter': 50, 'learning_rate': 'optimal', 'shuffle': True, 'class_weight': None}",0.998866941015,0.000797547426856,"[ 0.99941015  0.99790123  0.9990535   0.99731139  0.99958848  0.99806584
  0.99932785  0.99975309  0.99997257  0.99914952  0.99901235  0.99799726
  0.99943759  0.99691358  0.99923182  0.99983539  0.99919067  0.99855967
  0.99950617  0.9975583   0.99962963  0.99847737  0.99928669  0.99754458
  0.99846365  0.99805213  0.99817558  0.99953361  0.99843621  0.99931413
  0.99931413  0.9999177   0.99917695  0.99743484  0.99851852  0.99971193
  0.99823045  0.99893004  0.99758573  0.99995885  0.99823045  0.99953361
  0.99927298  0.99975309  0.9997668   0.99942387  0.99816187  0.99951989
  0.99876543  0.99844993]"
