,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_aparc68+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.862222222222,0.00668721114269,"{'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.859259259259,0.0132092996297,"[ 0.86296296  0.84259259  0.85185185  0.85        0.85740741  0.8537037
  0.85185185  0.85925926  0.88888889  0.83888889  0.85        0.86666667
  0.86111111  0.85185185  0.84444444  0.86111111  0.89814815  0.85925926
  0.84074074  0.87777778  0.85740741  0.82962963  0.85        0.85185185
  0.8537037   0.86111111  0.86851852  0.87777778  0.86666667  0.8462963
  0.87407407  0.89074074  0.85555556  0.87222222  0.85        0.86666667
  0.85555556  0.84259259  0.85555556  0.88148148  0.85740741  0.85
  0.85925926  0.85740741  0.86481481  0.86296296  0.86666667  0.85925926
  0.85740741  0.85185185]",0.936193415638,0.0073228638245,"{'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.936818655693,0.00765242297416,"[ 0.92568587  0.92811385  0.9291358   0.92932785  0.94100137  0.933107
  0.94122771  0.94156379  0.94946502  0.92601509  0.92154321  0.94386145
  0.94581619  0.93194787  0.93128258  0.93595336  0.95111797  0.9316118
  0.9242524   0.94798354  0.93984911  0.92406722  0.93079561  0.92858025
  0.93265432  0.93616598  0.94508916  0.94530864  0.94257202  0.93262689
  0.94895062  0.94827846  0.93322359  0.94233882  0.93495885  0.94969136
  0.92971879  0.9302332   0.93958162  0.9423594   0.93860082  0.92873114
  0.93225652  0.93671468  0.93766118  0.93908093  0.94789438  0.93845679
  0.93798354  0.9364952 ]"
1,HNU_1_proba_csd_con_aparc68+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.864444444444,0.0123617179765,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'log', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 0.6, 'alpha': 0.5, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.859888888889,0.0132642758977,"[ 0.86296296  0.84259259  0.8537037   0.85        0.85        0.86111111
  0.85185185  0.85925926  0.88333333  0.84259259  0.8462963   0.87037037
  0.86111111  0.85740741  0.83703704  0.85925926  0.89814815  0.86296296
  0.84074074  0.88148148  0.86851852  0.83148148  0.85185185  0.86111111
  0.8537037   0.86296296  0.86666667  0.87777778  0.86851852  0.8462963
  0.87407407  0.88703704  0.8537037   0.87037037  0.85        0.86666667
  0.85925926  0.83888889  0.85185185  0.88148148  0.85555556  0.84814815
  0.85740741  0.85925926  0.86111111  0.86666667  0.86666667  0.85925926
  0.87037037  0.85555556]",0.936193415638,0.0073228638245,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'hinge', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.936818655693,0.00765242297416,"[ 0.92568587  0.92811385  0.9291358   0.92932785  0.94100137  0.933107
  0.94122771  0.94156379  0.94946502  0.92601509  0.92154321  0.94386145
  0.94581619  0.93194787  0.93128258  0.93595336  0.95111797  0.9316118
  0.9242524   0.94798354  0.93984911  0.92406722  0.93079561  0.92858025
  0.93265432  0.93616598  0.94508916  0.94530864  0.94257202  0.93262689
  0.94895062  0.94827846  0.93322359  0.94233882  0.93495885  0.94969136
  0.92971879  0.9302332   0.93958162  0.9423594   0.93860082  0.92873114
  0.93225652  0.93671468  0.93766118  0.93908093  0.94789438  0.93845679
  0.93798354  0.9364952 ]"
2,HNU_1_proba_csd_con_aparc68+subcort,binar,degrees,l1_l2_linf,standard,LR,0.874444444444,0.014971394764,"{'n_jobs': -1, 'C': 0.05, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l2'}",0.871148148148,0.0121213005047,"[ 0.86666667  0.8537037   0.86666667  0.86481481  0.88518519  0.85740741
  0.88888889  0.89074074  0.88518519  0.86851852  0.87407407  0.87037037
  0.89074074  0.85555556  0.86481481  0.86481481  0.8962963   0.8537037
  0.87592593  0.87222222  0.87222222  0.8462963   0.86296296  0.87037037
  0.85740741  0.85925926  0.88148148  0.88888889  0.89814815  0.86851852
  0.86296296  0.87407407  0.87222222  0.86111111  0.8537037   0.89259259
  0.85555556  0.86851852  0.87592593  0.87777778  0.85740741  0.87777778
  0.86666667  0.87222222  0.88333333  0.86111111  0.87407407  0.87777778
  0.87222222  0.86851852]",0.939893004115,0.00942156741868,"{'n_jobs': -1, 'C': 0.75, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l2'}",0.940695884774,0.00823228182806,"[ 0.94026063  0.93454047  0.94052126  0.9382716   0.95186557  0.93528121
  0.9537037   0.94303155  0.95263374  0.93048011  0.93878601  0.93805213
  0.94759945  0.92426612  0.93524691  0.94133059  0.95218107  0.92451303
  0.93286694  0.93681756  0.94081619  0.92260631  0.93607682  0.93138546
  0.93283951  0.93384088  0.94865569  0.9466941   0.95283951  0.93897119
  0.94300412  0.95635117  0.94371742  0.93341564  0.93229081  0.95318244
  0.94572016  0.94337449  0.93296296  0.94864198  0.93814815  0.94146776
  0.92705075  0.9463786   0.94834019  0.94261317  0.94739369  0.94750343
  0.94867627  0.93758573]"
3,HNU_1_proba_csd_con_aparc68+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.884074074074,0.0148887046239,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'hinge', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 1.0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.877074074074,0.0132346657911,"[ 0.87777778  0.86111111  0.86666667  0.87592593  0.8962963   0.87592593
  0.88518519  0.89444444  0.88888889  0.87407407  0.86851852  0.87777778
  0.90185185  0.86296296  0.86666667  0.87962963  0.9037037   0.87777778
  0.87037037  0.88333333  0.86851852  0.85        0.87222222  0.87962963
  0.87037037  0.87222222  0.88703704  0.88888889  0.8962963   0.87407407
  0.87222222  0.9037037   0.87962963  0.85740741  0.85185185  0.89074074
  0.85555556  0.87592593  0.87592593  0.88148148  0.85555556  0.88333333
  0.86481481  0.87037037  0.9037037   0.86481481  0.87777778  0.89074074
  0.87407407  0.87592593]",0.939862825789,0.00935587252595,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 0.2, 'alpha': 0.01, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.940646227709,0.00812104224971,"[ 0.94005487  0.93436214  0.93971193  0.93812071  0.95175583  0.93539095
  0.95382716  0.94358025  0.95213992  0.93058985  0.93934842  0.93809328
  0.94751715  0.92548697  0.93502743  0.9424417   0.95174211  0.92473251
  0.93248285  0.93687243  0.94073388  0.92288066  0.93617284  0.93160494
  0.93262003  0.93382716  0.94838134  0.94668038  0.95259259  0.93887517
  0.9429904   0.9562963   0.94374486  0.93364883  0.93208505  0.95308642
  0.94581619  0.94266118  0.9326749   0.94860082  0.93758573  0.94150892
  0.92705075  0.94640604  0.94824417  0.94222908  0.94737997  0.94707819
  0.94814129  0.93743484]"
4,HNU_1_proba_csd_con_aparc68+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.802222222222,0.0110119027758,"{'n_jobs': -1, 'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.801259259259,0.01561909422,"[ 0.78148148  0.81481481  0.80555556  0.79444444  0.83148148  0.77222222
  0.81296296  0.7962963   0.81851852  0.79814815  0.7962963   0.7962963
  0.82037037  0.81851852  0.78703704  0.8037037   0.79074074  0.81111111
  0.8037037   0.81111111  0.7962963   0.79444444  0.79259259  0.79444444
  0.77222222  0.8037037   0.81481481  0.78333333  0.78148148  0.80925926
  0.80740741  0.82592593  0.79259259  0.80555556  0.79814815  0.83333333
  0.78703704  0.78333333  0.80185185  0.82037037  0.81111111  0.80555556
  0.77037037  0.79074074  0.79814815  0.77592593  0.81666667  0.82407407
  0.82407407  0.78333333]",0.895930041152,0.00625046692997,"{'n_jobs': -1, 'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.892978875171,0.0120976723002,"[ 0.88384774  0.89603567  0.88507545  0.87963649  0.9096845   0.87201646
  0.90359396  0.89333333  0.90142661  0.88609053  0.88053498  0.89368999
  0.91984911  0.90024691  0.88233196  0.89112483  0.89547325  0.88998628
  0.90314129  0.89337449  0.89806584  0.88798354  0.89256516  0.89465021
  0.87222222  0.89124829  0.90255144  0.86906722  0.88844993  0.89104252
  0.89849108  0.91564472  0.88046639  0.89305898  0.89552812  0.90331276
  0.89201646  0.88486968  0.90188615  0.90547325  0.90290123  0.8894513
  0.86854595  0.88835391  0.90002743  0.8789369   0.89562414  0.91665295
  0.91735254  0.8720096 ]"
5,HNU_1_proba_csd_con_aparc68+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.812592592593,0.0217984281031,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 1.0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.79862962963,0.0186396409298,"[ 0.77962963  0.82592593  0.76666667  0.80185185  0.79074074  0.75925926
  0.82592593  0.79074074  0.83148148  0.77222222  0.78518519  0.80185185
  0.81481481  0.81296296  0.79259259  0.79444444  0.80740741  0.82037037
  0.78333333  0.82407407  0.8         0.81666667  0.80185185  0.78888889
  0.79074074  0.80740741  0.79444444  0.78703704  0.77222222  0.79444444
  0.8         0.82037037  0.77592593  0.79814815  0.80925926  0.82222222
  0.77037037  0.79444444  0.78888889  0.79074074  0.80740741  0.7962963
  0.76111111  0.8037037   0.81851852  0.78148148  0.80740741  0.84259259
  0.82037037  0.78703704]",0.874325102881,0.015422655608,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 1.0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.870027983539,0.0143707466806,"[ 0.84228395  0.87277092  0.86541838  0.85163923  0.878107    0.84303155
  0.89327846  0.86746228  0.87962963  0.88012346  0.87753086  0.86465021
  0.89294925  0.87780521  0.87057613  0.88101509  0.86860082  0.85651578
  0.8917284   0.86639232  0.87982167  0.85930041  0.85580247  0.86554184
  0.85068587  0.86880658  0.87451303  0.84329218  0.86119342  0.88237311
  0.87816187  0.89453361  0.86074074  0.88322359  0.86374486  0.87513717
  0.86853224  0.8773251   0.87321674  0.87718793  0.87648148  0.86218107
  0.84415638  0.86672154  0.87368999  0.86886831  0.86227709  0.8939369
  0.89986283  0.83858025]"
6,HNU_1_proba_csd_con_aparc68+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'n_jobs': -1, 'C': 0.01, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_proba_csd_con_aparc68+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.502222222222,0.00359087396846,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.500407407407,0.00560826844018,"[ 0.5         0.5         0.5         0.5         0.49814815  0.4962963
  0.48333333  0.5         0.50925926  0.49259259  0.5         0.49444444
  0.50555556  0.5         0.5         0.5         0.5         0.5         0.5
  0.5037037   0.51296296  0.5         0.4962963   0.5         0.50185185
  0.5         0.5         0.50185185  0.50185185  0.5         0.4962963
  0.5         0.49444444  0.50740741  0.4962963   0.49444444  0.50555556
  0.51851852  0.5         0.5         0.5         0.5         0.5
  0.5037037   0.5         0.51666667  0.4962963   0.5         0.5
  0.49259259]",0.505862825789,0.00983518183492,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'log', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.500693278464,0.00703078438821,"[ 0.51093964  0.50157064  0.50001372  0.49447188  0.50158436  0.50376543
  0.48326475  0.50893004  0.5091358   0.49262003  0.50760631  0.50556927
  0.5055144   0.49807956  0.49467764  0.51679698  0.4945679   0.49490398
  0.48694102  0.49645405  0.50958848  0.4926749   0.49599451  0.50375857
  0.50182442  0.49998628  0.50006859  0.50135802  0.50163923  0.49272291
  0.49628258  0.49977366  0.50558985  0.50754458  0.49604938  0.49460905
  0.50582305  0.5184225   0.50334019  0.49811385  0.49986283  0.49656379
  0.5         0.50348422  0.50018519  0.51664609  0.49648834  0.50010974
  0.49643347  0.49231824]"
8,HNU_1_proba_csd_con_aparc68+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.888148148148,0.00926666370607,"{'n_jobs': -1, 'C': 0.45, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.88537037037,0.0106911370547,"[ 0.88148148  0.88148148  0.87222222  0.88703704  0.91111111  0.88333333
  0.90185185  0.89074074  0.89814815  0.88518519  0.89259259  0.88148148
  0.88888889  0.87777778  0.89259259  0.86481481  0.9037037   0.88518519
  0.88518519  0.9         0.86481481  0.86481481  0.86851852  0.88888889
  0.88148148  0.87777778  0.89814815  0.8962963   0.90740741  0.88148148
  0.88888889  0.9         0.88333333  0.87962963  0.87407407  0.88518519
  0.87962963  0.88888889  0.88148148  0.88333333  0.86296296  0.88888889
  0.87777778  0.89074074  0.88148148  0.87962963  0.89074074  0.89259259
  0.88518519  0.87962963]",0.954392318244,0.00653683348898,"{'n_jobs': -1, 'C': 0.75, 'fit_intercept': True, 'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'penalty': 'l1'}",0.954624691358,0.00634390908772,"[ 0.95130316  0.94748971  0.95013717  0.95500686  0.96414266  0.95355281
  0.96268861  0.95914952  0.96879287  0.94846365  0.95893004  0.95056241
  0.95973937  0.94581619  0.9562963   0.95144033  0.9630727   0.94658436
  0.94934156  0.95759945  0.94987654  0.93646091  0.949369    0.94253772
  0.95194787  0.95074074  0.9581893   0.9654321   0.96796982  0.95238683
  0.95643347  0.96384088  0.95489712  0.95272977  0.95038409  0.96012346
  0.95589849  0.95532236  0.95426612  0.9555144   0.94957476  0.95443073
  0.9459808   0.9576406   0.95665295  0.95226337  0.95927298  0.9596845
  0.95857339  0.95272977]"
9,HNU_1_proba_csd_con_aparc68+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.88962962963,0.00888888888889,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'hinge', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 0, 'alpha': 0.01, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.88737037037,0.0111400241101,"[ 0.88518519  0.88148148  0.88148148  0.88148148  0.90740741  0.88148148
  0.9037037   0.89814815  0.89259259  0.89074074  0.88703704  0.88148148
  0.90185185  0.87777778  0.88888889  0.87592593  0.90740741  0.88333333
  0.88518519  0.88888889  0.87407407  0.86296296  0.87962963  0.88518519
  0.87592593  0.88333333  0.90555556  0.89814815  0.91666667  0.87962963
  0.88703704  0.9037037   0.88148148  0.88333333  0.87222222  0.90185185
  0.87037037  0.88333333  0.89444444  0.88888889  0.86851852  0.89259259
  0.87962963  0.88888889  0.9         0.87777778  0.88518519  0.89814815
  0.88888889  0.87962963]",0.954304526749,0.00645671537226,"{'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'log', 'class_weight': None, 'penalty': 'elasticnet', 'n_jobs': -1, 'n_iter': 50, 'epsilon': 0.1, 'shuffle': True, 'eta0': 0.0, 'l1_ratio': 1.0, 'alpha': 0.001, 'power_t': 0.5, 'random_state': 0, 'verbose': 0}",0.954536899863,0.00634117302775,"[ 0.95133059  0.94742112  0.95020576  0.95434842  0.96395062  0.95333333
  0.96340192  0.95901235  0.96781893  0.94814815  0.95831276  0.95032922
  0.95975309  0.9457476   0.95622771  0.95179698  0.96304527  0.94613169
  0.94872428  0.95688615  0.95012346  0.93695473  0.94934156  0.94242798
  0.95133059  0.95078189  0.9588203   0.96515775  0.96775034  0.95215364
  0.9561454   0.96406036  0.95460905  0.95253772  0.95027435  0.96067215
  0.95595336  0.95521262  0.95419753  0.95589849  0.94910837  0.95447188
  0.94558299  0.95781893  0.95681756  0.95262003  0.95917695  0.95986283
  0.95861454  0.9524417 ]"
