,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.942307692308,0.0707455367247,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.01, 'max_iter': 50, 'solver': 'liblinear'}",0.963636363636,0.0481045692921,"[ 1.          1.          0.90909091  1.          0.90909091  0.90909091
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          0.90909091  0.90909091  0.81818182  1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          1.          1.          1.          1.          1.        ]",1.0,0.0,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.01, 'max_iter': 50, 'solver': 'liblinear'}",0.995333333333,0.0115662343819,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          0.96666667  1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.96666667  0.96666667  1.          1.          1.          1.          1.
  1.          1.        ]"
1,IPCAS_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.980769230769,0.0394113490998,"{'alpha': 1.0, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'log', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.945454545455,0.0574959574576,"[ 0.90909091  1.          0.90909091  1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  1.          0.90909091
  1.          0.90909091  1.          0.90909091  1.          0.90909091
  1.          1.          0.90909091  1.          0.90909091  0.90909091
  0.81818182  1.          0.90909091  1.          0.90909091  1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  1.          0.90909091  0.72727273
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.995333333333,0.0115662343819,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          0.96666667  1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.96666667  0.96666667  1.          1.          1.          1.          1.
  1.          1.        ]"
2,IPCAS_1_deter_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.1, 'max_iter': 50, 'solver': 'liblinear'}",0.958181818182,0.0520965410251,"[ 1.          1.          0.81818182  0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.90909091  1.          0.90909091
  1.          1.          1.          1.          1.          0.90909091
  0.90909091  1.          1.          0.90909091  0.81818182  0.90909091
  0.90909091  1.          0.90909091  1.          0.90909091  1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  0.90909091
  1.          1.          1.          1.          1.          1.          1.        ]",1.0,0.0,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.1, 'max_iter': 50, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,IPCAS_1_deter_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.01, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.981818181818,0.0445361771415,"[ 1.          1.          0.81818182  1.          1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.81818182  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.998666666667,0.00933333333333,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.93333333  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
4,IPCAS_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.65, 'max_iter': 50, 'solver': 'liblinear'}",0.983636363636,0.0349261322042,"[ 1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.01, 'max_iter': 50, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
5,IPCAS_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'log', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.996363636364,0.0178144708566,"[ 1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'hinge', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
6,IPCAS_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.884615384615,0.0829379178956,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.1, 'max_iter': 50, 'solver': 'liblinear'}",0.874545454545,0.0942828520906,"[ 1.          1.          0.72727273  0.81818182  0.90909091  0.63636364
  1.          0.81818182  0.90909091  0.90909091  0.90909091  0.90909091
  1.          1.          1.          1.          0.90909091  0.90909091
  0.90909091  1.          0.90909091  0.90909091  0.63636364  0.72727273
  0.72727273  0.81818182  0.81818182  0.90909091  0.90909091  0.81818182
  0.72727273  0.90909091  0.90909091  0.81818182  0.81818182  0.90909091
  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182
  0.90909091  1.          0.90909091  0.81818182  0.72727273  0.90909091
  1.          0.81818182]",0.95641025641,0.0611167889299,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'C': 0.35000000000000003, 'max_iter': 50, 'solver': 'liblinear'}",0.937333333333,0.0665465584718,"[ 1.          1.          0.86666667  0.96666667  0.93333333  0.8         1.
  0.93333333  0.96666667  0.93333333  1.          0.96666667  1.          1.
  1.          1.          0.93333333  1.          0.96666667  1.          1.
  0.96666667  0.73333333  0.8         0.8         0.9         0.93333333
  0.96666667  0.86666667  0.96666667  0.83333333  0.86666667  1.
  0.86666667  0.93333333  0.93333333  0.96666667  1.          0.86666667
  0.96666667  0.83333333  0.9         0.9         1.          0.96666667
  0.96666667  0.93333333  1.          1.          0.93333333]"
7,IPCAS_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.923076923077,0.0658729875829,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'modified_huber', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.863636363636,0.0818181818182,"[ 0.90909091  1.          0.72727273  0.81818182  0.90909091  0.72727273
  1.          0.81818182  1.          0.90909091  0.81818182  0.90909091
  1.          0.90909091  1.          1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  0.90909091  0.81818182  0.90909091  0.72727273  0.90909091
  0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182  0.81818182
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  1.          0.90909091]",0.962820512821,0.0609821722654,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'modified_huber', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.8, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.954,0.0614238462561,"[ 1.          1.          0.93333333  0.96666667  0.9         0.9         1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          0.96666667  0.9         0.93333333
  1.          1.          0.73333333  0.86666667  0.9         0.96666667
  0.93333333  1.          0.86666667  0.96666667  1.          0.9         1.
  0.96666667  1.          0.96666667  0.96666667  1.          0.9         1.
  0.9         0.9         0.9         0.73333333  1.          0.96666667
  0.96666667  0.96666667  1.          0.96666667]"
8,IPCAS_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.1, 'max_iter': 50, 'solver': 'liblinear'}",0.958181818182,0.0520965410251,"[ 1.          1.          0.81818182  0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.90909091  1.          0.90909091
  1.          1.          1.          1.          1.          0.90909091
  0.90909091  1.          1.          0.90909091  0.81818182  0.90909091
  0.90909091  1.          0.90909091  1.          0.90909091  1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  0.90909091
  1.          1.          1.          1.          1.          1.          1.        ]",1.0,0.0,"{'fit_intercept': True, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'C': 0.1, 'max_iter': 50, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
9,IPCAS_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.980769230769,0.0351104203529,"{'alpha': 0.001, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'log', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.8, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.98,0.0490909090909,"[ 1.          1.          0.81818182  1.          1.          0.90909091
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          0.81818182  1.          0.81818182  1.
  0.90909091  1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.        ]",1.0,0.0,"{'alpha': 0.5, 'eta0': 0.0, 'learning_rate': 'optimal', 'n_iter': 50, 'random_state': 0, 'fit_intercept': True, 'loss': 'modified_huber', 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'power_t': 0.5, 'class_weight': None, 'penalty': 'elasticnet', 'shuffle': True, 'verbose': 0}",0.999333333333,0.00466666666667,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
