,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear'}",0.96,0.0550281670924,"[ 1.          1.          0.81818182  1.          0.90909091  0.90909091
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          0.81818182  0.90909091  0.81818182  1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          1.          1.          1.          1.          1.        ]",0.992307692308,0.0157645396399,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear'}",0.985333333333,0.0284097010036,"[ 1.          1.          0.9         1.          0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.93333333  0.96666667  0.86666667  1.          0.96666667
  1.          0.96666667  1.          1.          0.93333333  1.
  0.96666667  1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  0.93333333  1.          1.          1.          1.
  1.          1.          1.        ]"
1,IPCAS_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.961538461538,0.0452366122164,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.001, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'hinge', 'l1_ratio': 1.0, 'n_jobs': -1}",0.949090909091,0.05795409982,"[ 1.          1.          0.81818182  1.          0.90909091  0.90909091
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  0.81818182
  1.          0.90909091  1.          0.81818182  0.90909091  0.81818182
  1.          0.90909091  1.          0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.90909091
  0.90909091  1.          1.          1.          1.          1.
  0.90909091]",0.992307692308,0.0157645396399,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.001, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'hinge', 'l1_ratio': 0, 'n_jobs': -1}",0.985333333333,0.0284097010036,"[ 1.          1.          0.9         1.          0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.93333333  0.96666667  0.86666667  1.          0.96666667
  1.          0.96666667  1.          1.          0.93333333  1.
  0.96666667  1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  0.93333333  1.          1.          1.          1.
  1.          1.          1.        ]"
2,IPCAS_1_deter_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'max_iter': 50, 'penalty': 'l1', 'fit_intercept': True, 'random_state': 0, 'C': 0.1, 'n_jobs': -1, 'solver': 'liblinear'}",0.972727272727,0.0454545454545,"[ 1.          1.          0.90909091  1.          0.90909091  0.90909091
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  0.81818182  0.90909091  1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          1.        ]",1.0,0.0,"{'max_iter': 50, 'penalty': 'l1', 'fit_intercept': True, 'random_state': 0, 'C': 0.1, 'n_jobs': -1, 'solver': 'liblinear'}",0.998,0.00791622805803,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
3,IPCAS_1_deter_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,0.980769230769,0.0394113490998,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'log', 'l1_ratio': 0.8, 'n_jobs': -1}",0.832727272727,0.157836613922,"[ 1.          0.90909091  0.90909091  0.90909091  0.81818182  0.63636364
  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182
  0.90909091  1.          1.          0.81818182  0.81818182  0.90909091
  0.45454545  1.          0.45454545  1.          0.90909091  0.90909091
  0.81818182  1.          0.81818182  0.72727273  0.45454545  0.90909091
  0.72727273  0.90909091  0.72727273  0.81818182  1.          1.
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.81818182
  0.81818182  0.90909091  0.45454545  1.          0.45454545  0.81818182
  0.54545455  1.        ]",1.0,0.0,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.001, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'hinge', 'l1_ratio': 0, 'n_jobs': -1}",0.994666666667,0.0139204086785,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          0.96666667  0.93333333  1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
4,IPCAS_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.05, 'n_jobs': -1, 'solver': 'liblinear'}",0.985454545455,0.033327823236,"[ 1.          1.          1.          1.          1.          0.90909091
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          1.          0.90909091  1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.        ]",1.0,0.0,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
5,IPCAS_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.001, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'hinge', 'l1_ratio': 0, 'n_jobs': -1}",0.985454545455,0.033327823236,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.          0.90909091  1.          0.90909091  1.          0.90909091
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.        ]",1.0,0.0,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.001, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'hinge', 'l1_ratio': 0, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
6,IPCAS_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.942307692308,0.0792904928003,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear'}",0.925454545455,0.0594464826337,"[ 1.          0.90909091  0.90909091  1.          0.90909091  0.81818182
  1.          0.81818182  0.90909091  1.          0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.          1.
  1.          0.90909091  0.90909091  0.90909091  0.90909091  0.81818182
  0.90909091  0.90909091  1.          0.81818182  0.90909091  1.
  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  1.          0.90909091  1.          1.
  0.90909091  0.81818182  0.90909091  0.90909091  0.81818182]",0.992307692308,0.0157645396399,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.01, 'n_jobs': -1, 'solver': 'liblinear'}",0.977333333333,0.0349221356099,"[ 1.          1.          1.          1.          0.93333333  0.86666667
  1.          1.          0.96666667  1.          1.          1.          1.
  0.96666667  0.96666667  0.96666667  0.93333333  1.          1.          1.
  1.          0.96666667  1.          0.96666667  0.93333333  0.9         1.
  1.          1.          0.93333333  0.93333333  1.          1.
  0.86666667  1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          0.93333333
  0.96666667  1.          1.          0.96666667]"
7,IPCAS_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.942307692308,0.0792904928003,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'log', 'l1_ratio': 0, 'n_jobs': -1}",0.914545454545,0.0665812124495,"[ 1.          0.90909091  0.90909091  1.          0.90909091  0.81818182
  1.          0.81818182  0.90909091  1.          0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  0.90909091  1.          0.81818182
  1.          1.          0.90909091  1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  1.          0.81818182  0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.81818182  1.          0.72727273  0.81818182  0.90909091  0.90909091
  0.81818182]",0.992307692308,0.0157645396399,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.001, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'modified_huber', 'l1_ratio': 0, 'n_jobs': -1}",0.976,0.0442417600614,"[ 1.          1.          1.          1.          0.83333333  0.96666667
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          0.96666667  0.96666667  1.          1.          1.          1.
  1.          0.96666667  1.          1.          0.8         0.93333333
  0.93333333  0.96666667  1.          0.9         0.96666667  0.96666667
  0.96666667  0.9         1.          1.          1.          1.
  0.96666667  1.          1.          1.          0.86666667  1.          1.
  1.          1.          0.96666667  1.          1.        ]"
8,IPCAS_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.942307692308,0.0460468846053,"{'max_iter': 50, 'penalty': 'l2', 'fit_intercept': True, 'random_state': 0, 'C': 0.05, 'n_jobs': -1, 'solver': 'liblinear'}",0.934545454545,0.0630885511742,"[ 1.          0.90909091  0.81818182  1.          0.90909091  0.90909091
  1.          0.90909091  0.90909091  0.81818182  0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.
  1.          0.90909091  0.81818182  0.90909091  0.81818182  1.
  0.81818182  1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.81818182  1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.90909091  0.81818182  0.90909091
  1.          1.          1.          1.          0.90909091  1.        ]",1.0,0.0,"{'max_iter': 50, 'penalty': 'l1', 'fit_intercept': True, 'random_state': 0, 'C': 0.1, 'n_jobs': -1, 'solver': 'liblinear'}",0.994666666667,0.0168126936172,"[ 1.          1.          0.96666667  1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.96666667  1.          0.9         1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
9,IPCAS_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.961538461538,0.0452366122164,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.1, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'log', 'l1_ratio': 0.4, 'n_jobs': -1}",0.949090909091,0.0659576623535,"[ 1.          1.          0.81818182  1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.81818182  1.          1.
  1.          1.          1.          0.90909091  0.81818182  1.          1.
  1.          1.          0.81818182  0.90909091  0.81818182  0.90909091
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.90909091  0.81818182  0.81818182
  1.          1.          1.          1.          1.          1.        ]",1.0,0.0,"{'learning_rate': 'optimal', 'n_iter': 50, 'shuffle': True, 'verbose': 0, 'fit_intercept': True, 'class_weight': None, 'random_state': 0, 'alpha': 0.1, 'epsilon': 0.1, 'penalty': 'elasticnet', 'power_t': 0.5, 'eta0': 0.0, 'loss': 'hinge', 'l1_ratio': 0, 'n_jobs': -1}",0.994,0.0172433562085,"[ 1.          1.          0.96666667  1.          0.96666667  1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.96666667  1.          0.9         1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
