,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'max_iter': 50}",0.981818181818,0.0363636363636,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.        ]",1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'max_iter': 50}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
1,IPCAS_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.980769230769,0.0394113490998,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",0.98,0.0376587548677,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  1.          0.90909091  1.        ]",1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
2,IPCAS_1_proba_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.05, 'n_jobs': -1, 'max_iter': 50}",0.958181818182,0.0551781487472,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.81818182  1.          0.90909091  1.          1.          1.
  0.90909091  0.90909091  0.90909091  0.81818182  1.          1.          1.
  1.          0.81818182  1.          0.90909091  0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  1.          1.          1.
  0.90909091  1.          0.90909091  1.        ]",1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'max_iter': 50}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,IPCAS_1_proba_csa_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,IPCAS_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l1', 'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'max_iter': 50}",0.981818181818,0.0363636363636,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.        ]",1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'max_iter': 50}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
5,IPCAS_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
6,IPCAS_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l1', 'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'max_iter': 50}",0.994545454545,0.0215897128855,"[ 1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]",1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'max_iter': 50}",0.990666666667,0.0176886655486,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  0.96666667  1.          0.96666667  1.          0.96666667  0.96666667
  1.          1.          0.96666667  1.          1.          1.          1.
  0.93333333  1.          0.93333333  1.          1.          1.          1.
  1.          0.96666667  1.          1.          0.96666667  1.          1.
  1.          0.96666667]"
7,IPCAS_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",0.987272727273,0.0315442755871,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
8,IPCAS_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l1', 'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'max_iter': 50}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'fit_intercept': True, 'random_state': 0, 'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'max_iter': 50}",0.999333333333,0.00466666666667,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
9,IPCAS_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",0.998181818182,0.0127272727273,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'fit_intercept': True, 'shuffle': True, 'random_state': 0, 'penalty': 'elasticnet', 'alpha': 0.001, 'eta0': 0.0, 'n_iter': 50, 'epsilon': 0.1, 'verbose': 0, 'n_jobs': -1, 'power_t': 0.5, 'loss': 'hinge', 'learning_rate': 'optimal', 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
