,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_ROIv_scale60,binar,bag_of_edges,l1_l2_linf,standard,LR,0.846153846154,0.0897893656148,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.854545454545,0.0852802865422,"[ 0.81818182  0.90909091  0.81818182  1.          0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091
  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182  0.90909091
  0.72727273  0.81818182  0.90909091  0.90909091  0.72727273  0.72727273
  1.          0.90909091  0.81818182  0.81818182  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  1.          0.81818182  0.63636364
  0.63636364  0.72727273  0.90909091  0.90909091  1.          0.90909091
  0.90909091  1.        ]",0.952564102564,0.0585847404773,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.95,0.052174919475,"[ 0.93333333  1.          0.9         1.          0.9         1.          1.
  0.93333333  1.          0.96666667  0.93333333  1.          0.96666667
  0.96666667  0.93333333  0.96666667  0.9         0.93333333  0.96666667
  0.93333333  0.93333333  0.83333333  0.96666667  1.          0.86666667
  1.          0.96666667  0.96666667  0.93333333  0.9         1.
  0.96666667  0.96666667  0.93333333  0.86666667  1.          0.96666667
  0.96666667  1.          1.          0.96666667  0.86666667  0.8         0.8
  0.96666667  1.          1.          0.93333333  1.          1.        ]"
1,IPCAS_1_proba_csd_con_ROIv_scale60,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.884615384615,0.103560861676,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 1.0, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.845454545455,0.0797724035217,"[ 0.81818182  0.90909091  0.72727273  1.          0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182
  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273  0.81818182
  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182  0.90909091
  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273
  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.63636364  0.72727273  0.90909091  1.          1.          0.81818182
  0.90909091  1.        ]",0.952564102564,0.0585847404773,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 0.001, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.95,0.052174919475,"[ 0.93333333  1.          0.9         1.          0.9         1.          1.
  0.93333333  1.          0.96666667  0.93333333  1.          0.96666667
  0.96666667  0.93333333  0.96666667  0.9         0.93333333  0.96666667
  0.93333333  0.93333333  0.83333333  0.96666667  1.          0.86666667
  1.          0.96666667  0.96666667  0.93333333  0.9         1.
  0.96666667  0.96666667  0.93333333  0.86666667  1.          0.96666667
  0.96666667  1.          1.          0.96666667  0.86666667  0.8         0.8
  0.96666667  1.          1.          0.93333333  1.          1.        ]"
2,IPCAS_1_proba_csd_con_ROIv_scale60,binar,degrees,l1_l2_linf,standard,LR,0.923076923077,0.0421325044235,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.934545454545,0.05761083461,"[ 0.81818182  0.90909091  0.90909091  1.          0.90909091  1.
  0.90909091  0.90909091  1.          1.          0.90909091  0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.90909091  1.          1.          0.90909091  1.          1.
  0.90909091  0.90909091  1.          0.90909091  1.          0.81818182
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  0.81818182  0.90909091  1.          0.90909091  0.81818182  0.90909091
  0.90909091]",1.0,0.0,"{'C': 0.1, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'n_jobs': -1, 'solver': 'liblinear'}",0.984666666667,0.0284487843911,"[ 0.93333333  1.          1.          1.          0.93333333  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  0.9         0.93333333  1.          1.
  1.          1.          1.          0.93333333  1.          1.          1.
  1.          0.9         1.          1.          0.96666667  0.96666667
  1.          1.          1.          0.93333333  1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.
  0.93333333  1.          1.        ]"
3,IPCAS_1_proba_csd_con_ROIv_scale60,binar,degrees,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'log', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 1.0, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.925454545455,0.0672727272727,"[ 0.81818182  1.          1.          1.          0.90909091  1.          1.
  0.90909091  1.          1.          0.90909091  0.72727273  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.90909091
  1.          0.90909091  0.90909091  0.90909091  1.          0.90909091
  0.90909091  1.          0.81818182  1.          0.81818182  0.90909091
  0.90909091  0.81818182  0.90909091  0.90909091  1.          0.90909091
  0.90909091  1.          0.90909091  0.90909091  1.          0.90909091
  0.81818182  1.          1.          0.90909091  0.81818182  0.90909091
  1.        ]",1.0,0.0,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 0.01, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.983333333333,0.03,"[ 0.93333333  1.          0.96666667  1.          0.93333333  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  0.9         0.93333333  1.          1.
  1.          1.          1.          0.93333333  1.          1.          1.
  1.          0.9         1.          1.          0.96666667  0.96666667
  1.          1.          1.          0.93333333  1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          0.9
  1.          1.        ]"
4,IPCAS_1_proba_csd_con_ROIv_scale60,binar,closeness_centrality,l1_l2_linf,standard,LR,0.942307692308,0.0494047406872,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.949090909091,0.0519376612985,"[ 0.90909091  0.90909091  1.          1.          0.90909091  1.          1.
  0.90909091  1.          1.          0.90909091  1.          0.90909091
  0.90909091  0.90909091  0.90909091  1.          0.90909091  0.90909091
  1.          1.          0.90909091  1.          1.          0.90909091
  0.90909091  1.          1.          0.90909091  0.81818182  1.          1.
  0.81818182  0.90909091  0.90909091  1.          1.          0.90909091
  1.          1.          1.          1.          0.90909091  0.90909091
  0.90909091  0.90909091  1.          0.90909091  0.90909091  1.        ]",1.0,0.0,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.996,0.0108320512062,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          0.96666667  0.96666667
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
5,IPCAS_1_proba_csd_con_ROIv_scale60,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'log', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0.2, 'fit_intercept': True, 'alpha': 1.0, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.930909090909,0.0618181818182,"[ 0.90909091  0.90909091  1.          1.          0.90909091  1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  1.          1.          0.90909091  0.90909091  1.          0.90909091
  0.90909091  1.          0.81818182  0.90909091  0.81818182  0.81818182
  0.90909091  0.90909091  0.90909091  0.90909091  1.          0.90909091
  0.81818182  1.          1.          1.          0.90909091  0.90909091
  0.81818182  1.          1.          1.          0.90909091  0.81818182
  1.        ]",1.0,0.0,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 0.001, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.993333333333,0.02,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.93333333  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.9         1.          1.          0.96666667  0.96666667
  1.          1.          1.          0.93333333  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
6,IPCAS_1_proba_csd_con_ROIv_scale60,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.826923076923,0.0491545884941,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.841818181818,0.102546099289,"[ 0.63636364  0.90909091  0.72727273  0.90909091  0.81818182  1.
  0.81818182  0.81818182  0.90909091  1.          0.54545455  0.72727273
  0.90909091  0.81818182  0.72727273  0.90909091  0.81818182  0.72727273
  0.81818182  0.90909091  1.          0.81818182  0.90909091  1.
  0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.81818182
  0.90909091  0.90909091  0.72727273  0.90909091  0.81818182  1.
  0.90909091  0.81818182  1.          0.81818182  0.90909091  0.90909091
  0.72727273  0.63636364  0.81818182  0.90909091  0.90909091  0.72727273
  0.90909091  0.81818182]",0.95,0.0395487365677,"{'C': 0.1, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'n_jobs': -1, 'solver': 'liblinear'}",0.931333333333,0.0668031935364,"[ 0.83333333  1.          0.83333333  0.96666667  0.86666667  1.          1.
  0.96666667  1.          1.          0.86666667  0.93333333  0.96666667
  0.93333333  0.9         1.          0.86666667  0.8         0.9
  0.96666667  0.96666667  0.86666667  0.93333333  1.          0.83333333
  0.96666667  1.          0.86666667  0.96666667  0.86666667  1.          1.
  0.86666667  1.          0.93333333  0.96666667  0.96666667  0.83333333
  1.          0.93333333  0.93333333  0.93333333  0.73333333  0.83333333
  0.93333333  1.          0.96666667  0.86666667  1.          1.        ]"
7,IPCAS_1_proba_csd_con_ROIv_scale60,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.846153846154,0.0649305500621,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0.6, 'fit_intercept': True, 'alpha': 0.001, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.836363636364,0.0944754985947,"[ 0.72727273  0.90909091  0.81818182  0.81818182  0.72727273  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273  0.90909091
  0.90909091  1.          0.90909091  0.90909091  0.81818182  0.63636364
  0.72727273  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091
  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.90909091  0.90909091  0.72727273  0.90909091  0.72727273  0.81818182
  0.81818182  0.81818182  1.          0.81818182  0.81818182  0.72727273
  0.63636364  0.72727273  0.81818182  0.90909091  1.          0.63636364
  0.90909091  0.90909091]",0.965384615385,0.0404364746394,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 1.0, 'fit_intercept': True, 'alpha': 0.001, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.926666666667,0.0718021974285,"[ 0.86666667  0.93333333  0.9         0.9         0.96666667  1.
  0.96666667  1.          0.93333333  1.          0.76666667  0.86666667
  0.96666667  1.          0.96666667  1.          0.8         0.83333333
  0.93333333  0.96666667  1.          0.9         0.96666667  0.93333333
  0.8         0.96666667  0.86666667  0.93333333  0.73333333  0.76666667
  1.          1.          0.9         0.93333333  0.9         0.96666667
  1.          0.96666667  1.          0.96666667  0.86666667  0.93333333
  0.83333333  0.8         0.93333333  1.          0.96666667  0.96666667
  0.96666667  1.        ]"
8,IPCAS_1_proba_csd_con_ROIv_scale60,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.923076923077,0.0421325044235,"{'C': 0.01, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'n_jobs': -1, 'solver': 'liblinear'}",0.932727272727,0.0569471264122,"[ 0.81818182  0.90909091  0.90909091  1.          0.90909091  1.
  0.90909091  0.90909091  1.          1.          0.90909091  0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.90909091  1.          1.          0.90909091  1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  0.81818182
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  0.81818182  0.90909091  1.          0.90909091  0.81818182  0.90909091
  0.90909091]",1.0,0.0,"{'C': 0.1, 'fit_intercept': True, 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'n_jobs': -1, 'solver': 'liblinear'}",0.988,0.0218682926225,"[ 0.93333333  1.          0.96666667  1.          0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  0.93333333  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.93333333  1.          1.          0.96666667  0.96666667
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.
  0.93333333  1.          1.        ]"
9,IPCAS_1_proba_csd_con_ROIv_scale60,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'log', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 1.0, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.930909090909,0.0644365278061,"[ 0.81818182  1.          0.90909091  1.          0.90909091  1.          1.
  0.90909091  1.          1.          0.90909091  0.81818182  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.90909091
  1.          1.          0.90909091  0.90909091  1.          0.90909091
  0.90909091  1.          0.81818182  1.          0.81818182  0.90909091
  0.90909091  0.81818182  0.90909091  0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  0.81818182  1.          1.          0.90909091  0.81818182  0.90909091
  1.        ]",1.0,0.0,"{'verbose': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'random_state': 0, 'eta0': 0.0, 'shuffle': True, 'class_weight': None, 'l1_ratio': 0, 'fit_intercept': True, 'alpha': 0.001, 'n_iter': 50, 'power_t': 0.5, 'epsilon': 0.1, 'penalty': 'elasticnet', 'n_jobs': -1}",0.978666666667,0.0357522338074,"[ 0.9         1.          0.96666667  1.          0.93333333  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  0.9         0.93333333  1.          1.
  1.          1.          1.          0.93333333  0.96666667  1.          1.
  1.          0.9         1.          1.          0.9         0.93333333
  1.          1.          1.          0.93333333  1.          1.          1.
  1.          1.          0.9         1.          1.          1.          0.9
  1.          1.        ]"
